Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2020-09-12,1,Sáb,Ponferradina,Castellón,1,2,1.1,1.6
2020-09-12,2,Sáb,Sporting Gijón,UD Logroñés,1,0,1.3,0.1
2020-09-12,3,Sáb,Leganés,Las Palmas,1,0,1.6,0.4
2020-09-12,4,Sáb,Espanyol,Albacete,3,0,3.7,0.4
2020-09-13,5,Dom,Oviedo,Cartagena,0,0,2.0,0.3
2020-09-13,6,Dom,Mallorca,Rayo Vallecano,0,1,0.4,1.2
2020-09-13,7,Dom,CD Mirandés,Alcorcón,0,0,0.3,0.7
2020-09-13,8,Dom,Fuenlabrada,Lugo,2,0,1.1,0.2
2020-09-13,9,Dom,Tenerife,Málaga,2,0,1.6,0.7
2020-09-19,10,Sáb,CD Mirandés,Oviedo,1,1,1.8,0.3
2020-09-19,11,Sáb,Alcorcón,Tenerife,2,0,0.7,0.7
2020-09-19,12,Sáb,Castellón,Málaga,0,1,0.6,0.3
2020-09-19,13,Sáb,Rayo Vallecano,Sabadell,2,1,2.5,0.5
2020-09-20,14,Dom,Lugo,Leganés,2,1,2.6,1.3
2020-09-20,15,Dom,Espanyol,Mallorca,0,0,0.3,0.3
2020-09-20,16,Dom,Cartagena,Sporting Gijón,0,1,0.7,1.1
2020-09-20,17,Dom,Albacete,Ponferradina,0,2,1.1,1.5
2020-09-20,18,Dom,Las Palmas,Fuenlabrada,3,3,1.2,2.2
2020-09-26,19,Sáb,Zaragoza,Las Palmas,2,2,0.3,0.4
2020-09-26,20,Sáb,Sporting Gijón,Girona,2,0,0.6,1.1
2020-09-26,21,Sáb,UD Logroñés,Castellón,1,1,1.2,0.5
2020-09-26,22,Sáb,Málaga,Alcorcón,1,0,0.3,0.3
2020-09-26,23,Sáb,Fuenlabrada,Albacete,1,0,1.8,0.3
2020-09-27,24,Dom,Lugo,Almería,0,2,0.3,0.4
2020-09-27,25,Dom,Mallorca,Sabadell,1,0,0.7,0.5
2020-09-27,26,Dom,Tenerife,CD Mirandés,1,2,1.0,1.3
2020-09-27,27,Dom,Ponferradina,Rayo Vallecano,3,0,0.3,0.4
2020-09-27,28,Dom,Oviedo,Espanyol,0,2,0.5,1.9
2020-09-27,29,Dom,Leganés,Cartagena,3,1,1.3,1.1
2020-10-03,30,Sáb,CD Mirandés,Ponferradina,0,1,0.4,0.8
2020-10-03,31,Sáb,Alcorcón,Zaragoza,0,3,,
2020-10-03,32,Sáb,Albacete,Oviedo,1,1,1.5,0.9
2020-10-03,33,Sáb,Mallorca,Tenerife,2,0,1.2,1.3
2020-10-03,34,Sáb,Las Palmas,UD Logroñés,2,1,0.7,1.4
2020-10-03,35,Sáb,Rayo Vallecano,Málaga,4,0,2.5,0.5
2020-10-04,36,Dom,Girona,Fuenlabrada,0,1,0.5,1.6
2020-10-04,37,Dom,Sabadell,Espanyol,0,1,0.8,3.1
2020-10-04,38,Dom,Almería,Sporting Gijón,0,1,0.7,0.7
2020-10-04,39,Dom,Castellón,Leganés,2,0,0.8,0.6
2020-10-04,40,Dom,Cartagena,Lugo,2,1,1.2,1.3
2020-10-10,41,Sáb,Sabadell,CD Mirandés,0,2,0.2,0.8
2020-10-10,42,Sáb,Espanyol,Alcorcón,1,0,2.2,0.7
2020-10-10,43,Sáb,UD Logroñés,Almería,1,0,0.7,0.2
2020-10-10,44,Sáb,Tenerife,Rayo Vallecano,1,0,0.3,0.5
2020-10-11,45,Dom,Fuenlabrada,Castellón,1,1,0.7,1.0
2020-10-11,46,Dom,Lugo,Mallorca,0,1,0.7,1.3
2020-10-11,47,Dom,Leganés,Girona,0,1,2.0,0.5
2020-10-11,48,Dom,Málaga,Las Palmas,0,0,0.6,1.4
2020-10-11,49,Dom,Zaragoza,Albacete,1,0,1.0,0.3
2020-10-11,50,Dom,Ponferradina,Cartagena,0,2,0.5,1.5
2020-10-11,51,Dom,Oviedo,Sporting Gijón,1,0,1.3,0.4
2020-10-17,52,Sáb,Albacete,Sabadell,3,0,2.1,1.9
2020-10-17,53,Sáb,Las Palmas,Almería,2,0,0.6,0.4
2020-10-17,54,Sáb,Cartagena,Fuenlabrada,1,1,0.8,1.5
