Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2021-08-13,1,Vie,Valencia,Getafe,1,0,1.5,1.4
2021-08-14,2,Sáb,Mallorca,Betis,1,1,0.5,0.6
2021-08-14,3,Sáb,Cádiz,Levante,1,1,0.6,0.9
2021-08-14,4,Sáb,Alavés,Real Madrid,1,4,1.7,1.7
2021-08-14,5,Sáb,Osasuna,Espanyol,0,0,0.9,0.5
2021-08-15,6,Dom,Celta Vigo,Atlético Madrid,1,2,2.3,1.5
2021-08-15,7,Dom,Barcelona,Real Sociedad,4,2,2.8,0.8
2021-08-15,8,Dom,Sevilla,Rayo Vallecano,3,0,3.7,0.4
2021-08-16,9,Lun,Villarreal,Granada,0,0,1.1,0.3
2021-08-16,10,Lun,Elche,Athletic Club,0,0,1.1,0.6
2021-08-20,11,Vie,Betis,Cádiz,1,1,1.1,1.6
2021-08-21,12,Sáb,Alavés,Mallorca,0,1,0.5,0.7
2021-08-21,13,Sáb,Espanyol,Villarreal,0,0,1.3,0.6
2021-08-21,14,Sáb,Granada,Valencia,1,1,1.1,1.5
2021-08-21,15,Sáb,Athletic Club,Barcelona,1,1,1.4,1.0
2021-08-22,16,Dom,Real Sociedad,Rayo Vallecano,1,0,1.9,0.5
2021-08-22,17,Dom,Atlético Madrid,Elche,1,0,1.2,0.2
2021-08-22,18,Dom,Levante,Real Madrid,3,3,1.9,1.6
2021-08-23,19,Lun,Getafe,Sevilla,0,1,0.5,1.2
2021-08-23,20,Lun,Osasuna,Celta Vigo,0,0,2.0,0.1
2021-08-27,21,Vie,Mallorca,Espanyol,1,0,1.0,0.4
2021-08-27,22,Vie,Valencia,Alavés,3,0,1.6,0.4
2021-08-28,23,Sáb,Celta Vigo,Athletic Club,0,1,1.1,1.4
2021-08-28,24,Sáb,Real Sociedad,Levante,1,0,1.0,0.4
2021-08-28,25,Sáb,Elche,Sevilla,1,1,0.5,1.3
2021-08-28,26,Sáb,Betis,Real Madrid,0,1,0.6,0.9
2021-08-29,27,Dom,Barcelona,Getafe,2,1,1.1,0.4
2021-08-29,28,Dom,Rayo Vallecano,Granada,4,0,2.2,0.5
2021-08-29,29,Dom,Cádiz,Osasuna,2,3,1.6,2.4
2021-08-29,30,Dom,Atlético Madrid,Villarreal,2,2,1.7,0.3
2021-09-11,31,Sáb,Levante,Rayo Vallecano,1,1,1.0,2.2
2021-09-11,32,Sáb,Athletic Club,Mallorca,2,0,1.4,0.2
2021-09-12,33,Dom,Espanyol,Atlético Madrid,1,2,0.4,0.8
2021-09-12,34,Dom,Osasuna,Valencia,1,4,0.6,0.9
2021-09-12,35,Dom,Cádiz,Real Sociedad,0,2,0.3,1.9
2021-09-12,36,Dom,Real Madrid,Celta Vigo,5,2,3.2,1.8
2021-09-13,37,Lun,Getafe,Elche,0,1,0.3,0.8
2021-09-13,38,Lun,Granada,Betis,1,2,0.6,2.3
2021-09-17,39,Vie,Celta Vigo,Cádiz,1,2,1.0,1.1
2021-09-18,40,Sáb,Rayo Vallecano,Getafe,3,0,2.2,1.1
2021-09-18,41,Sáb,Atlético Madrid,Athletic Club,0,0,0.9,1.0
2021-09-18,42,Sáb,Elche,Levante,1,1,0.4,1.1
2021-09-18,43,Sáb,Alavés,Osasuna,0,2,0.5,1.4
2021-09-19,44,Dom,Mallorca,Villarreal,0,0,0.5,1.4
2021-09-19,45,Dom,Real Sociedad,Sevilla,0,0,1.3,0.5
2021-09-19,46,Dom,Betis,Espanyol,2,2,1.9,1.1
2021-09-19,47,Dom,Valencia,Real Madrid,1,2,0.9,1.3
2021-09-20,48,Lun,Barcelona,Granada,1,1,1.8,0.8
2021-09-21,49,Mar,Getafe,Atlético Madrid,1,2,0.3,1.1
2021-09-21,50,Mar,Levante,Celta Vigo,0,2,1.7,0.7
2021-09-21,51,Mar,Athletic Club,Rayo Vallecano,1,2,0.9,1.0
2021-09-22,52,Mié,Sevilla,Valencia,3,1,1.0,0.4
2021-09-22,53,Mié,Espanyol,Alavés,1,0,1.7,0.5
2021-09-22,54,Mié,Real Madrid,Mallorca,6,1,2.6,1.4
2021-09-22,55,Mié,Villarreal,Elche,4,1,3.2,1.2
2021-09-23,56,Jue,Osasuna,Betis,1,3,1.0,2.4
2021-09-23,57,Jue,Granada,Real Sociedad,2,3,1.3,1.7
2021-09-23,58,Jue,Cádiz,Barcelona,0,0,1.3,0.4
2021-09-25,59,Sáb,Alavés,Atlético Madrid,1,0,0.7,0.7
2021-09-25,60,Sáb,Valencia,Athletic Club,1,1,0.9,0.8
2021-09-25,61,Sáb,Sevilla,Espanyol,2,0,1.8,0.7
2021-09-25,62,Sáb,Real Madrid,Villarreal,0,0,1.1,0.5
2021-09-26,63,Dom,Mallorca,Osasuna,2,3,2.6,0.9
2021-09-26,64,Dom,Barcelona,Levante,3,0,2.9,0.8
2021-09-26,65,Dom,Rayo Vallecano,Cádiz,3,1,1.3,1.0
2021-09-26,66,Dom,Real Sociedad,Elche,1,0,2.4,0.5
2021-09-26,67,Dom,Betis,Getafe,2,0,1.9,0.6
2021-09-27,68,Lun,Celta Vigo,Granada,1,0,1.3,0.8
2021-10-01,69,Vie,Athletic Club,Alavés,1,0,2.0,0.9
2021-10-02,70,Sáb,Osasuna,Rayo Vallecano,1,0,0.5,0.2
2021-10-02,71,Sáb,Mallorca,Levante,1,0,0.6,1.2
2021-10-02,72,Sáb,Cádiz,Valencia,0,0,0.2,1.1
2021-10-02,73,Sáb,Atlético Madrid,Barcelona,2,0,1.2,0.7
2021-10-03,74,Dom,Elche,Celta Vigo,1,0,1.3,0.5
2021-10-03,75,Dom,Espanyol,Real Madrid,2,1,1.2,1.6
2021-10-03,76,Dom,Getafe,Real Sociedad,1,1,0.7,0.7
2021-10-03,77,Dom,Villarreal,Betis,2,0,2.6,0.5
2021-10-03,78,Dom,Granada,Sevilla,1,0,0.1,1.3
2021-10-16,79,Sáb,Levante,Getafe,0,0,0.9,0.6
2021-10-16,80,Sáb,Real Sociedad,Mallorca,1,0,0.4,0.2
2021-10-17,81,Dom,Rayo Vallecano,Elche,2,1,1.2,0.4
2021-10-17,82,Dom,Celta Vigo,Sevilla,0,1,1.2,1.0
2021-10-17,83,Dom,Villarreal,Osasuna,1,2,0.5,0.6
2021-10-17,84,Dom,Barcelona,Valencia,3,1,1.9,0.4
2021-10-18,85,Lun,Alavés,Betis,0,1,0.9,1.4
2021-10-18,86,Lun,Espanyol,Cádiz,2,0,1.3,0.4
2021-10-22,87,Vie,Osasuna,Granada,1,1,1.0,0.5
2021-10-23,88,Sáb,Valencia,Mallorca,2,2,1.8,0.6
2021-10-23,89,Sáb,Cádiz,Alavés,0,2,1.5,1.3
2021-10-23,90,Sáb,Elche,Espanyol,2,2,0.9,0.8
2021-10-23,91,Sáb,Athletic Club,Villarreal,2,1,2.8,0.5
2021-10-24,92,Dom,Sevilla,Levante,5,3,1.6,1.9
2021-10-24,93,Dom,Barcelona,Real Madrid,1,2,1.6,1.5
2021-10-24,94,Dom,Betis,Rayo Vallecano,3,2,1.4,1.0
2021-10-24,95,Dom,Atlético Madrid,Real Sociedad,2,2,1.7,0.8
2021-10-25,96,Lun,Getafe,Celta Vigo,0,3,0.5,1.6
2021-10-26,97,Mar,Alavés,Elche,1,0,1.7,0.3
2021-10-26,98,Mar,Espanyol,Athletic Club,1,1,1.3,3.3
2021-10-26,99,Mar,Villarreal,Cádiz,3,3,1.7,1.4
2021-10-27,100,Mié,Rayo Vallecano,Barcelona,1,0,0.8,2.5
2021-10-27,101,Mié,Mallorca,Sevilla,1,1,1.5,0.8
2021-10-27,102,Mié,Betis,Valencia,4,1,2.0,1.6
2021-10-27,103,Mié,Real Madrid,Osasuna,0,0,0.7,0.5
2021-10-28,104,Jue,Celta Vigo,Real Sociedad,0,2,1.4,1.7
2021-10-28,105,Jue,Granada,Getafe,1,1,2.0,0.4
2021-10-28,106,Jue,Levante,Atlético Madrid,2,2,1.8,0.9
2021-10-30,107,Sáb,Elche,Real Madrid,1,2,1.1,1.1
2021-10-30,108,Sáb,Sevilla,Osasuna,2,0,2.0,0.6
2021-10-30,109,Sáb,Valencia,Villarreal,2,0,1.1,0.8
2021-10-30,110,Sáb,Barcelona,Alavés,1,1,1.3,0.9
2021-10-31,111,Dom,Cádiz,Mallorca,1,1,1.7,0.9
2021-10-31,112,Dom,Atlético Madrid,Betis,3,0,2.3,0.5
2021-10-31,113,Dom,Getafe,Espanyol,2,1,0.8,0.6
2021-10-31,114,Dom,Real Sociedad,Athletic Club,1,1,1.1,1.0
2021-11-01,115,Lun,Rayo Vallecano,Celta Vigo,0,0,0.6,0.6
2021-11-01,116,Lun,Levante,Granada,0,3,1.1,1.0
2021-11-05,117,Vie,Athletic Club,Cádiz,0,1,0.5,0.5
2021-11-06,118,Sáb,Espanyol,Granada,2,0,1.6,2.0
2021-11-06,119,Sáb,Celta Vigo,Barcelona,3,3,1.5,0.9
2021-11-06,120,Sáb,Alavés,Levante,2,1,1.5,0.8
2021-11-06,121,Sáb,Real Madrid,Rayo Vallecano,2,1,2.1,1.4
