Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2020-09-12,1,Sáb,Eibar,Celta Vigo,0,0,0.4,0.6
2020-09-12,2,Sáb,Granada,Athletic Club,2,0,0.4,0.5
2020-09-12,3,Sáb,Cádiz,Osasuna,0,2,0.7,0.8
2020-09-13,4,Dom,Alavés,Betis,0,1,1.2,0.4
2020-09-13,5,Dom,Valladolid,Real Sociedad,1,1,0.8,0.3
2020-09-13,6,Dom,Villarreal,Huesca,1,1,2.5,0.6
2020-09-13,7,Dom,Valencia,Levante,4,2,1.9,2.0
2020-09-19,8,Sáb,Villarreal,Eibar,2,1,2.7,1.5
2020-09-19,9,Sáb,Getafe,Osasuna,1,0,0.6,0.5
2020-09-19,10,Sáb,Celta Vigo,Valencia,2,1,2.0,0.5
2020-09-20,11,Dom,Huesca,Cádiz,0,2,0.3,1.2
2020-09-20,12,Dom,Granada,Alavés,2,1,2.2,0.7
2020-09-20,13,Dom,Betis,Valladolid,2,0,1.6,0.4
2020-09-20,14,Dom,Real Sociedad,Real Madrid,0,0,0.6,0.9
2020-09-26,15,Sáb,Alavés,Getafe,0,0,1.3,1.1
2020-09-26,16,Sáb,Valencia,Huesca,1,1,0.6,0.9
2020-09-26,17,Sáb,Elche,Real Sociedad,0,3,1.0,3.1
2020-09-26,18,Sáb,Betis,Real Madrid,2,3,1.2,3.8
2020-09-27,19,Dom,Osasuna,Levante,1,3,0.7,3.1
2020-09-27,20,Dom,Eibar,Athletic Club,1,2,0.6,0.6
2020-09-27,21,Dom,Atlético Madrid,Granada,6,1,3.3,1.6
2020-09-27,22,Dom,Valladolid,Celta Vigo,1,1,1.5,1.3
2020-09-27,23,Dom,Cádiz,Sevilla,1,3,1.1,2.4
2020-09-27,24,Dom,Barcelona,Villarreal,4,0,2.6,0.2
2020-09-29,25,Mar,Real Sociedad,Valencia,0,1,0.5,0.9
2020-09-29,26,Mar,Getafe,Betis,3,0,0.8,0.4
2020-09-30,27,Mié,Villarreal,Alavés,3,1,2.3,1.1
2020-09-30,28,Mié,Huesca,Atlético Madrid,0,0,0.9,1.6
2020-09-30,29,Mié,Eibar,Elche,0,1,1.2,0.4
2020-09-30,30,Mié,Real Madrid,Valladolid,1,0,2.3,0.6
2020-10-01,31,Jue,Sevilla,Levante,1,0,1.1,0.2
2020-10-01,32,Jue,Athletic Club,Cádiz,0,1,0.6,0.2
2020-10-01,33,Jue,Celta Vigo,Barcelona,0,3,0.5,0.7
2020-10-03,34,Sáb,Valladolid,Eibar,1,2,1.1,1.7
2020-10-03,35,Sáb,Atlético Madrid,Villarreal,0,0,0.6,0.3
2020-10-03,36,Sáb,Real Sociedad,Getafe,3,0,2.2,0.3
2020-10-03,37,Sáb,Elche,Huesca,0,0,0.1,1.6
2020-10-03,38,Sáb,Valencia,Betis,0,2,0.5,2.0
2020-10-04,39,Dom,Osasuna,Celta Vigo,2,0,1.2,0.5
2020-10-04,40,Dom,Alavés,Athletic Club,1,0,0.6,0.6
2020-10-04,41,Dom,Levante,Real Madrid,0,2,0.5,2.2
2020-10-04,42,Dom,Cádiz,Granada,1,1,1.0,0.6
2020-10-04,43,Dom,Barcelona,Sevilla,1,1,1.0,1.5
2020-10-17,44,Sáb,Granada,Sevilla,1,0,1.3,0.6
2020-10-17,45,Sáb,Celta Vigo,Atlético Madrid,0,2,1.9,1.4
2020-10-17,46,Sáb,Real Madrid,Cádiz,0,1,1.0,1.6
2020-10-17,47,Sáb,Getafe,Barcelona,1,0,1.6,0.7
2020-10-18,48,Dom,Eibar,Osasuna,0,0,0.3,1.0
2020-10-18,49,Dom,Athletic Club,Levante,2,0,2.3,0.3
2020-10-18,50,Dom,Villarreal,Valencia,2,1,1.5,0.6
2020-10-18,51,Dom,Huesca,Valladolid,2,2,1.1,1.0
2020-10-18,52,Dom,Alavés,Elche,0,2,1.7,0.8
2020-10-18,53,Dom,Betis,Real Sociedad,0,3,0.4,1.7
2020-10-23,54,Vie,Elche,Valencia,2,1,0.1,1.6
2020-10-24,55,Sáb,Barcelona,Real Madrid,1,3,1.8,3.0
2020-10-24,56,Sáb,Osasuna,Athletic Club,1,0,1.2,0.7
2020-10-24,57,Sáb,Sevilla,Eibar,0,1,1.7,0.2
2020-10-24,58,Sáb,Atlético Madrid,Betis,2,0,1.4,1.1
2020-10-25,59,Dom,Valladolid,Alavés,0,2,0.3,2.5
2020-10-25,60,Dom,Cádiz,Villarreal,0,0,0.2,0.8
2020-10-25,61,Dom,Getafe,Granada,0,1,0.9,1.1
2020-10-25,62,Dom,Real Sociedad,Huesca,4,1,2.5,0.5
2020-10-26,63,Lun,Levante,Celta Vigo,1,1,1.2,0.8
2020-10-30,64,Vie,Eibar,Cádiz,0,2,0.5,1.0
2020-10-31,65,Sáb,Real Madrid,Huesca,4,1,2.3,1.0
2020-10-31,66,Sáb,Athletic Club,Sevilla,2,1,1.2,1.1
2020-10-31,67,Sáb,Osasuna,Atlético Madrid,1,3,1.1,2.8
2020-10-31,68,Sáb,Alavés,Barcelona,1,1,1.2,1.9
2020-11-01,69,Dom,Betis,Elche,3,1,3.2,0.7
2020-11-01,70,Dom,Celta Vigo,Real Sociedad,1,4,1.6,2.0
2020-11-01,71,Dom,Granada,Levante,1,1,0.2,0.9
2020-11-01,72,Dom,Valencia,Getafe,2,2,1.4,2.4
2020-11-02,73,Lun,Villarreal,Valladolid,2,0,1.8,0.7
2020-11-06,74,Vie,Elche,Celta Vigo,1,1,1.5,2.1
2020-11-07,75,Sáb,Huesca,Eibar,1,1,2.2,0.9
2020-11-07,76,Sáb,Barcelona,Betis,5,2,3.4,1.1
2020-11-07,77,Sáb,Sevilla,Osasuna,1,0,1.1,0.7
2020-11-07,78,Sáb,Atlético Madrid,Cádiz,4,0,2.1,0.4
2020-11-08,79,Dom,Getafe,Villarreal,1,3,0.7,2.3
2020-11-08,80,Dom,Real Sociedad,Granada,2,0,3.4,0.8
