Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2019-08-17,1,Sáb,Racing Sant,Málaga,0,1,0.9,0.8
2019-08-17,2,Sáb,Lugo,Extremadura,0,0,0.9,0.5
2019-08-17,3,Sáb,Almería,Albacete,3,0,1.7,0.1
2019-08-17,4,Sáb,Elche,Fuenlabrada,0,2,0.3,1.9
2019-08-17,5,Sáb,Zaragoza,Tenerife,2,0,2.0,1.0
2019-08-17,6,Sáb,Rayo Vallecano,CD Mirandés,2,2,2.4,0.8
2019-08-18,7,Dom,Numancia,Alcorcón,0,1,1.1,1.1
2019-08-18,8,Dom,La Coruña,Oviedo,3,2,1.1,1.1
2019-08-18,9,Dom,Girona,Sporting Gijón,1,1,1.3,1.0
2019-08-18,10,Dom,Las Palmas,Huesca,0,1,0.4,1.1
2019-08-18,11,Dom,Cádiz,Ponferradina,3,1,0.6,0.2
2019-08-23,12,Vie,Albacete,Girona,1,0,0.3,0.6
2019-08-24,13,Sáb,Racing Sant,Almería,1,1,0.5,1.9
2019-08-24,14,Sáb,Oviedo,Lugo,1,1,2.3,2.1
2019-08-24,15,Sáb,CD Mirandés,Cádiz,1,2,0.4,1.9
2019-08-24,16,Sáb,Alcorcón,Elche,1,2,1.0,0.4
2019-08-24,17,Sáb,Málaga,Las Palmas,1,1,1.7,0.5
2019-08-25,18,Dom,Ponferradina,Zaragoza,1,1,1.6,0.6
2019-08-25,19,Dom,Sporting Gijón,Rayo Vallecano,1,1,0.2,1.6
2019-08-25,20,Dom,Huesca,La Coruña,3,1,2.5,0.4
2019-08-25,21,Dom,Tenerife,Numancia,3,2,1.9,1.4
2019-08-25,22,Dom,Extremadura,Fuenlabrada,1,2,0.5,2.0
2019-08-30,23,Vie,Zaragoza,Elche,1,0,2.2,0.1
2019-08-31,24,Sáb,Numancia,CD Mirandés,2,0,1.6,0.6
2019-08-31,25,Sáb,Fuenlabrada,Oviedo,2,1,1.6,1.7
