Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2019-08-16,1,Vie,Athletic Club,Barcelona,1,0,0.5,0.9
2019-08-17,2,Sáb,Celta Vigo,Real Madrid,1,3,1.6,2.1
2019-08-17,3,Sáb,Valencia,Real Sociedad,1,1,2.3,1.8
2019-08-17,4,Sáb,Mallorca,Eibar,2,1,1.6,0.7
2019-08-17,5,Sáb,Leganés,Osasuna,0,1,1.4,0.2
2019-08-17,6,Sáb,Villarreal,Granada,4,4,1.9,1.9
2019-08-18,7,Dom,Alavés,Levante,1,0,0.5,1.1
2019-08-18,8,Dom,Espanyol,Sevilla,0,2,0.2,1.6
2019-08-18,9,Dom,Betis,Valladolid,1,2,1.5,0.7
2019-08-18,10,Dom,Atlético Madrid,Getafe,1,0,2.2,0.3
2019-08-23,11,Vie,Granada,Sevilla,0,1,0.5,1.1
2019-08-23,12,Vie,Levante,Villarreal,2,1,2.1,3.0
2019-08-24,13,Sáb,Osasuna,Eibar,0,0,0.5,0.8
2019-08-24,14,Sáb,Real Madrid,Valladolid,1,1,1.7,1.2
2019-08-24,15,Sáb,Getafe,Athletic Club,1,1,0.3,0.5
2019-08-24,16,Sáb,Celta Vigo,Valencia,1,0,1.9,1.0
2019-08-25,17,Dom,Alavés,Espanyol,0,0,0.8,0.2
2019-08-25,18,Dom,Mallorca,Real Sociedad,0,1,1.0,1.6
2019-08-25,19,Dom,Leganés,Atlético Madrid,0,1,0.4,1.8
2019-08-25,20,Dom,Barcelona,Betis,5,2,2.6,0.2
2019-08-30,21,Vie,Sevilla,Celta Vigo,1,1,1.5,0.4
2019-08-30,22,Vie,Athletic Club,Real Sociedad,2,0,1.0,0.2
2019-08-31,23,Sáb,Osasuna,Barcelona,2,2,1.8,0.4
2019-08-31,24,Sáb,Levante,Valladolid,2,0,2.7,1.1
2019-08-31,25,Sáb,Getafe,Alavés,1,1,1.0,1.0
2019-08-31,26,Sáb,Betis,Leganés,2,1,2.1,1.4
2019-09-01,27,Dom,Valencia,Mallorca,2,0,2.3,1.2
2019-09-01,28,Dom,Atlético Madrid,Eibar,3,2,1.5,0.9
2019-09-01,29,Dom,Espanyol,Granada,0,3,1.4,1.4
2019-09-01,30,Dom,Villarreal,Real Madrid,2,2,1.4,1.9
2019-09-13,31,Vie,Mallorca,Athletic Club,0,0,1.8,1.5
2019-09-14,32,Sáb,Real Madrid,Levante,3,2,2.9,1.2
2019-09-14,33,Sáb,Leganés,Villarreal,0,3,0.4,1.6
2019-09-14,34,Sáb,Real Sociedad,Atlético Madrid,2,0,2.1,1.2
2019-09-14,35,Sáb,Barcelona,Valencia,5,2,2.4,1.5
2019-09-15,36,Dom,Eibar,Espanyol,1,2,0.7,1.8
2019-09-15,37,Dom,Alavés,Sevilla,0,1,0.8,1.1
2019-09-15,38,Dom,Celta Vigo,Granada,0,2,0.3,1.2
2019-09-15,39,Dom,Valladolid,Osasuna,1,1,0.7,2.5
2019-09-15,40,Dom,Betis,Getafe,1,1,1.1,1.5
2019-09-20,41,Vie,Osasuna,Betis,0,0,2.1,0.4
2019-09-21,42,Sáb,Villarreal,Valladolid,2,0,2.1,0.4
2019-09-21,43,Sáb,Levante,Eibar,0,0,1.5,1.4
2019-09-21,44,Sáb,Atlético Madrid,Celta Vigo,0,0,1.7,0.6
2019-09-21,45,Sáb,Granada,Barcelona,2,0,1.9,0.5
2019-09-22,46,Dom,Getafe,Mallorca,4,2,2.1,0.8
2019-09-22,47,Dom,Espanyol,Real Sociedad,1,3,0.9,1.3
2019-09-22,48,Dom,Valencia,Leganés,1,1,1.5,1.2
2019-09-22,49,Dom,Athletic Club,Alavés,2,0,2.4,0.2
2019-09-22,50,Dom,Sevilla,Real Madrid,0,1,0.5,1.2
2019-09-24,51,Mar,Valladolid,Granada,1,1,1.4,0.6
2019-09-24,52,Mar,Betis,Levante,3,1,2.9,1.5
