Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2024-08-15,1,Jue,Athletic Club,Getafe,1,1,0.3,0.8
2024-08-15,2,Jue,Betis,Girona,1,1,1.4,1.6
2024-08-16,3,Vie,Celta Vigo,Alavés,2,1,0.8,1.6
2024-08-16,4,Vie,Las Palmas,Sevilla,2,2,1.4,1.8
2024-08-17,5,Sáb,Osasuna,Leganés,1,1,1.7,1.0
2024-08-17,6,Sáb,Valencia,Barcelona,1,2,1.0,3.2
2024-08-18,7,Dom,Real Sociedad,Rayo Vallecano,1,2,1.1,1.1
2024-08-18,8,Dom,Mallorca,Real Madrid,1,1,1.0,0.6
2024-08-19,9,Lun,Valladolid,Espanyol,1,0,0.8,0.7
2024-08-19,10,Lun,Villarreal,Atlético Madrid,2,2,0.8,1.1
2024-08-23,11,Vie,Celta Vigo,Valencia,3,1,1.3,0.9
2024-08-23,12,Vie,Sevilla,Villarreal,1,2,1.0,0.9
2024-08-24,13,Sáb,Osasuna,Mallorca,1,0,0.6,0.6
2024-08-24,14,Sáb,Barcelona,Athletic Club,2,1,1.8,1.0
2024-08-24,15,Sáb,Espanyol,Real Sociedad,0,1,1.6,0.7
2024-08-24,16,Sáb,Getafe,Rayo Vallecano,0,0,0.5,0.2
2024-08-25,17,Dom,Real Madrid,Valladolid,3,0,2.1,0.4
2024-08-25,18,Dom,Leganés,Las Palmas,2,1,1.5,0.9
2024-08-25,19,Dom,Alavés,Betis,0,0,0.2,1.5
2024-08-25,20,Dom,Atlético Madrid,Girona,3,0,1.2,0.7
2024-08-26,21,Lun,Villarreal,Celta Vigo,4,3,3.6,2.7
2024-08-27,22,Mar,Mallorca,Sevilla,0,0,0.9,0.7
2024-08-27,23,Mar,Rayo Vallecano,Barcelona,1,2,0.4,1.4
2024-08-28,24,Mié,Valladolid,Leganés,0,0,1.1,0.2
2024-08-28,25,Mié,Athletic Club,Valencia,1,0,1.4,0.1
2024-08-28,26,Mié,Real Sociedad,Alavés,1,2,1.0,1.6
2024-08-28,27,Mié,Atlético Madrid,Espanyol,0,0,2.3,0.6
2024-08-29,28,Jue,Girona,Osasuna,4,0,2.4,0.0
2024-08-29,29,Jue,Las Palmas,Real Madrid,1,1,0.8,2.5
2024-08-31,30,Sáb,Barcelona,Valladolid,7,0,4.7,0.5
2024-08-31,31,Sáb,Athletic Club,Atlético Madrid,0,1,0.3,1.7
2024-08-31,32,Sáb,Espanyol,Rayo Vallecano,2,1,1.6,1.3
2024-08-31,33,Sáb,Leganés,Mallorca,0,1,0.3,1.0
2024-08-31,34,Sáb,Valencia,Villarreal,1,1,1.1,0.5
2024-09-01,35,Dom,Alavés,Las Palmas,2,0,2.0,0.7
2024-09-01,36,Dom,Osasuna,Celta Vigo,3,2,0.9,1.7
2024-09-01,37,Dom,Sevilla,Girona,0,2,0.9,1.9
2024-09-01,38,Dom,Getafe,Real Sociedad,0,0,0.6,0.0
2024-09-01,39,Dom,Real Madrid,Betis,2,0,2.4,0.6
2024-09-13,40,Vie,Betis,Leganés,2,0,2.1,0.1
2024-09-14,41,Sáb,Mallorca,Villarreal,1,2,0.3,1.8
2024-09-14,42,Sáb,Espanyol,Alavés,3,2,1.6,1.9
2024-09-14,43,Sáb,Sevilla,Getafe,1,0,1.4,1.0
2024-09-14,44,Sáb,Real Sociedad,Real Madrid,0,2,1.1,2.3
2024-09-15,45,Dom,Celta Vigo,Valladolid,3,1,1.8,0.5
2024-09-15,46,Dom,Girona,Barcelona,1,4,1.3,1.9
2024-09-15,47,Dom,Las Palmas,Athletic Club,2,3,1.4,1.7
2024-09-15,48,Dom,Atlético Madrid,Valencia,3,0,3.1,0.1
2024-09-16,49,Lun,Rayo Vallecano,Osasuna,3,1,1.6,0.3
2024-09-17,50,Mar,Mallorca,Real Sociedad,1,0,1.2,0.6
2024-09-18,51,Mié,Betis,Getafe,2,1,2.6,0.6
2024-09-19,52,Jue,Leganés,Athletic Club,0,2,0.9,1.3
2024-09-20,53,Vie,Alavés,Sevilla,2,1,1.1,0.5
2024-09-21,54,Sáb,Valladolid,Real Sociedad,0,0,1.0,1.4
2024-09-21,55,Sáb,Osasuna,Las Palmas,2,1,1.9,0.8
2024-09-21,56,Sáb,Valencia,Girona,2,0,0.4,0.4
2024-09-21,57,Sáb,Real Madrid,Espanyol,4,1,4.4,0.3
2024-09-22,58,Dom,Getafe,Leganés,1,1,1.5,0.6
2024-09-22,59,Dom,Athletic Club,Celta Vigo,3,1,0.7,1.3
2024-09-22,60,Dom,Villarreal,Barcelona,1,5,2.2,3.9
2024-09-22,61,Dom,Rayo Vallecano,Atlético Madrid,1,1,1.7,0.5
2024-09-23,62,Lun,Betis,Mallorca,1,2,1.0,1.0
2024-09-24,63,Mar,Sevilla,Valladolid,2,1,2.1,0.7
2024-09-24,64,Mar,Valencia,Osasuna,0,0,0.7,0.5
2024-09-24,65,Mar,Real Madrid,Alavés,3,2,1.3,0.9
2024-09-25,66,Mié,Girona,Rayo Vallecano,0,0,2.0,0.5
2024-09-25,67,Mié,Barcelona,Getafe,1,0,1.9,0.7
2024-09-26,68,Jue,Las Palmas,Betis,1,1,1.0,1.9
2024-09-26,69,Jue,Espanyol,Villarreal,1,2,0.4,1.6
2024-09-26,70,Jue,Celta Vigo,Atlético Madrid,0,1,1.5,0.6
2024-09-27,71,Vie,Valladolid,Mallorca,1,2,1.2,2.2
