Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2018-08-17,1,Vie,Girona,Valladolid,0,0,0.7,0.0
2018-08-17,2,Vie,Betis,Levante,0,3,0.9,2.5
2018-08-18,3,Sáb,Celta Vigo,Espanyol,1,1,0.6,0.6
2018-08-18,4,Sáb,Villarreal,Real Sociedad,1,2,1.6,0.7
2018-08-18,5,Sáb,Barcelona,Alavés,3,0,3.2,0.3
2018-08-19,6,Dom,Eibar,Huesca,1,2,1.3,1.7
2018-08-19,7,Dom,Rayo Vallecano,Sevilla,1,4,2.1,2.8
2018-08-19,8,Dom,Real Madrid,Getafe,2,0,1.0,0.2
2018-08-20,9,Lun,Valencia,Atlético Madrid,1,1,1.1,0.9
2018-08-20,10,Lun,Athletic Club,Leganés,2,1,2.2,1.0
2018-08-24,11,Vie,Getafe,Eibar,2,0,1.4,0.6
2018-08-24,12,Vie,Leganés,Real Sociedad,2,2,1.7,1.6
2018-08-25,13,Sáb,Alavés,Betis,0,0,0.6,0.9
2018-08-25,14,Sáb,Atlético Madrid,Rayo Vallecano,1,0,0.9,1.5
2018-08-25,15,Sáb,Valladolid,Barcelona,0,1,0.4,1.0
2018-08-26,16,Dom,Espanyol,Valencia,2,0,1.3,1.9
2018-08-26,17,Dom,Girona,Real Madrid,1,4,0.4,3.9
2018-08-26,18,Dom,Sevilla,Villarreal,0,0,1.9,1.0
2018-08-27,19,Lun,Levante,Celta Vigo,1,2,1.9,2.5
2018-08-27,20,Lun,Athletic Club,Huesca,2,2,0.6,0.3
2018-08-31,21,Vie,Getafe,Valladolid,0,0,1.2,0.9
2018-08-31,22,Vie,Villarreal,Girona,0,1,1.1,1.0
2018-08-31,23,Vie,Eibar,Real Sociedad,2,1,1.0,1.3
2018-09-01,24,Sáb,Celta Vigo,Atlético Madrid,2,0,0.5,0.4
2018-09-01,25,Sáb,Real Madrid,Leganés,4,1,2.5,1.1
2018-09-02,26,Dom,Levante,Valencia,2,2,1.6,4.1
2018-09-02,27,Dom,Alavés,Espanyol,2,1,1.4,1.2
2018-09-02,28,Dom,Barcelona,Huesca,8,2,5.3,1.7
2018-09-02,29,Dom,Betis,Sevilla,1,0,0.9,0.6
2018-09-14,30,Vie,Huesca,Rayo Vallecano,0,1,1.7,1.2
2018-09-15,31,Sáb,Atlético Madrid,Eibar,1,1,2.3,1.3
2018-09-15,32,Sáb,Real Sociedad,Barcelona,1,2,1.4,1.4
2018-09-15,33,Sáb,Valencia,Betis,0,0,1.0,1.0
2018-09-15,34,Sáb,Athletic Club,Real Madrid,1,1,1.4,1.8
2018-09-16,35,Dom,Leganés,Villarreal,0,1,1.4,0.5
2018-09-16,36,Dom,Espanyol,Levante,1,0,1.6,0.8
2018-09-16,37,Dom,Valladolid,Alavés,0,1,1.1,0.8
2018-09-16,38,Dom,Sevilla,Getafe,0,2,1.2,1.9
2018-09-17,39,Lun,Girona,Celta Vigo,3,2,1.7,1.0
2018-09-21,40,Vie,Huesca,Real Sociedad,0,1,0.6,0.2
2018-09-22,41,Sáb,Rayo Vallecano,Alavés,1,5,1.5,1.3
2018-09-22,42,Sáb,Eibar,Leganés,1,0,1.3,0.3
2018-09-22,43,Sáb,Celta Vigo,Valladolid,3,3,1.9,2.1
2018-09-22,44,Sáb,Getafe,Atlético Madrid,0,2,0.6,1.1
2018-09-22,45,Sáb,Real Madrid,Espanyol,1,0,1.0,0.4
2018-09-23,46,Dom,Levante,Sevilla,2,6,2.3,3.2
2018-09-23,47,Dom,Villarreal,Valencia,0,0,0.7,0.4
2018-09-23,48,Dom,Betis,Athletic Club,2,2,1.1,0.6
2018-09-23,49,Dom,Barcelona,Girona,2,2,1.4,1.5
2018-09-25,50,Mar,Espanyol,Eibar,1,0,0.9,0.3
