Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2021-08-13,1,Vie,Huesca,Eibar,2,0,0.5,0.8
2021-08-13,2,Vie,Zaragoza,Ibiza,0,0,0.5,0.6
2021-08-14,3,Sáb,Real Sociedad B,Leganés,1,0,1.0,0.8
2021-08-14,4,Sáb,Girona,Amorebieta,2,0,1.5,0.5
2021-08-14,5,Sáb,Ponferradina,Alcorcón,1,0,1.5,0.7
2021-08-15,6,Dom,Sporting Gijón,Burgos,1,0,1.2,1.2
2021-08-15,7,Dom,Oviedo,Lugo,2,2,1.0,1.7
2021-08-15,8,Dom,Las Palmas,Valladolid,1,1,0.8,1.2
2021-08-15,9,Dom,Fuenlabrada,Tenerife,1,2,0.6,1.1
2021-08-16,10,Lun,Málaga,CD Mirandés,0,0,1.5,0.4
2021-08-16,11,Lun,Cartagena,Almería,1,3,0.9,2.0
2021-08-20,12,Vie,Valladolid,Zaragoza,2,0,0.9,1.8
2021-08-20,13,Vie,Almería,Oviedo,2,1,1.6,0.4
2021-08-21,14,Sáb,Lugo,Real Sociedad B,0,0,1.1,0.6
2021-08-21,15,Sáb,Tenerife,Sporting Gijón,0,0,1.2,0.2
2021-08-21,16,Sáb,Alcorcón,Fuenlabrada,0,2,1.4,1.4
2021-08-22,17,Dom,Ibiza,Málaga,2,2,1.0,1.0
2021-08-22,18,Dom,Eibar,Ponferradina,0,1,1.7,0.5
2021-08-22,19,Dom,Girona,Las Palmas,0,0,1.0,0.2
2021-08-22,20,Dom,Huesca,Cartagena,2,0,1.4,0.5
2021-08-23,21,Lun,CD Mirandés,Amorebieta,2,0,2.1,1.4
2021-08-23,22,Lun,Leganés,Burgos,0,0,1.8,0.3
2021-08-27,23,Vie,Las Palmas,Huesca,2,1,1.3,0.8
2021-08-27,24,Vie,Málaga,Alcorcón,1,0,1.3,0.4
2021-08-28,25,Sáb,Sporting Gijón,CD Mirandés,2,1,1.5,0.8
2021-08-28,26,Sáb,Leganés,Ibiza,1,2,1.4,0.9
2021-08-28,27,Sáb,Oviedo,Tenerife,0,0,0.8,0.4
2021-08-28,28,Sáb,Ponferradina,Girona,2,1,0.7,1.3
2021-08-29,29,Dom,Amorebieta,Almería,2,1,1.3,1.1
2021-08-29,30,Dom,Lugo,Valladolid,0,2,1.2,0.4
2021-08-29,31,Dom,Real Sociedad B,Fuenlabrada,0,0,1.7,0.1
2021-08-29,32,Dom,Burgos,Eibar,0,1,1.0,0.6
2021-08-30,33,Lun,Zaragoza,Cartagena,0,1,0.5,0.6
2021-09-03,34,Vie,Girona,Sporting Gijón,1,2,1.6,1.8
2021-09-04,35,Sáb,Eibar,Leganés,1,1,1.6,0.6
2021-09-04,36,Sáb,Tenerife,Ponferradina,2,0,1.1,0.8
2021-09-04,37,Sáb,Cartagena,Real Sociedad B,1,0,1.2,1.1
2021-09-04,38,Sáb,Almería,Málaga,2,0,1.7,1.6
2021-09-04,39,Sáb,Fuenlabrada,Lugo,1,1,1.5,0.4
2021-09-05,40,Dom,Burgos,Valladolid,3,0,1.8,0.6
2021-09-05,41,Dom,Ibiza,Amorebieta,1,1,2.6,0.7
2021-09-05,42,Dom,Alcorcón,Zaragoza,1,2,1.2,1.7
2021-09-05,43,Dom,CD Mirandés,Las Palmas,4,2,2.1,1.3
2021-09-06,44,Lun,Huesca,Oviedo,1,2,2.1,0.9
2021-09-10,45,Vie,Sporting Gijón,Leganés,2,1,2.2,0.8
2021-09-11,46,Sáb,Amorebieta,Burgos,2,2,1.7,1.7
2021-09-11,47,Sáb,Real Sociedad B,Eibar,2,3,0.7,1.6
2021-09-11,48,Sáb,Las Palmas,Ibiza,1,1,0.9,0.7
2021-09-11,49,Sáb,CD Mirandés,Alcorcón,1,3,0.9,1.8
2021-09-12,50,Dom,Oviedo,Cartagena,2,0,2.5,0.9
2021-09-12,51,Dom,Valladolid,Tenerife,0,2,0.7,1.4
2021-09-12,52,Dom,Ponferradina,Almería,1,0,1.1,0.4
2021-09-12,53,Dom,Fuenlabrada,Zaragoza,1,1,1.5,3.0
2021-09-12,54,Dom,Málaga,Girona,2,0,2.0,0.7
2021-09-13,55,Lun,Lugo,Huesca,3,2,2.8,0.5
2021-09-17,56,Vie,Alcorcón,Almería,0,4,1.1,3.1
2021-09-18,57,Sáb,Ibiza,Oviedo,1,1,0.8,1.8
2021-09-18,58,Sáb,Zaragoza,Real Sociedad B,1,1,2.1,0.5
