Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2023-08-11,1,Vie,Amorebieta,Levante,1,1,1.4,1.3
2023-08-11,2,Vie,Valladolid,Sporting Gijón,2,0,1.6,0.4
2023-08-12,3,Sáb,Racing Sant,Eibar,4,0,2.2,0.9
2023-08-12,4,Sáb,Zaragoza,Villarreal B,2,0,2.2,0.4
2023-08-12,5,Sáb,Elche,Racing Ferrol,0,1,0.6,0.8
2023-08-13,6,Dom,Burgos,Huesca,1,1,2.2,0.2
2023-08-13,7,Dom,Albacete,Espanyol,1,1,3.3,0.8
2023-08-13,8,Dom,Cartagena,Eldense,0,1,0.7,0.3
2023-08-13,9,Dom,Leganés,FC Andorra,0,1,1.2,2.1
2023-08-14,10,Lun,CD Mirandés,Alcorcón,4,0,2.4,0.6
2023-08-14,11,Lun,Tenerife,Oviedo,1,0,2.0,0.2
2023-08-18,12,Vie,FC Andorra,Cartagena,3,2,2.4,1.8
2023-08-18,13,Vie,Zaragoza,Valladolid,1,0,0.4,0.4
2023-08-19,14,Sáb,Eibar,Elche,2,1,0.7,2.0
2023-08-19,15,Sáb,Espanyol,Racing Sant,2,0,1.4,0.8
2023-08-19,16,Sáb,Levante,Burgos,3,2,1.7,2.0
2023-08-19,17,Sáb,Alcorcón,Leganés,0,2,0.6,0.4
2023-08-20,18,Dom,Oviedo,Racing Ferrol,1,1,0.6,1.3
2023-08-20,19,Dom,Sporting Gijón,CD Mirandés,3,0,0.6,0.8
2023-08-20,20,Dom,Albacete,Amorebieta,2,2,1.7,1.5
2023-08-21,21,Lun,Villarreal B,Eldense,3,1,2.0,1.5
2023-08-21,22,Lun,Huesca,Tenerife,0,2,1.1,1.3
2023-08-25,23,Vie,Cartagena,Levante,0,1,0.7,1.3
2023-08-26,24,Sáb,Burgos,Oviedo,1,0,1.2,0.6
2023-08-26,25,Sáb,Tenerife,Zaragoza,0,1,0.6,0.7
2023-08-26,26,Sáb,Elche,Villarreal B,1,0,2.5,0.7
2023-08-26,27,Sáb,Valladolid,Alcorcón,0,2,1.3,1.9
2023-08-27,28,Dom,Racing Ferrol,Sporting Gijón,2,0,0.7,1.0
2023-08-27,29,Dom,CD Mirandés,Espanyol,0,1,0.1,0.9
2023-08-27,30,Dom,Amorebieta,FC Andorra,3,0,0.7,0.8
2023-08-27,31,Dom,Leganés,Albacete,2,0,1.9,0.9
2023-08-28,32,Lun,Eldense,Eibar,2,1,0.3,0.6
2023-08-28,33,Lun,Racing Sant,Huesca,0,0,0.8,0.4
2023-09-01,34,Vie,Alcorcón,Racing Ferrol,1,1,1.3,0.8
2023-09-01,35,Vie,Albacete,Valladolid,2,0,1.0,0.5
2023-09-02,36,Sáb,Sporting Gijón,Burgos,2,1,0.8,0.1
2023-09-02,37,Sáb,Levante,Oviedo,1,1,1.0,1.3
2023-09-02,38,Sáb,Villarreal B,Cartagena,1,2,1.1,1.4
2023-09-02,39,Sáb,Elche,Racing Sant,1,1,1.4,0.9
2023-09-03,40,Dom,FC Andorra,Tenerife,0,1,1.0,1.6
2023-09-03,41,Dom,Eibar,Leganés,0,1,1.3,0.1
2023-09-03,42,Dom,Zaragoza,Eldense,2,0,0.7,0.5
2023-09-03,43,Dom,Espanyol,Amorebieta,3,2,3.4,0.9
2023-09-03,44,Dom,Huesca,CD Mirandés,1,1,0.8,1.5
2023-09-08,45,Vie,Levante,Espanyol,1,4,1.0,2.3
2023-09-09,46,Sáb,Burgos,Eibar,1,0,0.9,0.7
2023-09-09,47,Sáb,Oviedo,Sporting Gijón,0,0,0.2,0.5
2023-09-09,48,Sáb,Tenerife,Albacete,2,0,1.8,1.6
2023-09-09,49,Sáb,Leganés,Huesca,2,0,0.9,0.3
2023-09-10,50,Dom,Racing Sant,Amorebieta,1,0,0.8,0.2
2023-09-10,51,Dom,Racing Ferrol,Villarreal B,2,2,2.7,0.7
2023-09-10,52,Dom,Cartagena,Zaragoza,1,3,1.0,1.6
2023-09-10,53,Dom,CD Mirandés,FC Andorra,4,3,1.7,1.8
