Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2024-08-15,1,Jue,Granada,Albacete,1,2,1.6,1.4
2024-08-16,2,Vie,CD Mirandés,Córdoba,1,0,0.4,2.5
2024-08-16,3,Vie,Cádiz,Zaragoza,0,4,0.8,2.1
2024-08-17,4,Sáb,Racing Ferrol,Málaga,2,2,2.2,1.3
2024-08-17,5,Sáb,Eibar,Castellón,1,0,0.7,1.1
2024-08-17,6,Sáb,La Coruña,Oviedo,0,1,0.8,0.7
2024-08-18,7,Dom,Sporting Gijón,Levante,1,2,0.7,0.9
2024-08-18,8,Dom,Racing Sant,Almería,2,2,3.0,2.0
2024-08-18,9,Dom,Burgos,Cartagena,3,1,2.3,1.4
2024-08-18,10,Dom,Elche,Huesca,0,1,1.0,0.4
2024-08-19,11,Lun,Eldense,Tenerife,2,1,0.9,0.7
2024-08-23,12,Vie,Racing Sant,Eibar,2,2,2.8,1.6
2024-08-23,13,Vie,Huesca,La Coruña,2,1,2.3,0.8
2024-08-24,14,Sáb,Racing Ferrol,Granada,0,1,1.0,1.2
2024-08-24,15,Sáb,Sporting Gijón,Eldense,0,0,1.6,1.0
2024-08-24,16,Sáb,Levante,Cádiz,1,1,2.6,1.6
2024-08-24,17,Sáb,Tenerife,Almería,0,1,1.0,1.5
2024-08-24,18,Sáb,Málaga,CD Mirandés,1,1,0.3,0.3
2024-08-25,19,Dom,Albacete,Elche,1,0,1.3,0.9
2024-08-25,20,Dom,Castellón,Oviedo,0,0,1.6,1.0
2024-08-26,21,Lun,Cartagena,Zaragoza,1,2,0.5,2.1
2024-08-26,22,Lun,Córdoba,Burgos,2,2,1.1,1.5
2024-08-30,23,Vie,Granada,Huesca,1,3,0.8,2.1
2024-08-30,24,Vie,Oviedo,Racing Sant,1,3,1.0,0.8
2024-08-31,25,Sáb,Cádiz,Tenerife,2,2,1.8,1.1
2024-08-31,26,Sáb,Málaga,Albacete,2,1,1.6,2.3
2024-08-31,27,Sáb,Almería,Sporting Gijón,1,1,2.0,1.6
2024-09-01,28,Dom,La Coruña,Racing Ferrol,1,0,0.6,0.4
2024-09-01,29,Dom,Burgos,Castellón,0,2,1.7,1.5
2024-09-01,30,Dom,Eldense,Cartagena,1,2,2.3,1.0
2024-09-01,31,Dom,CD Mirandés,Zaragoza,0,0,0.8,0.2
2024-09-02,32,Lun,Eibar,Levante,2,2,2.9,1.1
2024-09-02,33,Lun,Elche,Córdoba,3,1,3.5,0.6
2024-09-06,34,Vie,Tenerife,Racing Sant,0,1,1.0,1.4
2024-09-07,35,Sáb,Granada,La Coruña,1,1,0.8,0.6
2024-09-07,36,Sáb,Sporting Gijón,Oviedo,3,1,1.7,0.8
2024-09-07,37,Sáb,Huesca,Burgos,0,1,0.3,1.2
2024-09-07,38,Sáb,Córdoba,Málaga,0,0,1.3,0.1
2024-09-08,39,Dom,Racing Ferrol,CD Mirandés,0,0,0.4,0.6
2024-09-08,40,Dom,Cartagena,Levante,0,1,0.6,1.8
2024-09-08,41,Dom,Zaragoza,Elche,3,0,1.3,0.1
2024-09-08,42,Dom,Eldense,Almería,1,0,0.8,0.6
2024-09-09,43,Lun,Castellón,Cádiz,1,3,1.5,1.6
2024-09-09,44,Lun,Albacete,Eibar,0,1,1.2,0.8
2024-09-13,45,Vie,Córdoba,La Coruña,2,0,1.9,1.7
2024-09-14,46,Sáb,Levante,Eldense,3,1,2.2,0.5
2024-09-14,47,Sáb,Eibar,Tenerife,1,0,0.4,0.5
2024-09-14,48,Sáb,Málaga,Huesca,1,0,0.9,0.4
2024-09-14,49,Sáb,Racing Sant,Sporting Gijón,1,0,2.1,0.7
2024-09-15,50,Dom,CD Mirandés,Albacete,2,0,1.8,1.3
2024-09-15,51,Dom,Oviedo,Cartagena,1,0,1.3,0.4
2024-09-15,52,Dom,Burgos,Zaragoza,1,0,2.0,0.4
2024-09-15,53,Dom,Cádiz,Racing Ferrol,0,0,1.0,0.7
2024-09-15,54,Dom,Elche,Granada,2,2,2.4,2.2
2024-09-16,55,Lun,Almería,Castellón,2,5,2.1,1.1
2024-09-20,56,Vie,Granada,Málaga,2,2,2.3,1.0
2024-09-21,57,Sáb,Racing Ferrol,Albacete,1,4,1.0,2.0
2024-09-21,58,Sáb,La Coruña,Burgos,0,2,1.2,1.3
2024-09-21,59,Sáb,Eldense,Oviedo,1,1,1.9,0.4
2024-09-21,60,Sáb,Zaragoza,Levante,2,1,1.2,2.0
2024-09-22,61,Dom,Tenerife,Sporting Gijón,1,1,1.0,0.5
2024-09-22,62,Dom,Cartagena,Cádiz,1,2,0.5,1.7
2024-09-22,63,Dom,Castellón,Racing Sant,0,1,1.7,1.9
2024-09-22,64,Dom,Elche,CD Mirandés,1,0,1.6,0.1
2024-09-22,65,Dom,Almería,Eibar,2,2,0.8,0.6
2024-09-23,66,Lun,Huesca,Córdoba,4,1,1.8,1.0
2024-09-27,67,Vie,Albacete,La Coruña,2,5,1.9,2.6
