Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante
2022-10-02,85,Dom,Granada,Huesca,0,0,0.5,0.5
2022-10-02,86,Dom,Oviedo,Cartagena,1,3,0.5,1.1
2022-10-02,87,Dom,Ibiza,Lugo,3,2,1.6,1.8
2022-10-03,88,Lun,Zaragoza,Eibar,0,0,0.8,0.1
2022-10-07,89,Vie,Sporting Gijón,Villarreal B,3,1,1.0,0.5
2022-10-08,90,Sáb,Ponferradina,Granada,0,0,1.0,0.9
2022-10-08,91,Sáb,Las Palmas,Ibiza,0,0,1.4,0.3
2022-10-08,92,Sáb,Huesca,Lugo,1,1,1.4,0.8
2022-10-08,93,Sáb,Burgos,Alavés,3,0,2.1,0.5
2022-10-09,94,Dom,Cartagena,Leganés,1,2,0.9,0.8
2022-10-09,95,Dom,Zaragoza,Oviedo,1,1,0.9,0.4
2022-10-09,96,Dom,Albacete,Tenerife,1,1,0.3,1.0
2022-10-09,97,Dom,Levante,Racing Sant,0,1,0.8,1.9
2022-10-09,98,Dom,Málaga,FC Andorra,0,0,0.8,0.7
2022-10-10,99,Lun,Eibar,CD Mirandés,0,0,1.0,0.7
2022-10-12,100,Mié,Villarreal B,Ponferradina,2,2,2.6,0.5
2022-10-12,101,Mié,FC Andorra,Burgos,0,1,1.0,1.6
2022-10-12,102,Mié,Leganés,Málaga,1,0,1.0,0.5
2022-10-12,103,Mié,Tenerife,Cartagena,0,0,1.2,0.5
2022-10-12,104,Mié,Oviedo,Huesca,0,1,1.0,0.7
2022-10-12,105,Mié,Alavés,Albacete,0,0,0.3,0.3
2022-10-12,106,Mié,Racing Sant,Zaragoza,1,0,1.7,0.3
2022-10-12,107,Mié,Lugo,Las Palmas,0,1,0.6,1.2
2022-10-13,108,Jue,Ibiza,Eibar,1,2,0.6,2.1
2022-10-13,109,Jue,CD Mirandés,Levante,0,1,1.6,1.4
2022-10-13,110,Jue,Granada,Sporting Gijón,5,0,1.4,1.1
2022-10-15,111,Sáb,Zaragoza,Villarreal B,2,1,1.4,0.4
2022-10-15,112,Sáb,FC Andorra,Alavés,0,1,0.5,0.3
2022-10-15,113,Sáb,Huesca,Racing Sant,0,0,0.4,1.1
2022-10-15,114,Sáb,Ponferradina,Las Palmas,0,1,0.4,1.1
2022-10-15,115,Sáb,Albacete,Oviedo,1,0,0.8,0.4
2022-10-16,116,Dom,Levante,Leganés,2,1,1.0,0.9
2022-10-16,117,Dom,Burgos,CD Mirandés,2,1,0.5,1.1
2022-10-16,118,Dom,Málaga,Lugo,3,2,0.7,1.4
2022-10-16,119,Dom,Tenerife,Granada,2,0,1.4,0.5
2022-10-16,120,Dom,Cartagena,Ibiza,2,0,1.8,0.8
2022-10-17,121,Lun,Sporting Gijón,Eibar,2,0,0.9,1.0
2022-10-21,122,Vie,Granada,Zaragoza,1,0,1.5,0.3
2022-10-22,123,Sáb,Villarreal B,FC Andorra,1,0,1.0,1.6
2022-10-22,124,Sáb,Alavés,Sporting Gijón,0,0,0.6,0.7
2022-10-22,125,Sáb,CD Mirandés,Huesca,1,1,1.3,0.8
2022-10-22,126,Sáb,Ibiza,Levante,1,2,0.7,0.8
2022-10-23,127,Dom,Racing Sant,Ponferradina,1,1,1.3,1.2
2022-10-23,128,Dom,Lugo,Burgos,2,0,1.0,0.4
2022-10-23,129,Dom,Eibar,Albacete,1,1,1.9,1.0
2022-10-23,130,Dom,Leganés,Tenerife,2,1,1.9,0.3
2022-10-23,131,Dom,Las Palmas,Cartagena,1,0,1.2,0.0
2022-10-24,132,Lun,Oviedo,Málaga,1,0,0.9,0.9
2022-10-28,133,Vie,Tenerife,Zaragoza,0,2,0.9,0.5
2022-10-29,134,Sáb,FC Andorra,Ponferradina,3,0,1.7,0.6
2022-10-29,135,Sáb,Huesca,Las Palmas,1,0,0.4,0.8
2022-10-29,136,Sáb,Alavés,Oviedo,2,1,1.8,1.2
2022-10-29,137,Sáb,Leganés,Racing Sant,0,0,1.0,0.3
2022-10-29,138,Sáb,Burgos,Ibiza,2,0,1.5,0.4
2022-10-30,139,Dom,Lugo,CD Mirandés,0,0,0.8,0.8
2022-10-30,140,Dom,Málaga,Eibar,0,1,0.9,1.2
2022-10-30,141,Dom,Cartagena,Granada,0,0,1.0,1.6
2022-10-30,142,Dom,Albacete,Villarreal B,0,0,1.2,0.8
2022-10-31,143,Lun,Levante,Sporting Gijón,1,0,0.6,0.4
2022-11-01,144,Mar,Zaragoza,FC Andorra,0,2,1.2,0.6
2022-11-01,145,Mar,Ponferradina,Huesca,1,0,1.9,1.1
2022-11-01,146,Mar,Las Palmas,Burgos,0,2,0.6,0.8
2022-11-01,147,Mar,Racing Sant,Alavés,1,1,0.4,1.8
2022-11-01,148,Mar,Ibiza,Leganés,0,2,0.5,1.5
2022-11-02,149,Mié,Villarreal B,Oviedo,2,1,1.6,1.3
2022-11-02,150,Mié,Eibar,Lugo,1,0,2.6,0.8
2022-11-02,151,Mié,CD Mirandés,Tenerife,1,0,0.6,0.5
2022-11-03,152,Jue,Sporting Gijón,Albacete,2,2,2.7,0.7
2022-11-03,153,Jue,Cartagena,Málaga,2,1,1.4,0.5
2022-11-03,154,Jue,Granada,Levante,0,0,0.8,0.2
2022-11-04,155,Vie,Alavés,Zaragoza,1,0,0.8,1.1
2022-11-05,156,Sáb,Burgos,Tenerife,0,1,0.2,1.2
2022-11-05,157,Sáb,Huesca,Villarreal B,1,0,0.5,0.5
2022-11-05,158,Sáb,FC Andorra,Racing Sant,0,1,0.8,0.5
2022-11-05,159,Sáb,Leganés,Ponferradina,2,1,0.8,0.7
2022-11-06,160,Dom,Ibiza,CD Mirandés,1,1,1.3,0.2
2022-11-06,161,Dom,Oviedo,Granada,1,0,0.4,1.4
2022-11-06,162,Dom,Las Palmas,Eibar,1,1,1.5,0.7
2022-11-06,163,Dom,Málaga,Sporting Gijón,1,1,1.4,1.3
2022-11-06,164,Dom,Albacete,Levante,2,3,1.4,2.4
2022-11-07,165,Lun,Lugo,Cartagena,1,1,0.5,1.4
2022-11-18,166,Vie,Granada,Albacete,4,0,2.0,0.1
2022-11-19,167,Sáb,Ponferradina,Oviedo,1,1,0.5,2.1
2022-11-19,168,Sáb,Tenerife,Huesca,2,0,1.2,0.3
2022-11-19,169,Sáb,Sporting Gijón,Leganés,2,2,2.5,0.7
2022-11-19,170,Sáb,Zaragoza,Málaga,1,1,2.6,0.2
2022-11-20,171,Dom,Villarreal B,Ibiza,1,0,2.4,0.5
2022-11-20,172,Dom,FC Andorra,Lugo,4,0,2.5,0.8
2022-11-20,173,Dom,Eibar,Alavés,0,0,0.4,1.1
2022-11-20,174,Dom,Racing Sant,Burgos,0,1,1.7,0.9
2022-11-20,175,Dom,Levante,Las Palmas,1,1,1.2,1.1
2022-11-21,176,Lun,CD Mirandés,Cartagena,2,1,1.4,1.1
2022-11-25,177,Vie,Huesca,Sporting Gijón,0,0,0.4,1.0
2022-11-26,178,Sáb,Málaga,Ponferradina,1,0,1.2,0.7
2022-11-26,179,Sáb,Alavés,Villarreal B,2,0,2.0,0.7
2022-11-26,180,Sáb,Oviedo,CD Mirandés,1,0,1.2,0.5
2022-11-26,181,Sáb,Albacete,Racing Sant,2,1,0.3,0.8
2022-11-26,182,Sáb,Las Palmas,Tenerife,3,1,0.9,0.1
2022-11-27,183,Dom,Burgos,Zaragoza,2,2,0.8,1.1
2022-11-27,184,Dom,Leganés,Granada,1,0,0.9,0.1
2022-11-27,185,Dom,Lugo,Levante,1,1,0.8,1.7
2022-11-27,186,Dom,Cartagena,Eibar,2,1,1.9,1.6
2022-11-28,187,Lun,Ibiza,FC Andorra,0,1,0.9,1.4
2022-11-30,188,Mié,Tenerife,Oviedo,0,1,1.4,0.4
2022-12-02,189,Vie,Granada,Alavés,3,1,2.4,0.5
2022-12-03,190,Sáb,Zaragoza,Ibiza,2,1,0.8,0.6
2022-12-03,191,Sáb,CD Mirandés,Albacete,4,2,2.6,1.0
2022-12-03,192,Sáb,Sporting Gijón,Las Palmas,0,1,0.7,0.9
2022-12-03,193,Sáb,Villarreal B,Leganés,0,0,0.4,1.5
2022-12-04,194,Dom,FC Andorra,Cartagena,0,1,2.0,0.9
2022-12-04,195,Dom,Racing Sant,Lugo,0,1,0.9,2.5
2022-12-04,196,Dom,Eibar,Huesca,2,1,1.5,0.9
2022-12-04,197,Dom,Levante,Málaga,1,0,1.5,1.1
2022-12-05,198,Lun,Ponferradina,Burgos,1,2,1.5,1.7
2022-12-06,199,Mar,Leganés,CD Mirandés,2,2,1.7,0.6
2022-12-06,200,Mar,Oviedo,Las Palmas,0,0,1.2,0.4
2022-12-06,201,Mar,Albacete,Zaragoza,0,0,0.6,0.5
2022-12-07,202,Mié,Cartagena,Villarreal B,0,1,1.5,1.8
2022-12-07,203,Mié,Huesca,FC Andorra,1,0,1.2,0.4
2022-12-07,204,Mié,Tenerife,Alavés,2,1,1.9,0.2
2022-12-08,205,Jue,Burgos,Eibar,1,2,0.2,1.8
2022-12-08,206,Jue,Lugo,Sporting Gijón,0,1,1.1,1.0
2022-12-08,207,Jue,Ibiza,Racing Sant,1,0,1.2,0.5
2022-12-08,208,Jue,Levante,Ponferradina,0,0,2.1,0.1
2022-12-08,209,Jue,Málaga,Granada,1,1,0.6,1.9
2022-12-10,210,Sáb,Villarreal B,Tenerife,2,2,1.1,1.9
2022-12-10,211,Sáb,FC Andorra,Leganés,1,1,0.9,0.5
2022-12-10,212,Sáb,Zaragoza,Huesca,3,0,1.2,0.9
2022-12-11,213,Dom,Ibiza,Málaga,1,1,0.8,0.7
2022-12-11,214,Dom,Ponferradina,Lugo,1,0,1.2,0.1
2022-12-11,215,Dom,Sporting Gijón,Cartagena,0,0,1.3,0.4
2022-12-11,216,Dom,Granada,Burgos,1,0,1.0,0.9
2022-12-11,217,Dom,Eibar,Oviedo,1,0,1.5,0.6
2022-12-11,218,Dom,Las Palmas,Albacete,1,2,1.7,1.6
2022-12-11,219,Dom,Racing Sant,CD Mirandés,1,2,1.7,0.6
2022-12-12,220,Lun,Alavés,Levante,0,2,0.6,0.7
2022-12-16,221,Vie,Tenerife,FC Andorra,1,1,0.6,0.6
2022-12-17,222,Sáb,CD Mirandés,Ponferradina,2,1,1.2,0.8
2022-12-17,223,Sáb,Lugo,Granada,1,0,1.0,1.1
2022-12-17,224,Sáb,Villarreal B,Las Palmas,0,1,2.6,0.9
2022-12-17,225,Sáb,Cartagena,Racing Sant,0,3,0.7,0.6
2022-12-17,226,Sáb,Oviedo,Sporting Gijón,1,0,0.9,1.2
2022-12-18,227,Dom,Albacete,Ibiza,4,0,1.9,0.8
2022-12-18,228,Dom,Burgos,Huesca,1,1,1.4,1.0
2022-12-18,229,Dom,Levante,Eibar,0,0,1.5,0.5
2022-12-18,230,Dom,Málaga,Alavés,1,0,1.1,0.8
2022-12-19,231,Lun,Leganés,Zaragoza,2,1,1.2,0.9
2023-01-06,232,Vie,Ponferradina,Villarreal B,2,1,2.2,0.3
2023-01-06,233,Vie,Sporting Gijón,Levante,1,1,1.0,2.0
2023-01-06,234,Vie,Leganés,Lugo,1,0,1.6,0.5
2023-01-07,235,Sáb,FC Andorra,Oviedo,3,1,2.0,0.9
2023-01-07,236,Sáb,Málaga,Tenerife,1,1,1.2,0.5
2023-01-07,237,Sáb,Alavés,Burgos,1,0,2.2,0.1
2023-01-08,238,Dom,Granada,Cartagena,1,0,2.0,0.3
2023-01-08,239,Dom,Zaragoza,CD Mirandés,0,0,1.9,0.7
2023-01-08,240,Dom,Las Palmas,Racing Sant,1,1,0.9,1.2
2023-01-08,241,Dom,Eibar,Ibiza,1,0,1.4,0.9
2023-01-09,242,Lun,Huesca,Albacete,1,1,1.0,0.8
2023-01-13,243,Vie,Oviedo,Alavés,1,0,0.7,0.6
2023-01-14,244,Sáb,Cartagena,Huesca,0,0,0.9,0.5
2023-01-14,245,Sáb,Villarreal B,Zaragoza,2,3,0.6,0.3
2023-01-14,246,Sáb,Ibiza,Las Palmas,1,2,1.8,1.0
2023-01-14,247,Sáb,Tenerife,Ponferradina,0,0,0.9,0.0
2023-01-14,248,Sáb,Racing Sant,Sporting Gijón,2,0,1.4,0.7
2023-01-14,249,Sáb,Levante,Granada,3,1,2.9,0.4
2023-01-15,250,Dom,Eibar,Málaga,2,1,1.2,0.5
2023-01-15,251,Dom,CD Mirandés,Lugo,2,0,1.7,0.5
2023-01-15,252,Dom,Burgos,FC Andorra,2,1,1.2,1.2
2023-01-16,253,Lun,Albacete,Leganés,1,0,1.7,0.4
2023-01-20,254,Vie,Las Palmas,CD Mirandés,2,1,3.1,0.1
2023-01-21,255,Sáb,Ponferradina,Eibar,0,1,0.7,0.7
2023-01-21,256,Sáb,Málaga,Burgos,1,1,1.2,0.9
2023-01-21,257,Sáb,Granada,Ibiza,2,0,1.6,1.0
2023-01-21,258,Sáb,Alavés,Racing Sant,3,0,2.9,1.0
2023-01-22,259,Dom,Leganés,Levante,2,2,1.8,2.1
2023-01-22,260,Dom,Sporting Gijón,Zaragoza,1,0,0.9,0.5
2023-01-22,261,Dom,Cartagena,Tenerife,0,1,0.3,1.3
2023-01-22,262,Dom,Huesca,Oviedo,1,1,1.1,1.1
2023-01-22,263,Dom,Lugo,Villarreal B,1,2,0.8,2.8
2023-01-23,264,Lun,FC Andorra,Albacete,0,1,0.3,1.4
2023-01-27,265,Vie,Racing Sant,Tenerife,1,1,0.5,0.9
2023-01-28,266,Sáb,Granada,FC Andorra,2,0,2.1,1.3
2023-01-28,267,Sáb,Oviedo,Villarreal B,0,1,1.2,0.2
2023-01-28,268,Sáb,Eibar,Leganés,0,0,0.5,0.4
2023-01-28,269,Sáb,Las Palmas,Huesca,1,0,2.7,0.5
2023-01-29,270,Dom,CD Mirandés,Alavés,1,3,0.3,2.3
2023-01-29,271,Dom,Levante,Burgos,1,0,1.4,0.4
2023-01-29,272,Dom,Sporting Gijón,Málaga,0,0,0.4,0.5
2023-01-29,273,Dom,Albacete,Lugo,2,0,1.7,0.6
2023-01-29,274,Dom,Ibiza,Cartagena,2,2,1.6,1.1
2023-01-30,275,Lun,Zaragoza,Ponferradina,0,0,1.0,0.6
2023-02-03,276,Vie,Málaga,Oviedo,0,1,0.3,1.7
2023-02-04,277,Sáb,Leganés,Sporting Gijón,1,0,1.0,1.0
2023-02-04,278,Sáb,Huesca,CD Mirandés,1,0,0.6,0.6
2023-02-04,279,Sáb,Tenerife,Albacete,1,0,1.4,0.6
2023-02-04,280,Sáb,Alavés,Eibar,2,0,1.7,0.9
2023-02-05,281,Dom,Villarreal B,Granada,0,2,2.0,0.6
2023-02-05,282,Dom,FC Andorra,Zaragoza,0,1,0.7,1.0
2023-02-05,283,Dom,Ponferradina,Racing Sant,1,1,0.8,1.5
2023-02-05,284,Dom,Cartagena,Levante,1,2,1.7,1.9
2023-02-05,285,Dom,Lugo,Ibiza,0,0,0.9,0.3
2023-02-06,286,Lun,Burgos,Las Palmas,0,0,0.5,0.4
2023-02-10,287,Vie,Granada,Tenerife,2,0,2.0,0.7
2023-02-11,288,Sáb,Zaragoza,Alavés,1,4,0.8,1.5
2023-02-11,289,Sáb,CD Mirandés,Villarreal B,2,1,2.5,1.6
2023-02-11,290,Sáb,Levante,FC Andorra,1,0,1.0,0.6
2023-02-11,291,Sáb,Las Palmas,Lugo,3,0,2.4,0.2
2023-02-12,292,Dom,Albacete,Málaga,3,2,3.1,0.5
2023-02-12,293,Dom,Oviedo,Burgos,0,1,0.4,0.5
2023-02-12,294,Dom,Sporting Gijón,Huesca,1,1,0.9,0.1
2023-02-12,295,Dom,Eibar,Cartagena,0,3,1.6,1.4
2023-02-12,296,Dom,Ibiza,Ponferradina,1,1,1.2,1.0
2023-02-13,297,Lun,Racing Sant,Leganés,2,1,1.8,1.4
2023-02-17,298,Vie,Cartagena,Oviedo,2,1,2.2,0.9
2023-02-18,299,Sáb,Lugo,Eibar,0,2,0.6,2.4
2023-02-18,300,Sáb,Leganés,Las Palmas,0,0,0.8,0.5
2023-02-18,301,Sáb,Ponferradina,Levante,0,0,0.7,0.4
2023-02-18,302,Sáb,Tenerife,CD Mirandés,1,0,2.4,0.3
2023-02-19,303,Dom,Huesca,Granada,1,1,1.5,0.6
2023-02-19,304,Dom,FC Andorra,Sporting Gijón,1,0,2.2,1.0
2023-02-19,305,Dom,Alavés,Ibiza,4,2,2.3,0.9
2023-02-19,306,Dom,Burgos,Albacete,1,1,0.3,1.5
2023-02-19,307,Dom,Villarreal B,Racing Sant,2,1,1.2,0.7
2023-02-20,308,Lun,Málaga,Zaragoza,3,0,1.3,1.1
2023-02-24,309,Vie,Eibar,Villarreal B,2,0,1.8,0.5
2023-02-25,310,Sáb,Alavés,Cartagena,0,0,1.3,0.2
2023-02-25,311,Sáb,Racing Sant,FC Andorra,2,1,1.5,1.1
2023-02-25,312,Sáb,Sporting Gijón,Tenerife,1,0,0.5,1.3
2023-02-25,313,Sáb,CD Mirandés,Leganés,0,0,0.2,0.9
2023-02-26,314,Dom,Ibiza,Huesca,2,2,2.4,1.1
2023-02-26,315,Dom,Levante,Lugo,3,1,1.3,0.4
2023-02-26,316,Dom,Zaragoza,Burgos,0,0,0.6,0.5
2023-02-26,317,Dom,Las Palmas,Ponferradina,2,0,1.6,0.2
2023-02-26,318,Dom,Oviedo,Albacete,1,1,0.9,1.0
2023-02-27,319,Lun,Granada,Málaga,1,0,1.6,0.2
2023-03-03,320,Vie,FC Andorra,Las Palmas,0,0,0.2,0.9
2023-03-04,321,Sáb,Burgos,Granada,1,3,0.6,1.6
2023-03-04,322,Sáb,Tenerife,Eibar,0,1,1.1,0.1
2023-03-04,323,Sáb,Huesca,Levante,3,0,1.1,1.3
2023-03-04,324,Sáb,CD Mirandés,Oviedo,1,0,1.2,0.7
2023-03-05,325,Dom,Leganés,Ibiza,0,1,1.2,0.4
2023-03-05,326,Dom,Albacete,Sporting Gijón,2,1,2.0,1.4
2023-03-05,327,Dom,Lugo,Zaragoza,0,0,0.4,0.5
2023-03-05,328,Dom,Málaga,Racing Sant,0,1,1.4,1.4
2023-03-05,329,Dom,Ponferradina,Cartagena,0,3,0.7,0.7
2023-03-06,330,Lun,Villarreal B,Alavés,1,0,0.8,0.8
2023-03-10,331,Vie,Oviedo,Tenerife,0,0,0.4,0.4
2023-03-11,332,Sáb,Eibar,Burgos,1,0,0.8,0.4
2023-03-11,333,Sáb,Ibiza,Villarreal B,0,0,1.0,0.6
2023-03-11,334,Sáb,Alavés,Lugo,0,0,2.0,0.4
2023-03-11,335,Sáb,Las Palmas,Málaga,2,2,1.7,1.6
2023-03-12,336,Dom,Zaragoza,Leganés,3,0,1.8,0.7
2023-03-12,337,Dom,Sporting Gijón,CD Mirandés,3,4,1.8,1.6
2023-03-12,338,Dom,Cartagena,FC Andorra,0,3,1.6,1.1
2023-03-12,339,Dom,Levante,Albacete,0,0,3.0,0.9
2023-03-12,340,Dom,Granada,Ponferradina,2,2,2.8,1.2
2023-03-13,341,Lun,Racing Sant,Huesca,1,1,1.1,0.7
2023-03-17,342,Vie,Málaga,Levante,0,0,0.5,1.0
2023-03-18,343,Sáb,FC Andorra,Ibiza,2,2,2.3,1.0
2023-03-18,344,Sáb,Albacete,Granada,1,2,0.8,1.3
2023-03-18,345,Sáb,Leganés,Oviedo,0,1,1.0,0.5
2023-03-18,346,Sáb,Tenerife,Las Palmas,4,1,1.9,0.2
2023-03-18,347,Sáb,Ponferradina,Alavés,1,0,1.0,1.4
2023-03-19,348,Dom,Burgos,Sporting Gijón,0,0,1.2,0.6
2023-03-19,349,Dom,Huesca,Zaragoza,1,1,1.1,0.2
2023-03-19,350,Dom,Villarreal B,Cartagena,5,2,4.5,1.2
2023-03-19,351,Dom,Lugo,Racing Sant,1,1,1.4,1.8
2023-03-20,352,Lun,CD Mirandés,Eibar,2,3,1.2,1.4
2023-03-24,353,Vie,Cartagena,Lugo,2,0,2.6,0.3
2023-03-25,354,Sáb,Racing Sant,Levante,0,1,1.6,0.6
2023-03-25,355,Sáb,Ibiza,Burgos,2,0,1.0,1.3
2023-03-25,356,Sáb,Alavés,Tenerife,1,0,1.9,0.4
2023-03-26,357,Dom,Eibar,FC Andorra,0,0,0.5,0.4
2023-03-26,358,Dom,Ponferradina,CD Mirandés,0,0,0.3,0.1
2023-03-26,359,Dom,Zaragoza,Albacete,1,1,0.9,1.4
2023-03-26,360,Dom,Villarreal B,Huesca,0,0,0.8,0.2
2023-03-26,361,Dom,Granada,Oviedo,1,0,0.4,1.2
2023-03-26,362,Dom,Las Palmas,Sporting Gijón,1,1,2.2,0.8
2023-03-27,363,Lun,Málaga,Leganés,2,0,2.1,0.2
2023-03-31,364,Vie,Levante,Zaragoza,1,1,0.9,0.9
2023-04-01,365,Sáb,Burgos,Racing Sant,2,1,0.9,1.3
2023-04-01,366,Sáb,Tenerife,Villarreal B,1,1,1.9,1.0
2023-04-01,367,Sáb,Leganés,Cartagena,1,3,2.2,1.2
2023-04-01,368,Sáb,Oviedo,Eibar,1,1,0.7,1.0
