,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
0,Athletic Club,Barcelona,29%,71%,200 of 291 — 69%,84% — 604 of 717,5 of 11 — 45%,18% — 2 of 11,2 of 2 — 100%,80% — 4 of 5
1,Celta Vigo,Real Madrid,56%,44%,486 of 573 — 85%,83% — 369 of 444,3 of 7 — 43%,65% — 11 of 17,8 of 11 — 72%,66% — 2 of 3
2,Valencia,Real Sociedad,37%,63%,320 of 395 — 81%,87% — 579 of 668,6 of 13 — 46%,18% — 2 of 11,2 of 2 — 100%,83% — 5 of 6
3,Mallorca,Eibar,38%,62%,226 of 325 — 70%,79% — 425 of 540,2 of 15 — 13%,45% — 5 of 11,4 of 5 — 80%,50% — 1 of 2
4,Leganés,Osasuna,52%,48%,270 of 403 — 67%,69% — 255 of 368,2 of 13 — 15%,50% — 2 of 4,1 of 2 — 50%,100% — 2 of 2
5,Villarreal,Granada,54%,46%,404 of 501 — 81%,77% — 328 of 427,6 of 11 — 55%,46% — 6 of 13,4 of 6 — 66%,50% — 3 of 6
6,Alavés,Levante,38%,62%,207 of 313 — 66%,78% — 401 of 511,2 of 9 — 22%,25% — 4 of 16,4 of 4 — 100%,50% — 1 of 2
7,Espanyol,Sevilla,45%,55%,356 of 459 — 78%,82% — 455 of 554,2 of 7 — 29%,33% — 4 of 12,2 of 4 — 50%,100% — 2 of 2
8,Betis,Valladolid,48%,52%,340 of 421 — 81%,84% — 384 of 459,4 of 13 — 31%,21% — 3 of 14,1 of 3 — 33%,75% — 3 of 4
9,Atlético Madrid,Getafe,57%,43%,366 of 453 — 81%,73% — 249 of 340,4 of 4 — 100%,0% — 0 of 6,0 of 0 — %,75% — 3 of 4
10,Granada,Sevilla,46%,54%,318 of 431 — 74%,79% — 407 of 514,0 of 12 — 0%,55% — 6 of 11,5 of 6 — 83%,% — 0 of 0
11,Levante,Villarreal,49%,51%,327 of 428 — 76%,80% — 362 of 450,2 of 14 — 14%,26% — 6 of 23,5 of 6 — 83%,100% — 2 of 2
12,Osasuna,Eibar,49%,51%,191 of 341 — 56%,57% — 202 of 353,2 of 6 — 33%,0% — 0 of 12,0 of 0 — %,100% — 2 of 2
13,Real Madrid,Valladolid,66%,34%,610 of 687 — 89%,75% — 264 of 353,4 of 22 — 18%,22% — 2 of 9,1 of 2 — 50%,75% — 3 of 4
14,Getafe,Athletic Club,47%,53%,212 of 384 — 55%,63% — 269 of 427,2 of 7 — 29%,50% — 2 of 4,1 of 2 — 50%,50% — 1 of 2
15,Celta Vigo,Valencia,55%,46%,454 of 545 — 83%,81% — 368 of 455,5 of 10 — 50%,10% — 1 of 10,1 of 1 — 100%,80% — 4 of 5
16,Alavés,Espanyol,37%,63%,266 of 360 — 74%,83% — 515 of 621,2 of 10 — 20%,20% — 1 of 5,1 of 1 — 100%,100% — 2 of 2
17,Mallorca,Real Sociedad,36%,64%,242 of 338 — 72%,85% — 510 of 600,4 of 12 — 33%,33% — 4 of 12,3 of 4 — 75%,100% — 4 of 4
18,Leganés,Atlético Madrid,42%,58%,261 of 386 — 68%,78% — 419 of 535,4 of 10 — 40%,67% — 4 of 6,3 of 4 — 75%,100% — 4 of 4
19,Barcelona,Betis,70%,30%,742 of 829 — 90%,78% — 275 of 351,7 of 20 — 35%,75% — 3 of 4,1 of 3 — 33%,28% — 2 of 7
20,Sevilla,Celta Vigo,63%,37%,551 of 649 — 85%,81% — 305 of 377,5 of 19 — 26%,50% — 1 of 2,0 of 1 — 0%,80% — 4 of 5
21,Athletic Club,Real Sociedad,40%,60%,246 of 348 — 71%,80% — 426 of 531,5 of 15 — 33%,100% — 2 of 2,2 of 2 — 100%,60% — 3 of 5
22,Osasuna,Barcelona,27%,73%,176 of 280 — 63%,86% — 662 of 774,4 of 14 — 29%,50% — 4 of 8,2 of 4 — 50%,75% — 3 of 4
23,Levante,Valladolid,51%,49%,296 of 405 — 73%,74% — 290 of 391,3 of 16 — 19%,20% — 3 of 15,3 of 3 — 100%,33% — 1 of 3
24,Getafe,Alavés,61%,39%,336 of 485 — 69%,56% — 176 of 313,1 of 15 — 7%,20% — 1 of 5,0 of 1 — 0%,0% — 0 of 1
25,Betis,Leganés,68%,32%,446 of 544 — 82%,63% — 160 of 253,5 of 17 — 29%,37% — 7 of 19,6 of 7 — 85%,60% — 3 of 5
