,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
26,Valencia,Mallorca,50%,50%,412 of 492 — 84%,85% — 414 of 486,2 of 8 — 25%,8% — 1 of 12,1 of 1 — 100%,100% — 2 of 2
27,Atlético Madrid,Eibar,57%,43%,375 of 501 — 75%,68% — 258 of 380,3 of 7 — 43%,33% — 2 of 6,0 of 2 — 0%,0% — 0 of 3
28,Espanyol,Granada,67%,33%,541 of 650 — 83%,65% — 206 of 317,3 of 15 — 20%,36% — 5 of 14,2 of 5 — 40%,100% — 3 of 3
29,Villarreal,Real Madrid,44%,56%,385 of 482 — 80%,86% — 518 of 605,5 of 10 — 50%,29% — 5 of 17,3 of 5 — 60%,60% — 3 of 5
30,Mallorca,Athletic Club,49%,51%,261 of 365 — 72%,75% — 286 of 381,1 of 9 — 11%,40% — 4 of 10,4 of 4 — 100%,100% — 1 of 1
31,Real Madrid,Levante,65%,35%,601 of 682 — 88%,77% — 283 of 369,11 of 25 — 44%,38% — 3 of 8,1 of 3 — 33%,72% — 8 of 11
32,Leganés,Villarreal,49%,51%,370 of 479 — 77%,79% — 403 of 508,4 of 10 — 40%,38% — 3 of 8,1 of 3 — 33%,100% — 4 of 4
33,Real Sociedad,Atlético Madrid,54%,46%,407 of 508 — 80%,75% — 329 of 439,5 of 14 — 36%,17% — 2 of 12,2 of 2 — 100%,60% — 3 of 5
34,Barcelona,Valencia,64%,36%,724 of 795 — 91%,84% — 371 of 444,10 of 17 — 59%,33% — 3 of 9,1 of 3 — 33%,50% — 5 of 10
35,Eibar,Espanyol,58%,42%,297 of 441 — 67%,57% — 183 of 323,1 of 11 — 9%,29% — 2 of 7,0 of 2 — 0%,0% — 0 of 1
36,Alavés,Sevilla,39%,61%,274 of 395 — 69%,82% — 519 of 630,0 of 7 — 0%,37% — 7 of 19,6 of 7 — 85%,% — 0 of 0
37,Celta Vigo,Granada,38%,62%,247 of 318 — 78%,87% — 446 of 513,0 of 4 — 0%,23% — 3 of 13,1 of 3 — 33%,% — 0 of 0
38,Valladolid,Osasuna,50%,50%,310 of 429 — 72%,77% — 331 of 429,1 of 11 — 9%,29% — 5 of 17,4 of 5 — 80%,0% — 0 of 1
39,Betis,Getafe,61%,39%,339 of 441 — 77%,61% — 172 of 282,1 of 6 — 17%,27% — 3 of 11,3 of 3 — 100%,100% — 1 of 1
40,Osasuna,Betis,50%,50%,317 of 427 — 74%,75% — 319 of 428,5 of 11 — 45%,29% — 2 of 7,2 of 2 — 100%,100% — 5 of 5
41,Villarreal,Valladolid,60%,40%,488 of 578 — 84%,72% — 276 of 382,5 of 17 — 29%,29% — 2 of 7,2 of 2 — 100%,80% — 4 of 5
42,Levante,Eibar,58%,42%,358 of 478 — 75%,67% — 232 of 347,4 of 13 — 31%,22% — 4 of 18,4 of 4 — 100%,100% — 4 of 4
43,Atlético Madrid,Celta Vigo,49%,51%,380 of 469 — 81%,80% — 390 of 485,5 of 20 — 25%,50% — 3 of 6,3 of 3 — 100%,100% — 5 of 5
44,Granada,Barcelona,27%,73%,168 of 255 — 66%,87% — 607 of 698,3 of 8 — 38%,13% — 1 of 8,1 of 1 — 100%,66% — 2 of 3
45,Getafe,Mallorca,49%,51%,187 of 314 — 60%,65% — 214 of 330,4 of 13 — 31%,43% — 3 of 7,1 of 3 — 33%,50% — 2 of 4
46,Espanyol,Real Sociedad,56%,44%,431 of 537 — 80%,75% — 318 of 425,3 of 17 — 18%,50% — 5 of 10,2 of 5 — 40%,100% — 3 of 3
47,Valencia,Leganés,62%,38%,495 of 584 — 85%,76% — 272 of 360,3 of 12 — 25%,31% — 4 of 13,3 of 4 — 75%,100% — 3 of 3
48,Athletic Club,Alavés,57%,43%,437 of 556 — 79%,74% — 314 of 427,2 of 10 — 20%,25% — 1 of 4,1 of 1 — 100%,50% — 1 of 2
49,Sevilla,Real Madrid,55%,45%,486 of 598 — 81%,80% — 398 of 499,0 of 9 — 0%,57% — 4 of 7,3 of 4 — 75%,% — 0 of 0
50,Valladolid,Granada,48%,52%,290 of 411 — 71%,74% — 333 of 449,5 of 9 — 56%,67% — 4 of 6,3 of 4 — 75%,80% — 4 of 5
51,Betis,Levante,57%,43%,465 of 543 — 86%,82% — 335 of 411,5 of 17 — 29%,18% — 3 of 17,2 of 3 — 66%,40% — 2 of 5
52,Barcelona,Villarreal,57%,43%,594 of 682 — 87%,82% — 420 of 510,4 of 8 — 50%,27% — 3 of 11,2 of 3 — 66%,50% — 2 of 4
53,Mallorca,Atlético Madrid,48%,52%,382 of 487 — 78%,83% — 435 of 521,2 of 9 — 22%,23% — 3 of 13,1 of 3 — 33%,100% — 2 of 2
54,Leganés,Athletic Club,40%,60%,251 of 385 — 65%,78% — 457 of 586,3 of 7 — 43%,13% — 1 of 8,1 of 1 — 100%,66% — 2 of 3
55,Valencia,Getafe,62%,38%,398 of 508 — 78%,67% — 210 of 315,3 of 8 — 38%,28% — 5 of 18,2 of 5 — 40%,0% — 0 of 3
56,Real Madrid,Osasuna,55%,45%,437 of 532 — 82%,77% — 341 of 444,4 of 15 — 27%,0% — 0 of 4,0 of 0 — %,50% — 2 of 4
57,Eibar,Sevilla,47%,53%,333 of 462 — 72%,76% — 401 of 525,3 of 10 — 30%,43% — 3 of 7,1 of 3 — 33%,33% — 1 of 3
58,Celta Vigo,Espanyol,64%,36%,626 of 726 — 86%,77% — 320 of 416,3 of 14 — 21%,40% — 4 of 10,3 of 4 — 75%,66% — 2 of 3
59,Real Sociedad,Alavés,59%,41%,443 of 541 — 82%,78% — 294 of 377,5 of 19 — 26%,0% — 0 of 5,0 of 0 — %,60% — 3 of 5
60,Villarreal,Betis,43%,57%,348 of 423 — 82%,84% — 469 of 558,9 of 16 — 56%,55% — 6 of 11,5 of 6 — 83%,55% — 5 of 9
61,Athletic Club,Valencia,51%,49%,371 of 470 — 79%,82% — 370 of 452,3 of 14 — 21%,50% — 5 of 10,4 of 5 — 80%,100% — 3 of 3
62,Getafe,Barcelona,39%,61%,209 of 322 — 65%,79% — 394 of 501,1 of 9 — 11%,60% — 6 of 10,4 of 6 — 66%,100% — 1 of 1
63,Granada,Leganés,51%,49%,260 of 385 — 68%,72% — 269 of 372,4 of 11 — 36%,40% — 6 of 15,6 of 6 — 100%,75% — 3 of 4
64,Atlético Madrid,Real Madrid,45%,55%,403 of 493 — 82%,84% — 513 of 612,1 of 7 — 14%,21% — 3 of 14,3 of 3 — 100%,100% — 1 of 1
65,Espanyol,Valladolid,59%,41%,441 of 545 — 81%,75% — 285 of 379,2 of 16 — 13%,63% — 5 of 8,4 of 5 — 80%,100% — 2 of 2
66,Eibar,Celta Vigo,40%,60%,228 of 346 — 66%,79% — 409 of 521,3 of 7 — 43%,50% — 1 of 2,1 of 1 — 100%,33% — 1 of 3
67,Alavés,Mallorca,54%,46%,356 of 479 — 74%,68% — 275 of 403,5 of 10 — 50%,20% — 1 of 5,1 of 1 — 100%,80% — 4 of 5
68,Levante,Osasuna,48%,52%,273 of 408 — 67%,69% — 306 of 441,5 of 10 — 50%,17% — 3 of 18,2 of 3 — 66%,80% — 4 of 5
69,Sevilla,Real Sociedad,52%,48%,418 of 531 — 79%,78% — 379 of 485,8 of 21 — 38%,40% — 2 of 5,0 of 2 — 0%,62% — 5 of 8
70,Betis,Eibar,58%,42%,392 of 512 — 77%,65% — 239 of 370,3 of 12 — 25%,14% — 1 of 7,1 of 1 — 100%,66% — 2 of 3
71,Leganés,Levante,59%,41%,401 of 514 — 78%,72% — 260 of 360,9 of 24 — 38%,13% — 1 of 8,0 of 1 — 0%,88% — 8 of 9
72,Real Madrid,Granada,61%,39%,431 of 514 — 84%,78% — 252 of 324,10 of 17 — 59%,57% — 4 of 7,3 of 4 — 75%,60% — 6 of 10
73,Valencia,Alavés,56%,44%,407 of 512 — 79%,74% — 292 of 396,2 of 9 — 22%,40% — 4 of 10,3 of 4 — 75%,50% — 1 of 2
74,Osasuna,Villarreal,53%,47%,369 of 492 — 75%,74% — 328 of 443,4 of 16 — 25%,31% — 5 of 16,4 of 5 — 80%,50% — 2 of 4
75,Mallorca,Espanyol,39%,61%,320 of 404 — 79%,87% — 555 of 641,3 of 9 — 33%,27% — 3 of 11,3 of 3 — 100%,33% — 1 of 3
76,Celta Vigo,Athletic Club,62%,38%,439 of 559 — 79%,69% — 238 of 345,2 of 13 — 15%,33% — 2 of 6,2 of 2 — 100%,50% — 1 of 2
77,Valladolid,Atlético Madrid,46%,54%,316 of 408 — 77%,78% — 373 of 477,1 of 4 — 25%,11% — 1 of 9,1 of 1 — 100%,100% — 1 of 1
78,Real Sociedad,Getafe,50%,50%,231 of 378 — 61%,56% — 214 of 379,3 of 6 — 50%,31% — 4 of 13,2 of 4 — 50%,66% — 2 of 3
79,Barcelona,Sevilla,56%,44%,515 of 583 — 88%,81% — 377 of 464,8 of 15 — 53%,25% — 4 of 16,4 of 4 — 100%,50% — 4 of 8
80,Granada,Osasuna,44%,56%,239 of 355 — 67%,73% — 327 of 451,2 of 6 — 33%,44% — 4 of 9,4 of 4 — 100%,50% — 1 of 2
81,Eibar,Barcelona,44%,56%,386 of 490 — 79%,83% — 524 of 633,0 of 5 — 0%,44% — 4 of 9,1 of 4 — 25%,% — 0 of 0
82,Atlético Madrid,Valencia,44%,56%,326 of 424 — 77%,84% — 458 of 546,3 of 14 — 21%,27% — 3 of 11,2 of 3 — 66%,100% — 3 of 3
83,Getafe,Leganés,46%,54%,204 of 335 — 61%,66% — 263 of 396,2 of 5 — 40%,43% — 3 of 7,3 of 3 — 100%,0% — 0 of 2
84,Mallorca,Real Madrid,37%,63%,254 of 349 — 73%,86% — 515 of 598,1 of 5 — 20%,29% — 4 of 14,4 of 4 — 100%,0% — 0 of 1
85,Alavés,Celta Vigo,38%,62%,256 of 364 — 70%,84% — 500 of 596,5 of 12 — 42%,15% — 2 of 13,2 of 2 — 100%,60% — 3 of 5
86,Real Sociedad,Betis,51%,49%,357 of 465 — 77%,81% — 356 of 442,4 of 17 — 24%,42% — 5 of 12,4 of 5 — 80%,50% — 2 of 4
87,Espanyol,Villarreal,51%,49%,331 of 475 — 70%,71% — 328 of 459,3 of 18 — 17%,45% — 5 of 11,4 of 5 — 80%,100% — 3 of 3
88,Athletic Club,Valladolid,52%,48%,387 of 500 — 77%,73% — 338 of 460,7 of 19 — 37%,33% — 3 of 9,3 of 3 — 100%,85% — 6 of 7
89,Sevilla,Levante,59%,41%,418 of 544 — 77%,70% — 260 of 372,5 of 19 — 26%,42% — 5 of 12,5 of 5 — 100%,80% — 4 of 5
90,Villarreal,Alavés,63%,37%,480 of 589 — 81%,68% — 238 of 352,8 of 19 — 42%,25% — 3 of 12,2 of 3 — 66%,50% — 4 of 8
91,Leganés,Mallorca,43%,57%,293 of 377 — 78%,82% — 411 of 499,3 of 9 — 33%,11% — 1 of 9,1 of 1 — 100%,66% — 2 of 3
92,Valladolid,Eibar,36%,64%,211 of 338 — 62%,75% — 448 of 600,4 of 8 — 50%,23% — 3 of 13,3 of 3 — 100%,50% — 2 of 4
93,Atlético Madrid,Athletic Club,45%,55%,323 of 414 — 78%,80% — 403 of 501,2 of 9 — 22%,22% — 2 of 9,2 of 2 — 100%,0% — 0 of 2
94,Celta Vigo,Real Sociedad,42%,58%,237 of 349 — 68%,77% — 378 of 490,1 of 9 — 11%,44% — 4 of 9,3 of 4 — 75%,100% — 1 of 1
95,Granada,Betis,37%,63%,258 of 344 — 75%,86% — 511 of 591,3 of 13 — 23%,0% — 0 of 12,0 of 0 — %,66% — 2 of 3
96,Levante,Espanyol,52%,48%,323 of 443 — 73%,71% — 287 of 407,3 of 7 — 43%,21% — 3 of 14,2 of 3 — 66%,100% — 3 of 3
97,Sevilla,Getafe,63%,37%,426 of 564 — 76%,58% — 190 of 326,8 of 15 — 53%,44% — 4 of 9,4 of 4 — 100%,75% — 6 of 8
98,Osasuna,Valencia,65%,35%,517 of 624 — 83%,69% — 234 of 340,14 of 29 — 48%,33% — 1 of 3,0 of 1 — 0%,78% — 11 of 14
99,Alavés,Atlético Madrid,48%,52%,257 of 370 — 69%,72% — 287 of 401,3 of 11 — 27%,33% — 3 of 9,2 of 3 — 66%,66% — 2 of 3
100,Barcelona,Valladolid,61%,39%,568 of 675 — 84%,78% — 332 of 423,9 of 18 — 50%,11% — 1 of 9,0 of 1 — 0%,44% — 4 of 9
101,Valencia,Sevilla,46%,54%,371 of 468 — 79%,83% — 458 of 554,3 of 10 — 30%,10% — 1 of 10,0 of 1 — 0%,66% — 2 of 3
102,Real Sociedad,Levante,65%,35%,462 of 559 — 83%,68% — 206 of 305,5 of 17 — 29%,31% — 4 of 13,2 of 4 — 50%,80% — 4 of 5
103,Athletic Club,Espanyol,46%,54%,316 of 433 — 73%,75% — 380 of 510,5 of 7 — 71%,42% — 5 of 12,5 of 5 — 100%,60% — 3 of 5
104,Betis,Celta Vigo,40%,60%,252 of 346 — 73%,80% — 424 of 529,7 of 11 — 64%,24% — 4 of 17,4 of 4 — 100%,71% — 5 of 7
105,Real Madrid,Leganés,61%,39%,577 of 666 — 87%,78% — 333 of 425,9 of 20 — 45%,60% — 3 of 5,3 of 3 — 100%,66% — 6 of 9
106,Mallorca,Osasuna,46%,54%,282 of 404 — 70%,74% — 348 of 470,1 of 9 — 11%,33% — 4 of 12,2 of 4 — 50%,100% — 1 of 1
107,Eibar,Villarreal,46%,54%,337 of 471 — 72%,77% — 427 of 556,8 of 25 — 32%,22% — 2 of 9,1 of 2 — 50%,75% — 6 of 8
108,Getafe,Granada,45%,55%,204 of 338 — 60%,69% — 290 of 418,3 of 8 — 38%,20% — 2 of 10,1 of 2 — 50%,0% — 0 of 3
109,Espanyol,Valencia,46%,54%,278 of 402 — 69%,76% — 356 of 467,3 of 12 — 25%,30% — 3 of 10,2 of 3 — 66%,100% — 3 of 3
110,Levante,Barcelona,36%,64%,290 of 383 — 76%,87% — 607 of 694,3 of 9 — 33%,63% — 5 of 8,5 of 5 — 100%,0% — 0 of 3
111,Sevilla,Atlético Madrid,55%,45%,440 of 542 — 81%,74% — 327 of 441,4 of 11 — 36%,23% — 3 of 13,2 of 3 — 66%,75% — 3 of 4
112,Real Madrid,Betis,63%,38%,545 of 650 — 84%,79% — 307 of 390,7 of 22 — 32%,23% — 3 of 13,3 of 3 — 100%,100% — 7 of 7
113,Valladolid,Mallorca,48%,52%,287 of 388 — 74%,77% — 324 of 422,5 of 11 — 45%,7% — 1 of 14,1 of 1 — 100%,60% — 3 of 5
114,Villarreal,Athletic Club,56%,44%,406 of 518 — 78%,72% — 293 of 406,7 of 11 — 64%,8% — 1 of 12,1 of 1 — 100%,100% — 7 of 7
115,Osasuna,Alavés,58%,42%,336 of 468 — 72%,62% — 211 of 342,4 of 16 — 25%,20% — 2 of 10,1 of 2 — 50%,50% — 2 of 4
116,Celta Vigo,Getafe,61%,39%,362 of 509 — 71%,55% — 180 of 325,2 of 6 — 33%,44% — 4 of 9,3 of 4 — 75%,100% — 2 of 2
117,Leganés,Eibar,54%,46%,340 of 473 — 72%,68% — 273 of 403,5 of 12 — 42%,57% — 4 of 7,2 of 4 — 50%,80% — 4 of 5
118,Granada,Real Sociedad,39%,61%,201 of 340 — 59%,77% — 403 of 522,3 of 5 — 60%,56% — 5 of 9,3 of 5 — 60%,66% — 2 of 3
119,Real Sociedad,Leganés,65%,35%,440 of 563 — 78%,60% — 185 of 306,5 of 10 — 50%,33% — 2 of 6,1 of 2 — 50%,80% — 4 of 5
120,Alavés,Valladolid,46%,54%,262 of 385 — 68%,72% — 326 of 453,4 of 13 — 31%,14% — 1 of 7,1 of 1 — 100%,50% — 2 of 4
121,Valencia,Granada,49%,51%,327 of 431 — 76%,76% — 341 of 448,4 of 12 — 33%,8% — 1 of 13,1 of 1 — 100%,50% — 2 of 4
122,Eibar,Real Madrid,42%,58%,337 of 452 — 75%,84% — 523 of 623,1 of 15 — 7%,38% — 3 of 8,1 of 3 — 33%,100% — 1 of 1
123,Barcelona,Celta Vigo,60%,40%,627 of 703 — 89%,80% — 371 of 461,6 of 9 — 67%,83% — 5 of 6,4 of 5 — 80%,50% — 3 of 6
124,Mallorca,Villarreal,35%,65%,249 of 333 — 75%,84% — 527 of 624,1 of 3 — 33%,25% — 5 of 20,5 of 5 — 100%,0% — 0 of 1
125,Athletic Club,Levante,57%,43%,387 of 496 — 78%,74% — 280 of 378,10 of 23 — 43%,25% — 2 of 8,1 of 2 — 50%,80% — 8 of 10
126,Atlético Madrid,Espanyol,50%,50%,342 of 469 — 73%,70% — 327 of 470,5 of 18 — 28%,10% — 1 of 10,0 of 1 — 0%,40% — 2 of 5
127,Getafe,Osasuna,54%,46%,255 of 416 — 61%,57% — 198 of 350,5 of 14 — 36%,25% — 1 of 4,1 of 1 — 100%,100% — 5 of 5
128,Betis,Sevilla,54%,46%,404 of 515 — 78%,75% — 324 of 431,5 of 18 — 28%,60% — 6 of 10,4 of 6 — 66%,80% — 4 of 5
129,Levante,Mallorca,50%,50%,367 of 463 — 79%,81% — 376 of 466,6 of 13 — 46%,50% — 7 of 14,6 of 7 — 85%,66% — 4 of 6
130,Leganés,Barcelona,24%,76%,151 of 248 — 61%,85% — 670 of 790,4 of 9 — 44%,55% — 6 of 11,4 of 6 — 66%,75% — 3 of 4
131,Betis,Valencia,60%,40%,468 of 551 — 85%,75% — 276 of 370,8 of 25 — 32%,33% — 3 of 9,2 of 3 — 66%,75% — 6 of 8
132,Granada,Atlético Madrid,40%,60%,264 of 363 — 73%,77% — 413 of 538,3 of 9 — 33%,35% — 6 of 17,5 of 6 — 83%,66% — 2 of 3
133,Real Madrid,Real Sociedad,54%,46%,501 of 590 — 85%,83% — 424 of 512,10 of 18 — 56%,55% — 6 of 11,5 of 6 — 83%,70% — 7 of 10
134,Espanyol,Getafe,54%,46%,273 of 435 — 63%,55% — 208 of 378,2 of 6 — 33%,18% — 2 of 11,1 of 2 — 50%,50% — 1 of 2
135,Osasuna,Athletic Club,59%,41%,354 of 487 — 73%,66% — 224 of 340,7 of 12 — 58%,67% — 4 of 6,2 of 4 — 50%,85% — 6 of 7
136,Eibar,Alavés,58%,42%,298 of 457 — 65%,58% — 194 of 336,7 of 19 — 37%,71% — 5 of 7,3 of 5 — 60%,100% — 7 of 7
137,Villarreal,Celta Vigo,60%,40%,511 of 616 — 83%,77% — 321 of 418,1 of 15 — 7%,64% — 7 of 11,4 of 7 — 57%,0% — 0 of 1
138,Valladolid,Sevilla,46%,54%,334 of 445 — 75%,80% — 418 of 520,1 of 7 — 14%,33% — 1 of 3,1 of 1 — 100%,100% — 1 of 1
139,Celta Vigo,Valladolid,58%,42%,466 of 567 — 82%,75% — 311 of 415,5 of 13 — 38%,22% — 2 of 9,2 of 2 — 100%,100% — 5 of 5
140,Alavés,Real Madrid,36%,64%,280 of 374 — 75%,85% — 578 of 678,1 of 7 — 14%,50% — 6 of 12,4 of 6 — 66%,100% — 1 of 1
141,Real Sociedad,Eibar,61%,39%,442 of 557 — 79%,67% — 235 of 350,4 of 15 — 27%,40% — 4 of 10,3 of 4 — 75%,0% — 0 of 4
142,Mallorca,Betis,46%,54%,332 of 432 — 77%,82% — 419 of 512,6 of 15 — 40%,13% — 2 of 15,1 of 2 — 50%,100% — 6 of 6
143,Valencia,Villarreal,42%,58%,341 of 437 — 78%,84% — 505 of 602,7 of 14 — 50%,26% — 6 of 23,5 of 6 — 83%,71% — 5 of 7
144,Sevilla,Leganés,62%,38%,560 of 691 — 81%,71% — 303 of 427,7 of 16 — 44%,50% — 4 of 8,4 of 4 — 100%,85% — 6 of 7
145,Athletic Club,Granada,57%,43%,374 of 479 — 78%,69% — 246 of 357,5 of 13 — 38%,11% — 1 of 9,1 of 1 — 100%,80% — 4 of 5
146,Espanyol,Osasuna,53%,47%,330 of 463 — 71%,69% — 284 of 411,4 of 11 — 36%,54% — 7 of 13,4 of 7 — 57%,75% — 3 of 4
147,Getafe,Levante,39%,61%,178 of 299 — 60%,76% — 352 of 466,8 of 12 — 67%,29% — 2 of 7,2 of 2 — 100%,62% — 5 of 8
148,Atlético Madrid,Barcelona,35%,65%,283 of 385 — 74%,87% — 629 of 719,2 of 17 — 12%,38% — 5 of 13,4 of 5 — 80%,100% — 2 of 2
149,Villarreal,Atlético Madrid,53%,47%,444 of 565 — 79%,76% — 387 of 507,3 of 23 — 13%,17% — 3 of 18,3 of 3 — 100%,100% — 3 of 3
150,Real Madrid,Espanyol,60%,40%,462 of 570 — 81%,72% — 277 of 383,8 of 18 — 44%,33% — 2 of 6,2 of 2 — 100%,75% — 6 of 8
151,Granada,Alavés,51%,49%,251 of 366 — 69%,69% — 242 of 349,2 of 12 — 17%,20% — 1 of 5,1 of 1 — 100%,0% — 0 of 2
152,Levante,Valencia,50%,50%,397 of 472 — 84%,84% — 403 of 479,5 of 16 — 31%,60% — 6 of 10,3 of 6 — 50%,80% — 4 of 5
153,Barcelona,Mallorca,66%,34%,667 of 752 — 89%,79% — 306 of 389,17 of 25 — 68%,33% — 3 of 9,1 of 3 — 33%,70% — 12 of 17
154,Eibar,Getafe,52%,48%,194 of 351 — 55%,50% — 162 of 322,3 of 6 — 50%,50% — 3 of 6,2 of 3 — 66%,100% — 3 of 3
155,Betis,Athletic Club,49%,51%,343 of 435 — 79%,75% — 341 of 456,6 of 10 — 60%,14% — 1 of 7,0 of 1 — 0%,50% — 3 of 6
156,Valladolid,Real Sociedad,35%,65%,208 of 327 — 64%,80% — 494 of 618,2 of 4 — 50%,13% — 2 of 16,2 of 2 — 100%,100% — 2 of 2
157,Leganés,Celta Vigo,34%,66%,207 of 313 — 66%,79% — 477 of 602,8 of 15 — 53%,44% — 4 of 9,2 of 4 — 50%,62% — 5 of 8
158,Osasuna,Sevilla,40%,60%,238 of 364 — 65%,76% — 424 of 555,1 of 10 — 10%,31% — 4 of 13,3 of 4 — 75%,0% — 0 of 1
159,Alavés,Leganés,68%,32%,475 of 638 — 74%,54% — 163 of 303,3 of 10 — 30%,33% — 1 of 3,0 of 1 — 0%,66% — 2 of 3
160,Granada,Levante,48%,52%,260 of 372 — 70%,73% — 294 of 401,4 of 18 — 22%,46% — 6 of 13,4 of 6 — 66%,75% — 3 of 4
161,Real Sociedad,Barcelona,53%,47%,526 of 611 — 86%,84% — 451 of 537,4 of 18 — 22%,44% — 4 of 9,2 of 4 — 50%,75% — 3 of 4
162,Athletic Club,Eibar,56%,44%,309 of 452 — 68%,59% — 210 of 353,3 of 8 — 38%,25% — 2 of 8,2 of 2 — 100%,100% — 3 of 3
163,Atlético Madrid,Osasuna,47%,53%,304 of 428 — 71%,70% — 338 of 483,9 of 19 — 47%,20% — 3 of 15,3 of 3 — 100%,77% — 7 of 9
164,Getafe,Valladolid,45%,55%,256 of 392 — 65%,68% — 321 of 472,3 of 7 — 43%,30% — 3 of 10,3 of 3 — 100%,33% — 1 of 3
165,Celta Vigo,Mallorca,66%,34%,464 of 571 — 81%,60% — 179 of 296,5 of 17 — 29%,29% — 2 of 7,1 of 2 — 50%,80% — 4 of 5
166,Espanyol,Betis,39%,61%,189 of 305 — 62%,77% — 373 of 485,4 of 16 — 25%,50% — 5 of 10,3 of 5 — 60%,50% — 2 of 4
