,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away
210,Barcelona,Villarreal,70%,30%,612 of 712 — 86%,73% — 219 of 301,9 of 22 — 41%,67% — 6 of 9
211,Mallorca,Betis,53%,47%,447 of 547 — 82%,81% — 395 of 485,1 of 14 — 7%,25% — 2 of 8
212,Celta Vigo,Girona,40%,60%,303 of 409 — 74%,83% — 509 of 612,5 of 10 — 50%,40% — 6 of 15
213,Cádiz,Athletic Club,43%,57%,273 of 391 — 70%,78% — 411 of 525,2 of 9 — 22%,0% — 0 of 8
214,Sevilla,Osasuna,44%,56%,299 of 410 — 73%,75% — 398 of 531,5 of 10 — 50%,36% — 4 of 11
215,Atlético Madrid,Valencia,54%,46%,568 of 649 — 88%,83% — 456 of 551,8 of 12 — 67%,30% — 3 of 10
216,Getafe,Granada,40%,60%,232 of 365 — 64%,78% — 433 of 557,4 of 7 — 57%,20% — 3 of 15
217,Barcelona,Osasuna,68%,32%,592 of 676 — 88%,71% — 230 of 323,4 of 16 — 25%,11% — 1 of 9
218,Atlético Madrid,Rayo Vallecano,54%,46%,425 of 533 — 80%,77% — 343 of 448,3 of 8 — 38%,20% — 2 of 10
219,Getafe,Real Madrid,42%,58%,366 of 463 — 79%,87% — 549 of 628,2 of 10 — 20%,56% — 9 of 16
220,Athletic Club,Mallorca,62%,38%,484 of 587 — 82%,70% — 250 of 359,6 of 13 — 46%,33% — 2 of 6
221,Valencia,Almería,48%,52%,309 of 426 — 73%,77% — 348 of 454,2 of 6 — 33%,27% — 4 of 15
222,Granada,Las Palmas,23%,77%,143 of 233 — 61%,89% — 703 of 794,1 of 3 — 33%,38% — 6 of 16
223,Alavés,Barcelona,36%,64%,240 of 330 — 73%,87% — 507 of 581,2 of 13 — 15%,63% — 5 of 8
224,Girona,Real Sociedad,49%,51%,358 of 441 — 81%,83% — 388 of 468,3 of 11 — 27%,18% — 2 of 11
225,Villarreal,Cádiz,59%,41%,431 of 546 — 79%,70% — 269 of 386,4 of 19 — 21%,25% — 2 of 8
226,Osasuna,Celta Vigo,70%,30%,584 of 749 — 78%,63% — 201 of 319,1 of 18 — 6%,83% — 5 of 6
227,Betis,Getafe,54%,46%,356 of 486 — 73%,66% — 270 of 409,1 of 8 — 13%,10% — 1 of 10
228,Real Madrid,Atlético Madrid,54%,46%,641 of 693 — 92%,87% — 506 of 581,4 of 17 — 24%,50% — 5 of 10
229,Rayo Vallecano,Sevilla,66%,34%,548 of 684 — 80%,64% — 221 of 346,5 of 22 — 23%,60% — 6 of 10
230,Cádiz,Betis,53%,47%,484 of 585 — 83%,83% — 433 of 524,5 of 14 — 36%,36% — 5 of 14
231,Alavés,Villarreal,51%,49%,321 of 432 — 74%,77% — 325 of 420,4 of 17 — 24%,23% — 3 of 13
232,Real Sociedad,Osasuna,68%,32%,527 of 631 — 84%,66% — 196 of 299,3 of 21 — 14%,22% — 2 of 9
233,Real Madrid,Girona,53%,47%,557 of 603 — 92%,90% — 482 of 536,6 of 15 — 40%,0% — 0 of 5
234,Las Palmas,Valencia,72%,28%,677 of 777 — 87%,64% — 194 of 305,3 of 8 — 38%,14% — 1 of 7
235,Getafe,Celta Vigo,48%,52%,292 of 440 — 66%,71% — 335 of 475,4 of 11 — 36%,44% — 4 of 9
236,Mallorca,Rayo Vallecano,49%,51%,309 of 452 — 68%,73% — 345 of 474,5 of 8 — 63%,36% — 4 of 11
237,Sevilla,Atlético Madrid,39%,61%,353 of 435 — 81%,86% — 576 of 673,6 of 10 — 60%,25% — 4 of 16
238,Barcelona,Granada,65%,35%,569 of 672 — 85%,73% — 259 of 357,5 of 11 — 45%,45% — 5 of 11
239,Almería,Athletic Club,39%,61%,266 of 361 — 74%,77% — 435 of 567,4 of 10 — 40%,33% — 4 of 12
240,Villarreal,Getafe,55%,45%,377 of 507 — 74%,64% — 261 of 411,7 of 20 — 35%,9% — 1 of 11
241,Atlético Madrid,Las Palmas,36%,64%,263 of 365 — 72%,85% — 550 of 650,6 of 12 — 50%,18% — 2 of 11
242,Osasuna,Cádiz,56%,44%,404 of 549 — 74%,68% — 298 of 439,4 of 11 — 36%,20% — 1 of 5
243,Celta Vigo,Barcelona,34%,66%,260 of 373 — 70%,84% — 602 of 713,4 of 13 — 31%,23% — 3 of 13
244,Valencia,Sevilla,54%,46%,534 of 636 — 84%,81% — 441 of 543,4 of 14 — 29%,100% — 1 of 1
245,Rayo Vallecano,Real Madrid,41%,59%,292 of 379 — 77%,82% — 457 of 556,2 of 7 — 29%,36% — 4 of 11
246,Granada,Almería,58%,42%,401 of 504 — 80%,75% — 270 of 361,7 of 19 — 37%,23% — 3 of 13
247,Mallorca,Real Sociedad,33%,67%,154 of 262 — 59%,80% — 436 of 542,1 of 4 — 25%,26% — 5 of 19
248,Betis,Alavés,62%,38%,452 of 559 — 81%,67% — 233 of 349,1 of 13 — 8%,31% — 4 of 13
249,Athletic Club,Girona,31%,69%,241 of 319 — 76%,88% — 632 of 718,7 of 14 — 50%,42% — 5 of 12
250,Real Sociedad,Villarreal,70%,30%,544 of 648 — 84%,73% — 204 of 281,7 of 21 — 33%,67% — 4 of 6
251,Barcelona,Getafe,67%,33%,523 of 616 — 85%,64% — 192 of 298,9 of 17 — 53%,40% — 4 of 10
252,Alavés,Mallorca,52%,48%,346 of 472 — 73%,73% — 321 of 441,1 of 9 — 11%,47% — 7 of 15
253,Almería,Atlético Madrid,40%,60%,309 of 406 — 76%,83% — 493 of 597,4 of 9 — 44%,50% — 9 of 18
254,Cádiz,Celta Vigo,65%,35%,444 of 614 — 72%,56% — 183 of 328,6 of 19 — 32%,43% — 3 of 7
255,Betis,Athletic Club,57%,43%,506 of 615 — 82%,76% — 349 of 462,5 of 13 — 38%,33% — 1 of 3
256,Las Palmas,Osasuna,71%,29%,607 of 718 — 85%,63% — 183 of 290,3 of 9 — 33%,33% — 2 of 6
257,Real Madrid,Sevilla,64%,36%,617 of 690 — 89%,81% — 316 of 391,6 of 16 — 38%,25% — 1 of 4
258,Girona,Rayo Vallecano,54%,46%,478 of 565 — 85%,82% — 389 of 473,8 of 14 — 57%,14% — 1 of 7
259,Celta Vigo,Almería,66%,34%,550 of 650 — 85%,71% — 238 of 336,6 of 15 — 40%,0% — 0 of 3
260,Sevilla,Real Sociedad,39%,61%,263 of 364 — 72%,80% — 445 of 558,5 of 12 — 42%,25% — 3 of 12
261,Rayo Vallecano,Cádiz,53%,47%,351 of 486 — 72%,62% — 268 of 433,5 of 9 — 56%,31% — 5 of 16
262,Getafe,Las Palmas,28%,72%,174 of 277 — 63%,84% — 606 of 723,5 of 16 — 31%,36% — 5 of 14
263,Valencia,Real Madrid,30%,70%,247 of 333 — 74%,89% — 691 of 778,5 of 12 — 42%,50% — 5 of 10
264,Villarreal,Granada,48%,52%,389 of 468 — 83%,83% — 418 of 503,10 of 16 — 63%,33% — 3 of 9
265,Atlético Madrid,Betis,42%,58%,372 of 481 — 77%,81% — 532 of 657,11 of 16 — 69%,50% — 6 of 12
266,Mallorca,Girona,40%,60%,245 of 356 — 69%,80% — 429 of 536,1 of 16 — 6%,27% — 4 of 15
267,Athletic Club,Barcelona,40%,60%,301 of 407 — 74%,85% — 509 of 601,2 of 8 — 25%,13% — 1 of 8
268,Osasuna,Alavés,55%,45%,366 of 508 — 72%,71% — 296 of 418,4 of 15 — 27%,40% — 4 of 10
269,Barcelona,Mallorca,63%,37%,564 of 649 — 87%,75% — 281 of 375,5 of 19 — 26%,33% — 3 of 9
270,Valencia,Getafe,51%,49%,323 of 444 — 73%,69% — 296 of 427,3 of 10 — 30%,33% — 5 of 15
271,Cádiz,Atlético Madrid,40%,60%,295 of 406 — 73%,81% — 493 of 612,3 of 7 — 43%,50% — 4 of 8
272,Granada,Real Sociedad,37%,63%,193 of 305 — 63%,80% — 421 of 529,5 of 12 — 42%,73% — 8 of 11
273,Girona,Osasuna,60%,40%,520 of 591 — 88%,80% — 315 of 393,6 of 11 — 55%,14% — 1 of 7
274,Alavés,Rayo Vallecano,34%,66%,230 of 329 — 70%,83% — 519 of 625,4 of 12 — 33%,33% — 3 of 9
275,Las Palmas,Athletic Club,70%,30%,585 of 697 — 84%,64% — 190 of 296,2 of 14 — 14%,29% — 2 of 7
276,Real Madrid,Celta Vigo,62%,38%,604 of 674 — 90%,82% — 331 of 405,13 of 25 — 52%,9% — 1 of 11
277,Betis,Villarreal,54%,46%,458 of 556 — 82%,83% — 400 of 480,4 of 13 — 31%,67% — 4 of 6
278,Almería,Sevilla,44%,56%,349 of 456 — 77%,79% — 464 of 590,4 of 14 — 29%,32% — 6 of 19
279,Real Sociedad,Cádiz,63%,37%,493 of 621 — 79%,67% — 239 of 359,6 of 14 — 43%,15% — 2 of 13
280,Mallorca,Granada,52%,48%,326 of 450 — 72%,76% — 316 of 418,8 of 18 — 44%,38% — 3 of 8
281,Osasuna,Real Madrid,36%,64%,269 of 355 — 76%,85% — 529 of 619,4 of 10 — 40%,53% — 9 of 17
282,Getafe,Girona,41%,59%,265 of 368 — 72%,80% — 419 of 522,3 of 11 — 27%,23% — 3 of 13
283,Athletic Club,Alavés,59%,41%,501 of 606 — 83%,70% — 291 of 415,4 of 16 — 25%,33% — 2 of 6
284,Sevilla,Celta Vigo,36%,64%,306 of 390 — 78%,88% — 615 of 698,4 of 11 — 36%,28% — 5 of 18
285,Las Palmas,Almería,65%,35%,548 of 664 — 83%,69% — 243 of 353,6 of 21 — 29%,67% — 2 of 3
286,Villarreal,Valencia,52%,48%,412 of 513 — 80%,74% — 345 of 466,6 of 12 — 50%,50% — 7 of 14
287,Rayo Vallecano,Betis,39%,61%,208 of 329 — 63%,73% — 380 of 523,4 of 8 — 50%,9% — 1 of 11
288,Atlético Madrid,Barcelona,41%,59%,305 of 400 — 76%,86% — 489 of 570,3 of 13 — 23%,56% — 5 of 9
289,Cádiz,Granada,59%,41%,409 of 525 — 78%,68% — 250 of 366,5 of 13 — 38%,20% — 2 of 10
290,Getafe,Sevilla,66%,34%,499 of 629 — 79%,63% — 202 of 323,5 of 18 — 28%,30% — 3 of 10
291,Almería,Osasuna,51%,49%,382 of 471 — 81%,75% — 342 of 454,5 of 12 — 42%,67% — 4 of 6
292,Valencia,Mallorca,53%,47%,424 of 538 — 79%,77% — 361 of 469,4 of 14 — 29%,27% — 3 of 11
293,Barcelona,Las Palmas,69%,31%,670 of 770 — 87%,71% — 252 of 353,2 of 14 — 14%,0% — 0 of 8
294,Celta Vigo,Rayo Vallecano,61%,39%,526 of 625 — 84%,77% — 312 of 406,0 of 13 — 0%,25% — 2 of 8
295,Girona,Betis,57%,43%,532 of 624 — 85%,81% — 378 of 467,4 of 8 — 50%,57% — 4 of 7
296,Alavés,Real Sociedad,41%,59%,246 of 366 — 67%,76% — 398 of 521,0 of 3 — 0%,25% — 3 of 12
297,Real Madrid,Athletic Club,58%,42%,600 of 681 — 88%,81% — 391 of 485,4 of 9 — 44%,43% — 3 of 7
298,Villarreal,Atlético Madrid,52%,48%,474 of 561 — 84%,83% — 425 of 509,2 of 11 — 18%,57% — 8 of 14
299,Granada,Valencia,57%,43%,353 of 486 — 73%,68% — 245 of 362,3 of 13 — 23%,33% — 2 of 6
300,Betis,Celta Vigo,47%,53%,463 of 550 — 84%,84% — 528 of 625,3 of 15 — 20%,42% — 5 of 12
301,Atlético Madrid,Girona,41%,59%,378 of 461 — 82%,89% — 591 of 661,3 of 16 — 19%,42% — 5 of 12
302,Rayo Vallecano,Getafe,63%,37%,370 of 489 — 76%,60% — 169 of 282,2 of 12 — 17%,0% — 0 of 7
303,Mallorca,Real Madrid,44%,56%,367 of 467 — 79%,85% — 505 of 593,2 of 6 — 33%,50% — 8 of 16
304,Cádiz,Barcelona,38%,62%,271 of 379 — 72%,83% — 505 of 609,3 of 14 — 21%,8% — 1 of 12
305,Las Palmas,Sevilla,63%,37%,579 of 666 — 87%,83% — 327 of 395,2 of 5 — 40%,30% — 3 of 10
306,Granada,Alavés,38%,62%,197 of 302 — 65%,75% — 366 of 489,2 of 8 — 25%,38% — 3 of 8
307,Athletic Club,Villarreal,53%,47%,449 of 542 — 83%,80% — 390 of 490,6 of 13 — 46%,13% — 1 of 8
308,Real Sociedad,Almería,50%,50%,359 of 468 — 77%,80% — 378 of 473,4 of 17 — 24%,33% — 2 of 6
309,Osasuna,Valencia,65%,35%,533 of 676 — 79%,66% — 238 of 359,1 of 12 — 8%,75% — 3 of 4
310,Athletic Club,Granada,67%,33%,545 of 670 — 81%,68% — 222 of 327,5 of 17 — 29%,0% — 0 of 5
311,Celta Vigo,Las Palmas,32%,68%,310 of 386 — 80%,90% — 722 of 803,13 of 21 — 62%,44% — 4 of 9
312,Rayo Vallecano,Osasuna,64%,36%,462 of 596 — 78%,61% — 210 of 342,6 of 17 — 35%,33% — 2 of 6
313,Valencia,Betis,54%,46%,390 of 502 — 78%,75% — 317 of 421,4 of 7 — 57%,50% — 6 of 12
314,Girona,Cádiz,57%,43%,527 of 595 — 89%,81% — 363 of 449,5 of 10 — 50%,42% — 5 of 12
315,Getafe,Real Sociedad,41%,59%,230 of 342 — 67%,76% — 378 of 497,2 of 6 — 33%,43% — 3 of 7
316,Almería,Villarreal,57%,43%,475 of 551 — 86%,83% — 345 of 415,5 of 24 — 21%,27% — 3 of 11
317,Alavés,Atlético Madrid,32%,68%,178 of 270 — 66%,82% — 477 of 585,3 of 8 — 38%,27% — 4 of 15
318,Real Madrid,Barcelona,47%,53%,441 of 505 — 87%,88% — 506 of 575,7 of 13 — 54%,40% — 6 of 15
319,Sevilla,Mallorca,54%,46%,466 of 562 — 83%,78% — 381 of 487,4 of 11 — 36%,63% — 5 of 8
320,Real Sociedad,Real Madrid,56%,44%,479 of 575 — 83%,81% — 370 of 455,3 of 9 — 33%,60% — 3 of 5
321,Las Palmas,Girona,61%,39%,540 of 658 — 82%,77% — 321 of 419,4 of 9 — 44%,25% — 1 of 4
322,Almería,Getafe,56%,44%,337 of 436 — 77%,71% — 244 of 344,10 of 21 — 48%,63% — 5 of 8
323,Alavés,Celta Vigo,38%,62%,227 of 335 — 68%,84% — 471 of 558,8 of 16 — 50%,0% — 0 of 4
324,Atlético Madrid,Athletic Club,42%,58%,374 of 478 — 78%,86% — 555 of 647,3 of 8 — 38%,14% — 1 of 7
325,Cádiz,Mallorca,58%,42%,394 of 526 — 75%,68% — 262 of 386,2 of 10 — 20%,22% — 2 of 9
326,Granada,Osasuna,38%,62%,281 of 383 — 73%,81% — 497 of 615,4 of 12 — 33%,18% — 2 of 11
327,Villarreal,Rayo Vallecano,46%,54%,371 of 445 — 83%,84% — 450 of 533,7 of 15 — 47%,20% — 4 of 20
328,Betis,Sevilla,50%,50%,350 of 431 — 81%,80% — 338 of 424,3 of 14 — 21%,10% — 1 of 10
329,Barcelona,Valencia,80%,20%,713 of 800 — 89%,59% — 121 of 206,13 of 27 — 48%,50% — 2 of 4
330,Getafe,Athletic Club,64%,36%,469 of 601 — 78%,69% — 231 of 335,8 of 33 — 24%,29% — 2 of 7
331,Real Sociedad,Las Palmas,52%,48%,435 of 514 — 85%,83% — 397 of 477,4 of 9 — 44%,14% — 1 of 7
332,Real Madrid,Cádiz,70%,30%,756 of 838 — 90%,77% — 274 of 355,9 of 19 — 47%,29% — 2 of 7
333,Girona,Barcelona,40%,60%,341 of 416 — 82%,87% — 542 of 621,6 of 9 — 67%,40% — 6 of 15
334,Mallorca,Atlético Madrid,59%,41%,476 of 586 — 81%,76% — 309 of 406,4 of 7 — 57%,44% — 4 of 9
335,Osasuna,Betis,42%,58%,293 of 403 — 73%,82% — 462 of 566,2 of 12 — 17%,40% — 4 of 10
336,Celta Vigo,Villarreal,53%,47%,581 of 631 — 92%,87% — 475 of 549,6 of 22 — 27%,27% — 3 of 11
337,Valencia,Alavés,58%,42%,371 of 483 — 77%,69% — 241 of 350,1 of 13 — 8%,29% — 4 of 14
338,Rayo Vallecano,Almería,68%,32%,553 of 677 — 82%,68% — 222 of 325,10 of 27 — 37%,29% — 2 of 7
339,Sevilla,Granada,60%,40%,477 of 588 — 81%,73% — 286 of 393,5 of 11 — 45%,38% — 3 of 8
340,Alavés,Girona,36%,64%,267 of 339 — 79%,88% — 541 of 613,8 of 14 — 57%,33% — 5 of 15
341,Mallorca,Las Palmas,44%,56%,298 of 386 — 77%,84% — 414 of 494,2 of 7 — 29%,14% — 1 of 7
342,Villarreal,Sevilla,59%,41%,475 of 573 — 83%,77% — 304 of 393,7 of 25 — 28%,43% — 3 of 7
343,Granada,Real Madrid,42%,58%,342 of 420 — 81%,86% — 493 of 572,1 of 12 — 8%,54% — 7 of 13
344,Athletic Club,Osasuna,67%,33%,557 of 669 — 83%,72% — 239 of 333,6 of 15 — 40%,23% — 3 of 13
345,Cádiz,Getafe,45%,55%,287 of 394 — 73%,79% — 383 of 483,5 of 12 — 42%,40% — 4 of 10
346,Atlético Madrid,Celta Vigo,56%,44%,588 of 679 — 87%,82% — 444 of 539,8 of 21 — 38%,33% — 2 of 6
347,Valencia,Rayo Vallecano,51%,49%,306 of 433 — 71%,73% — 303 of 416,5 of 13 — 38%,8% — 1 of 12
348,Betis,Almería,48%,52%,453 of 551 — 82%,85% — 509 of 598,7 of 14 — 50%,50% — 7 of 14
349,Barcelona,Real Sociedad,56%,44%,531 of 610 — 87%,84% — 399 of 473,4 of 13 — 31%,30% — 3 of 10
350,Osasuna,Mallorca,52%,48%,371 of 506 — 73%,74% — 337 of 458,4 of 10 — 40%,40% — 4 of 10
351,Real Madrid,Alavés,71%,29%,763 of 831 — 92%,78% — 265 of 339,11 of 22 — 50%,56% — 10 of 18
352,Girona,Villarreal,67%,33%,728 of 810 — 90%,83% — 338 of 408,4 of 22 — 18%,27% — 3 of 11
353,Rayo Vallecano,Granada,33%,67%,152 of 253 — 60%,80% — 409 of 513,9 of 18 — 50%,10% — 1 of 10
354,Sevilla,Cádiz,56%,44%,421 of 510 — 83%,75% — 298 of 400,3 of 14 — 21%,37% — 7 of 19
355,Celta Vigo,Athletic Club,53%,47%,453 of 565 — 80%,76% — 378 of 495,4 of 10 — 40%,29% — 2 of 7
356,Getafe,Atlético Madrid,45%,55%,413 of 495 — 83%,86% — 516 of 599,3 of 8 — 38%,43% — 3 of 7
357,Las Palmas,Betis,57%,43%,435 of 537 — 81%,75% — 304 of 404,9 of 16 — 56%,67% — 4 of 6
358,Almería,Barcelona,36%,64%,333 of 403 — 83%,89% — 649 of 730,3 of 12 — 25%,44% — 7 of 16
359,Real Sociedad,Valencia,57%,43%,485 of 599 — 81%,74% — 329 of 444,5 of 10 — 50%,43% — 3 of 7
360,Alavés,Getafe,48%,52%,175 of 296 — 59%,65% — 205 of 317,2 of 9 — 22%,40% — 4 of 10
361,Atlético Madrid,Osasuna,56%,44%,434 of 531 — 82%,77% — 314 of 409,2 of 14 — 14%,40% — 6 of 15
362,Athletic Club,Sevilla,53%,47%,447 of 534 — 84%,79% — 370 of 468,6 of 15 — 40%,44% — 4 of 9
363,Betis,Real Sociedad,67%,33%,568 of 681 — 83%,70% — 234 of 332,8 of 17 — 47%,40% — 2 of 5
364,Barcelona,Rayo Vallecano,72%,28%,604 of 677 — 89%,72% — 194 of 269,6 of 14 — 43%,27% — 4 of 15
365,Mallorca,Almería,52%,48%,387 of 491 — 79%,81% — 368 of 456,8 of 29 — 28%,43% — 3 of 7
366,Granada,Celta Vigo,49%,51%,348 of 467 — 75%,78% — 379 of 485,3 of 10 — 30%,63% — 5 of 8
367,Valencia,Girona,37%,63%,317 of 380 — 83%,89% — 583 of 653,5 of 19 — 26%,28% — 5 of 18
368,Cádiz,Las Palmas,49%,51%,354 of 492 — 72%,75% — 390 of 517,3 of 10 — 30%,11% — 1 of 9
369,Villarreal,Real Madrid,43%,57%,476 of 545 — 87%,91% — 654 of 721,7 of 21 — 33%,50% — 6 of 12
370,Girona,Granada,70%,30%,595 of 670 — 89%,78% — 227 of 290,7 of 14 — 50%,20% — 2 of 10
371,Osasuna,Villarreal,43%,57%,308 of 400 — 77%,86% — 459 of 534,6 of 12 — 50%,27% — 3 of 11
372,Real Sociedad,Atlético Madrid,59%,41%,499 of 573 — 87%,83% — 334 of 403,2 of 14 — 14%,40% — 4 of 10
373,Almería,Cádiz,46%,54%,390 of 466 — 84%,85% — 467 of 551,12 of 27 — 44%,33% — 4 of 12
374,Rayo Vallecano,Athletic Club,63%,37%,501 of 627 — 80%,68% — 250 of 369,4 of 17 — 24%,14% — 1 of 7
375,Real Madrid,Betis,59%,41%,621 of 682 — 91%,83% — 389 of 467,4 of 13 — 31%,27% — 3 of 11
376,Getafe,Mallorca,50%,50%,360 of 443 — 81%,78% — 341 of 439,6 of 16 — 38%,44% — 4 of 9
377,Las Palmas,Alavés,65%,35%,466 of 563 — 83%,67% — 203 of 301,4 of 9 — 44%,23% — 3 of 13
378,Celta Vigo,Valencia,54%,46%,460 of 548 — 84%,80% — 375 of 467,3 of 8 — 38%,0% — 0 of 11
379,Sevilla,Barcelona,39%,61%,373 of 438 — 85%,90% — 612 of 677,6 of 15 — 40%,55% — 6 of 11
