,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
0,2021-08-13,1,Vie,Valencia,Getafe,1,0,1.5,1.4,0.27,0.73,3.0,1.0,0.33,22.0,4.0,0.18,201.0,130.0,0.65,537.0,446.0,0.83
1,2021-08-14,2,Sáb,Mallorca,Betis,1,1,0.5,0.6,0.35,0.65,6.0,2.0,0.33,9.0,0.0,0.0,324.0,240.0,0.74,601.0,521.0,0.87
2,2021-08-14,3,Sáb,Cádiz,Levante,1,1,0.6,0.9,0.43,0.57,7.0,2.0,0.29,12.0,3.0,0.25,355.0,248.0,0.7,464.0,376.0,0.81
3,2021-08-14,4,Sáb,Alavés,Real Madrid,1,4,1.7,1.7,0.42,0.58,10.0,3.0,0.3,19.0,7.0,0.37,439.0,360.0,0.82,618.0,541.0,0.88
4,2021-08-14,5,Sáb,Osasuna,Espanyol,0,0,0.9,0.5,0.53,0.47,14.0,1.0,0.07,10.0,3.0,0.3,446.0,319.0,0.72,399.0,273.0,0.68
5,2021-08-15,6,Dom,Celta Vigo,Atlético Madrid,1,2,2.3,1.5,0.53,0.47,9.0,1.0,0.11,13.0,4.0,0.31,526.0,426.0,0.81,469.0,367.0,0.78
6,2021-08-15,7,Dom,Barcelona,Real Sociedad,4,2,2.8,0.8,0.62,0.38,13.0,8.0,0.62,11.0,3.0,0.27,590.0,516.0,0.87,366.0,280.0,0.77
7,2021-08-15,8,Dom,Sevilla,Rayo Vallecano,3,0,3.7,0.4,0.74,0.26,20.0,7.0,0.35,4.0,3.0,0.75,787.0,722.0,0.92,275.0,197.0,0.72
8,2021-08-16,9,Lun,Villarreal,Granada,0,0,1.1,0.3,0.61,0.39,14.0,3.0,0.21,6.0,1.0,0.17,525.0,425.0,0.81,340.0,250.0,0.74
9,2021-08-16,10,Lun,Elche,Athletic Club,0,0,1.1,0.6,0.51,0.49,8.0,2.0,0.25,9.0,3.0,0.33,428.0,332.0,0.78,416.0,313.0,0.75
10,2021-08-20,11,Vie,Betis,Cádiz,1,1,1.1,1.6,0.73,0.27,16.0,7.0,0.44,7.0,2.0,0.29,693.0,610.0,0.88,258.0,152.0,0.59
11,2021-08-21,12,Sáb,Alavés,Mallorca,0,1,0.5,0.7,0.46,0.54,9.0,4.0,0.44,12.0,2.0,0.17,349.0,253.0,0.72,407.0,311.0,0.76
12,2021-08-21,13,Sáb,Espanyol,Villarreal,0,0,1.3,0.6,0.41,0.59,14.0,3.0,0.21,12.0,2.0,0.17,322.0,241.0,0.75,465.0,397.0,0.85
