,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
31,2022-09-03,32,Sáb,Mallorca,Girona,1,1,0.7,1.2,0.51,0.49,10.0,4.0,0.4,9.0,3.0,0.33,447.0,368.0,0.82,428.0,355.0,0.83
32,2022-09-03,33,Sáb,Real Madrid,Betis,2,1,2.9,0.5,0.49,0.51,22.0,4.0,0.18,8.0,4.0,0.5,532.0,469.0,0.88,548.0,477.0,0.87
33,2022-09-03,34,Sáb,Real Sociedad,Atlético Madrid,1,1,1.4,1.1,0.54,0.46,12.0,5.0,0.42,15.0,7.0,0.47,482.0,367.0,0.76,405.0,300.0,0.74
34,2022-09-03,35,Sáb,Sevilla,Barcelona,0,3,1.0,4.0,0.46,0.54,9.0,4.0,0.44,18.0,5.0,0.28,410.0,313.0,0.76,478.0,393.0,0.82
35,2022-09-04,36,Dom,Osasuna,Rayo Vallecano,2,1,2.4,0.2,0.47,0.53,13.0,5.0,0.38,5.0,3.0,0.6,380.0,264.0,0.69,429.0,326.0,0.76
36,2022-09-04,37,Dom,Athletic Club,Espanyol,0,1,1.2,0.6,0.66,0.34,17.0,2.0,0.12,9.0,2.0,0.22,633.0,511.0,0.81,323.0,214.0,0.66
37,2022-09-04,38,Dom,Villarreal,Elche,4,0,3.4,0.6,0.53,0.47,18.0,10.0,0.56,7.0,0.0,0.0,506.0,426.0,0.84,451.0,377.0,0.84
38,2022-09-04,39,Dom,Valencia,Getafe,5,1,2.3,0.2,0.69,0.31,24.0,9.0,0.38,7.0,4.0,0.57,584.0,504.0,0.86,261.0,182.0,0.7
39,2022-09-05,40,Lun,Valladolid,Almería,1,0,1.2,0.5,0.51,0.49,14.0,6.0,0.43,12.0,0.0,0.0,405.0,306.0,0.76,387.0,284.0,0.73
40,2022-09-09,41,Vie,Girona,Valladolid,2,1,1.9,0.5,0.45,0.55,14.0,5.0,0.36,14.0,4.0,0.29,396.0,303.0,0.77,492.0,395.0,0.8
41,2022-09-10,42,Sáb,Rayo Vallecano,Valencia,2,1,1.7,1.7,0.46,0.54,14.0,6.0,0.43,17.0,4.0,0.24,345.0,240.0,0.7,402.0,303.0,0.75
42,2022-09-10,43,Sáb,Espanyol,Sevilla,2,3,2.5,2.0,0.58,0.42,18.0,4.0,0.22,11.0,7.0,0.64,476.0,365.0,0.77,339.0,246.0,0.73
43,2022-09-10,44,Sáb,Cádiz,Barcelona,0,4,0.4,3.4,0.3,0.7,6.0,0.0,0.0,16.0,8.0,0.5,263.0,161.0,0.61,606.0,508.0,0.84
44,2022-09-10,45,Sáb,Atlético Madrid,Celta Vigo,4,1,0.7,1.7,0.46,0.54,10.0,4.0,0.4,14.0,3.0,0.21,495.0,404.0,0.82,591.0,500.0,0.85
45,2022-09-11,46,Dom,Real Madrid,Mallorca,4,1,2.3,0.5,0.68,0.32,22.0,7.0,0.32,5.0,2.0,0.4,676.0,617.0,0.91,318.0,252.0,0.79
46,2022-09-11,47,Dom,Elche,Athletic Club,1,4,0.9,2.7,0.47,0.53,9.0,2.0,0.22,15.0,7.0,0.47,437.0,347.0,0.79,494.0,390.0,0.79
47,2022-09-11,48,Dom,Getafe,Real Sociedad,2,1,1.1,1.2,0.34,0.66,7.0,2.0,0.29,13.0,6.0,0.46,290.0,197.0,0.68,558.0,463.0,0.83
48,2022-09-11,49,Dom,Betis,Villarreal,1,0,1.4,1.7,0.47,0.53,16.0,5.0,0.31,14.0,2.0,0.14,415.0,339.0,0.82,465.0,381.0,0.82
49,2022-09-12,50,Lun,Almería,Osasuna,0,1,0.2,2.0,0.61,0.39,7.0,2.0,0.29,15.0,4.0,0.27,581.0,473.0,0.81,378.0,263.0,0.7
50,2022-09-16,51,Vie,Valladolid,Cádiz,0,1,1.5,0.3,0.57,0.43,18.0,6.0,0.33,7.0,1.0,0.14,474.0,382.0,0.81,354.0,257.0,0.73
51,2022-09-17,52,Sáb,Mallorca,Almería,1,0,0.6,0.4,0.44,0.56,5.0,2.0,0.4,9.0,2.0,0.22,422.0,339.0,0.8,530.0,448.0,0.85
52,2022-09-17,53,Sáb,Barcelona,Elche,3,0,3.9,0.0,0.76,0.24,25.0,9.0,0.36,1.0,1.0,1.0,762.0,676.0,0.89,236.0,153.0,0.65
53,2022-09-17,54,Sáb,Valencia,Celta Vigo,3,0,1.7,0.5,0.65,0.35,14.0,7.0,0.5,6.0,2.0,0.33,509.0,415.0,0.82,279.0,190.0,0.68
54,2022-09-17,55,Sáb,Athletic Club,Rayo Vallecano,3,2,1.9,0.7,0.39,0.61,14.0,7.0,0.5,11.0,2.0,0.18,360.0,262.0,0.73,557.0,448.0,0.8
55,2022-09-18,56,Dom,Osasuna,Getafe,0,2,0.5,0.8,0.55,0.45,12.0,4.0,0.33,10.0,4.0,0.4,513.0,392.0,0.76,412.0,320.0,0.78
56,2022-09-18,57,Dom,Villarreal,Sevilla,1,1,1.5,0.6,0.46,0.54,17.0,6.0,0.35,12.0,1.0,0.08,422.0,327.0,0.77,499.0,408.0,0.82
57,2022-09-18,58,Dom,Betis,Girona,2,1,1.6,1.3,0.44,0.56,8.0,2.0,0.25,8.0,3.0,0.38,460.0,379.0,0.82,593.0,506.0,0.85
58,2022-09-18,59,Dom,Real Sociedad,Espanyol,2,1,1.9,0.8,0.62,0.38,14.0,6.0,0.43,14.0,4.0,0.29,568.0,457.0,0.8,343.0,228.0,0.66
59,2022-09-18,60,Dom,Atlético Madrid,Real Madrid,1,2,1.0,0.9,0.54,0.46,12.0,4.0,0.33,6.0,3.0,0.5,603.0,523.0,0.87,524.0,463.0,0.88
60,2022-09-30,61,Vie,Athletic Club,Almería,4,0,2.1,0.7,0.58,0.42,16.0,3.0,0.19,8.0,2.0,0.25,506.0,413.0,0.82,359.0,271.0,0.75
61,2022-10-01,62,Sáb,Cádiz,Villarreal,0,0,0.7,1.6,0.4,0.6,10.0,2.0,0.2,14.0,6.0,0.43,348.0,260.0,0.75,526.0,424.0,0.81
62,2022-10-01,63,Sáb,Getafe,Valladolid,2,3,2.8,1.6,0.44,0.56,13.0,5.0,0.38,13.0,6.0,0.46,369.0,273.0,0.74,465.0,384.0,0.83
63,2022-10-01,64,Sáb,Sevilla,Atlético Madrid,0,2,0.5,2.2,0.6,0.4,14.0,3.0,0.21,20.0,6.0,0.3,683.0,584.0,0.86,447.0,346.0,0.77
64,2022-10-01,65,Sáb,Mallorca,Barcelona,0,1,1.2,0.7,0.29,0.71,13.0,3.0,0.23,11.0,3.0,0.27,323.0,247.0,0.76,804.0,735.0,0.91
65,2022-10-02,66,Dom,Espanyol,Valencia,2,2,0.8,1.1,0.38,0.62,10.0,5.0,0.5,12.0,5.0,0.42,332.0,220.0,0.66,537.0,432.0,0.8
66,2022-10-02,67,Dom,Celta Vigo,Betis,1,0,0.9,0.9,0.46,0.54,11.0,4.0,0.36,9.0,4.0,0.44,419.0,330.0,0.79,485.0,384.0,0.79
67,2022-10-02,68,Dom,Girona,Real Sociedad,3,5,1.0,2.1,0.41,0.59,16.0,8.0,0.5,11.0,5.0,0.45,355.0,274.0,0.77,516.0,435.0,0.84
68,2022-10-02,69,Dom,Real Madrid,Osasuna,1,1,2.5,0.5,0.64,0.36,21.0,4.0,0.19,8.0,2.0,0.25,668.0,587.0,0.88,371.0,294.0,0.79
69,2022-10-03,70,Lun,Rayo Vallecano,Elche,2,1,0.9,1.1,0.7,0.3,15.0,6.0,0.4,6.0,2.0,0.33,607.0,492.0,0.81,255.0,159.0,0.62
70,2022-10-07,71,Vie,Osasuna,Valencia,1,2,1.6,2.1,0.44,0.56,10.0,2.0,0.2,14.0,7.0,0.5,361.0,253.0,0.7,453.0,333.0,0.74
71,2022-10-08,72,Sáb,Almería,Rayo Vallecano,3,1,1.2,0.8,0.37,0.63,10.0,4.0,0.4,12.0,4.0,0.33,304.0,198.0,0.65,516.0,410.0,0.79
72,2022-10-08,73,Sáb,Atlético Madrid,Girona,2,1,1.9,0.8,0.45,0.55,13.0,7.0,0.54,11.0,4.0,0.36,537.0,450.0,0.84,661.0,569.0,0.86
73,2022-10-08,74,Sáb,Sevilla,Athletic Club,1,1,1.0,1.7,0.45,0.55,10.0,3.0,0.3,21.0,4.0,0.19,405.0,284.0,0.7,486.0,382.0,0.79
74,2022-10-08,75,Sáb,Getafe,Real Madrid,0,1,0.3,1.4,0.35,0.65,9.0,2.0,0.22,19.0,4.0,0.21,415.0,306.0,0.74,777.0,691.0,0.89
75,2022-10-09,76,Dom,Valladolid,Betis,0,0,0.6,0.5,0.58,0.42,12.0,3.0,0.25,4.0,1.0,0.25,560.0,466.0,0.83,398.0,310.0,0.78
76,2022-10-09,77,Dom,Cádiz,Espanyol,2,2,1.3,1.3,0.54,0.46,8.0,3.0,0.38,9.0,6.0,0.67,445.0,305.0,0.69,378.0,277.0,0.73
77,2022-10-09,78,Dom,Real Sociedad,Villarreal,1,0,1.2,0.2,0.6,0.4,17.0,5.0,0.29,5.0,1.0,0.2,558.0,483.0,0.87,376.0,306.0,0.81
78,2022-10-09,79,Dom,Barcelona,Celta Vigo,1,0,2.0,1.5,0.57,0.43,13.0,5.0,0.38,14.0,3.0,0.21,616.0,524.0,0.85,456.0,355.0,0.78
79,2022-10-10,80,Lun,Elche,Mallorca,1,1,0.5,2.3,0.42,0.58,7.0,2.0,0.29,9.0,2.0,0.22,352.0,262.0,0.74,493.0,397.0,0.81
80,2022-10-14,81,Vie,Rayo Vallecano,Getafe,0,0,1.6,0.4,0.65,0.35,16.0,2.0,0.13,6.0,3.0,0.5,657.0,525.0,0.8,353.0,244.0,0.69
81,2022-10-15,82,Sáb,Girona,Cádiz,1,1,2.3,1.1,0.65,0.35,22.0,5.0,0.23,9.0,2.0,0.22,557.0,451.0,0.81,306.0,206.0,0.67
82,2022-10-15,83,Sáb,Valencia,Elche,2,2,2.7,1.7,0.6,0.4,19.0,6.0,0.32,7.0,5.0,0.71,530.0,435.0,0.82,357.0,266.0,0.75
83,2022-10-15,84,Sáb,Mallorca,Sevilla,0,1,0.7,0.2,0.44,0.56,9.0,4.0,0.44,4.0,1.0,0.25,417.0,326.0,0.78,533.0,434.0,0.81
84,2022-10-15,85,Sáb,Athletic Club,Atlético Madrid,0,1,1.2,0.3,0.6,0.4,13.0,3.0,0.23,3.0,1.0,0.33,629.0,492.0,0.78,411.0,287.0,0.7
85,2022-10-16,86,Dom,Celta Vigo,Real Sociedad,1,2,0.5,0.8,0.53,0.47,10.0,3.0,0.3,8.0,6.0,0.75,498.0,401.0,0.81,440.0,340.0,0.77
