,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
0,2020-09-12,1,Sáb,Eibar,Celta Vigo,0,0,0.4,0.6,0.5,0.5,8.0,1.0,0.13,6.0,3.0,0.5,393.0,210.0,0.53,394.0,228.0,0.58
1,2020-09-12,2,Sáb,Granada,Athletic Club,2,0,0.4,0.5,0.4,0.6,4.0,2.0,0.5,9.0,2.0,0.22,370.0,249.0,0.67,544.0,404.0,0.74
2,2020-09-12,3,Sáb,Cádiz,Osasuna,0,2,0.7,0.8,0.52,0.48,12.0,3.0,0.25,6.0,4.0,0.67,408.0,266.0,0.65,375.0,227.0,0.61
3,2020-09-13,4,Dom,Alavés,Betis,0,1,1.2,0.4,0.43,0.57,7.0,2.0,0.29,11.0,4.0,0.36,353.0,250.0,0.71,470.0,366.0,0.78
4,2020-09-13,5,Dom,Valladolid,Real Sociedad,1,1,0.8,0.3,0.4,0.6,8.0,2.0,0.25,8.0,2.0,0.25,300.0,197.0,0.66,445.0,327.0,0.73
5,2020-09-13,6,Dom,Villarreal,Huesca,1,1,2.5,0.6,0.65,0.35,14.0,3.0,0.21,10.0,3.0,0.3,609.0,497.0,0.82,322.0,227.0,0.7
6,2020-09-13,7,Dom,Valencia,Levante,4,2,1.9,2.0,0.44,0.56,14.0,8.0,0.57,19.0,8.0,0.42,400.0,316.0,0.79,512.0,427.0,0.83
7,2020-09-19,8,Sáb,Villarreal,Eibar,2,1,2.7,1.5,0.58,0.42,14.0,7.0,0.5,12.0,4.0,0.33,485.0,375.0,0.77,357.0,241.0,0.68
8,2020-09-19,9,Sáb,Getafe,Osasuna,1,0,0.6,0.5,0.55,0.45,6.0,1.0,0.17,10.0,3.0,0.3,485.0,303.0,0.62,393.0,213.0,0.54
9,2020-09-19,10,Sáb,Celta Vigo,Valencia,2,1,2.0,0.5,0.51,0.49,23.0,6.0,0.26,9.0,3.0,0.33,469.0,375.0,0.8,447.0,348.0,0.78
10,2020-09-20,11,Dom,Huesca,Cádiz,0,2,0.3,1.2,0.7,0.3,5.0,1.0,0.2,6.0,4.0,0.67,637.0,533.0,0.84,270.0,160.0,0.59
11,2020-09-20,12,Dom,Granada,Alavés,2,1,2.2,0.7,0.56,0.44,10.0,3.0,0.3,5.0,3.0,0.6,428.0,313.0,0.73,335.0,221.0,0.66
12,2020-09-20,13,Dom,Betis,Valladolid,2,0,1.6,0.4,0.56,0.44,15.0,5.0,0.33,9.0,2.0,0.22,553.0,439.0,0.79,438.0,323.0,0.74
13,2020-09-20,14,Dom,Real Sociedad,Real Madrid,0,0,0.6,0.9,0.32,0.68,6.0,1.0,0.17,16.0,4.0,0.25,356.0,266.0,0.75,741.0,640.0,0.86
14,2020-09-26,15,Sáb,Alavés,Getafe,0,0,1.3,1.1,0.47,0.53,9.0,0.0,0.0,11.0,4.0,0.36,365.0,204.0,0.56,409.0,266.0,0.65
15,2020-09-26,16,Sáb,Valencia,Huesca,1,1,0.6,0.9,0.48,0.52,5.0,2.0,0.4,17.0,4.0,0.24,418.0,312.0,0.75,457.0,363.0,0.79
16,2020-09-26,17,Sáb,Elche,Real Sociedad,0,3,1.0,3.1,0.4,0.6,5.0,2.0,0.4,26.0,6.0,0.23,370.0,279.0,0.75,559.0,455.0,0.81
17,2020-09-26,18,Sáb,Betis,Real Madrid,2,3,1.2,3.8,0.45,0.55,15.0,5.0,0.33,10.0,3.0,0.3,490.0,395.0,0.81,591.0,494.0,0.84
18,2020-09-27,19,Dom,Osasuna,Levante,1,3,0.7,3.1,0.41,0.59,8.0,3.0,0.38,10.0,4.0,0.4,336.0,207.0,0.62,486.0,342.0,0.7
19,2020-09-27,20,Dom,Eibar,Athletic Club,1,2,0.6,0.6,0.49,0.51,7.0,1.0,0.14,9.0,5.0,0.56,393.0,237.0,0.6,401.0,245.0,0.61
20,2020-09-27,21,Dom,Atlético Madrid,Granada,6,1,3.3,1.6,0.55,0.45,16.0,9.0,0.56,11.0,6.0,0.55,550.0,449.0,0.82,445.0,324.0,0.73
21,2020-09-27,22,Dom,Valladolid,Celta Vigo,1,1,1.5,1.3,0.54,0.46,9.0,3.0,0.33,5.0,1.0,0.2,421.0,301.0,0.71,359.0,252.0,0.7
