,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
48,Athletic Club,Levante,52%,48%,335 of 435 — 77%,75% — 298 of 397,4 of 14 — 29%,17% — 1 of 6,1 of 1 — 100%,50% — 2 of 4
49,Villarreal,Valencia,62%,38%,556 of 628 — 89%,79% — 304 of 387,5 of 15 — 33%,27% — 3 of 11,2 of 3 — 66%,80% — 4 of 5
50,Huesca,Valladolid,66%,34%,504 of 625 — 81%,66% — 216 of 329,7 of 12 — 58%,50% — 2 of 4,1 of 2 — 50%,71% — 5 of 7
51,Alavés,Elche,47%,53%,350 of 445 — 79%,80% — 400 of 502,2 of 13 — 15%,43% — 3 of 7,1 of 3 — 33%,100% — 2 of 2
52,Betis,Real Sociedad,55%,45%,413 of 540 — 76%,69% — 311 of 449,1 of 7 — 14%,57% — 4 of 7,2 of 4 — 50%,100% — 1 of 1
53,Elche,Valencia,47%,53%,406 of 500 — 81%,84% — 466 of 554,2 of 3 — 67%,21% — 3 of 14,2 of 3 — 66%,0% — 0 of 2
54,Barcelona,Real Madrid,53%,47%,548 of 632 — 87%,86% — 493 of 570,4 of 10 — 40%,57% — 8 of 14,6 of 8 — 75%,75% — 3 of 4
55,Osasuna,Athletic Club,39%,61%,237 of 363 — 65%,75% — 424 of 569,1 of 6 — 17%,38% — 5 of 13,5 of 5 — 100%,100% — 1 of 1
56,Sevilla,Eibar,72%,28%,613 of 741 — 83%,68% — 201 of 295,3 of 21 — 14%,33% — 1 of 3,0 of 1 — 0%,100% — 3 of 3
57,Atlético Madrid,Betis,40%,60%,306 of 412 — 74%,84% — 510 of 610,6 of 13 — 46%,25% — 3 of 12,3 of 3 — 100%,66% — 4 of 6
58,Valladolid,Alavés,45%,55%,280 of 401 — 70%,77% — 376 of 488,1 of 5 — 20%,23% — 3 of 13,1 of 3 — 33%,100% — 1 of 1
59,Cádiz,Villarreal,25%,75%,166 of 265 — 63%,86% — 689 of 799,0 of 5 — 0%,29% — 2 of 7,2 of 2 — 100%,% — 0 of 0
60,Getafe,Granada,65%,35%,285 of 440 — 65%,45% — 106 of 235,1 of 10 — 10%,25% — 1 of 4,1 of 1 — 100%,100% — 1 of 1
61,Real Sociedad,Huesca,51%,49%,384 of 482 — 80%,76% — 351 of 459,5 of 12 — 42%,57% — 4 of 7,3 of 4 — 75%,40% — 2 of 5
62,Levante,Celta Vigo,58%,42%,434 of 551 — 79%,70% — 277 of 398,2 of 9 — 22%,27% — 3 of 11,2 of 3 — 66%,100% — 2 of 2
63,Eibar,Cádiz,72%,28%,561 of 713 — 79%,46% — 127 of 279,3 of 9 — 33%,67% — 4 of 6,2 of 4 — 50%,100% — 3 of 3
64,Real Madrid,Huesca,60%,40%,628 of 717 — 88%,84% — 407 of 487,6 of 13 — 46%,22% — 2 of 9,1 of 2 — 50%,33% — 2 of 6
65,Athletic Club,Sevilla,47%,53%,322 of 426 — 76%,80% — 380 of 473,5 of 16 — 31%,29% — 2 of 7,1 of 2 — 50%,60% — 3 of 5
66,Osasuna,Atlético Madrid,45%,55%,350 of 495 — 71%,80% — 475 of 596,3 of 8 — 38%,56% — 5 of 9,3 of 5 — 60%,66% — 2 of 3
67,Alavés,Barcelona,21%,79%,151 of 237 — 64%,88% — 775 of 876,3 of 4 — 75%,32% — 8 of 25,7 of 8 — 87%,66% — 2 of 3
68,Betis,Elche,59%,41%,616 of 693 — 89%,85% — 407 of 477,9 of 16 — 56%,50% — 2 of 4,1 of 2 — 50%,66% — 6 of 9
69,Celta Vigo,Real Sociedad,46%,54%,337 of 434 — 78%,81% — 418 of 517,1 of 8 — 13%,78% — 7 of 9,3 of 7 — 42%,100% — 1 of 1
70,Granada,Levante,30%,70%,143 of 231 — 62%,82% — 441 of 541,2 of 5 — 40%,21% — 4 of 19,3 of 4 — 75%,50% — 1 of 2
71,Valencia,Getafe,38%,62%,200 of 309 — 65%,74% — 368 of 498,4 of 8 — 50%,31% — 5 of 16,3 of 5 — 60%,75% — 3 of 4
72,Villarreal,Valladolid,59%,41%,480 of 578 — 83%,72% — 286 of 395,5 of 11 — 45%,9% — 1 of 11,1 of 1 — 100%,60% — 3 of 5
73,Elche,Celta Vigo,51%,49%,426 of 521 — 82%,82% — 409 of 496,0 of 7 — 0%,43% — 6 of 14,5 of 6 — 83%,% — 0 of 0
74,Huesca,Eibar,59%,41%,414 of 548 — 76%,70% — 271 of 388,5 of 14 — 36%,38% — 3 of 8,2 of 3 — 66%,80% — 4 of 5
75,Barcelona,Betis,59%,41%,566 of 647 — 87%,81% — 364 of 449,7 of 16 — 44%,50% — 6 of 12,4 of 6 — 66%,42% — 3 of 7
76,Sevilla,Osasuna,66%,34%,496 of 603 — 82%,70% — 216 of 307,0 of 8 — 0%,20% — 2 of 10,2 of 2 — 100%,% — 0 of 0
77,Atlético Madrid,Cádiz,67%,33%,715 of 788 — 91%,72% — 281 of 392,7 of 17 — 41%,30% — 3 of 10,3 of 3 — 100%,42% — 3 of 7
78,Getafe,Villarreal,46%,54%,299 of 427 — 70%,76% — 384 of 508,4 of 13 — 31%,56% — 5 of 9,2 of 5 — 40%,75% — 3 of 4
79,Real Sociedad,Granada,72%,28%,554 of 661 — 84%,63% — 160 of 256,7 of 20 — 35%,0% — 0 of 1,0 of 0 — %,85% — 6 of 7
80,Valladolid,Athletic Club,30%,70%,157 of 240 — 65%,80% — 439 of 551,3 of 6 — 50%,6% — 1 of 16,1 of 1 — 100%,66% — 2 of 3
81,Levante,Alavés,71%,29%,479 of 599 — 80%,65% — 157 of 240,5 of 17 — 29%,33% — 2 of 6,1 of 2 — 50%,80% — 4 of 5
82,Valencia,Real Madrid,35%,65%,262 of 341 — 77%,86% — 533 of 623,1 of 4 — 25%,38% — 6 of 16,5 of 6 — 83%,100% — 1 of 1
83,Osasuna,Huesca,55%,45%,400 of 549 — 73%,69% — 310 of 451,7 of 18 — 39%,83% — 5 of 6,4 of 5 — 80%,85% — 6 of 7
84,Levante,Elche,44%,56%,334 of 414 — 81%,83% — 437 of 527,5 of 13 — 38%,45% — 5 of 11,4 of 5 — 80%,80% — 4 of 5
85,Villarreal,Real Madrid,47%,53%,469 of 549 — 85%,87% — 544 of 627,0 of 12 — 0%,17% — 1 of 6,0 of 1 — 0%,% — 0 of 0
86,Sevilla,Celta Vigo,57%,43%,462 of 559 — 83%,77% — 321 of 417,10 of 15 — 67%,70% — 7 of 10,5 of 7 — 71%,60% — 6 of 10
87,Atlético Madrid,Barcelona,46%,54%,466 of 560 — 83%,87% — 568 of 651,2 of 9 — 22%,31% — 4 of 13,4 of 4 — 100%,50% — 1 of 2
88,Eibar,Getafe,51%,49%,205 of 356 — 58%,53% — 184 of 345,4 of 14 — 29%,38% — 3 of 8,3 of 3 — 100%,100% — 4 of 4
89,Cádiz,Real Sociedad,33%,67%,177 of 289 — 61%,81% — 469 of 577,0 of 2 — 0%,21% — 3 of 14,2 of 3 — 66%,% — 0 of 0
90,Granada,Valladolid,60%,40%,341 of 467 — 73%,63% — 197 of 312,6 of 16 — 38%,33% — 3 of 9,0 of 3 — 0%,83% — 5 of 6
91,Alavés,Valencia,34%,66%,185 of 280 — 66%,83% — 445 of 537,2 of 12 — 17%,38% — 5 of 13,3 of 5 — 60%,50% — 1 of 2
92,Athletic Club,Betis,41%,59%,293 of 393 — 75%,82% — 468 of 568,9 of 14 — 64%,14% — 1 of 7,1 of 1 — 100%,66% — 6 of 9
93,Valladolid,Levante,36%,64%,191 of 298 — 64%,77% — 409 of 528,4 of 10 — 40%,22% — 2 of 9,2 of 2 — 100%,75% — 3 of 4
94,Elche,Cádiz,47%,53%,342 of 422 — 81%,80% — 374 of 470,3 of 4 — 75%,33% — 2 of 6,1 of 2 — 50%,66% — 2 of 3
95,Valencia,Atlético Madrid,34%,66%,259 of 356 — 73%,83% — 581 of 696,2 of 5 — 40%,36% — 5 of 14,5 of 5 — 100%,100% — 2 of 2
96,Huesca,Sevilla,33%,67%,208 of 305 — 68%,83% — 516 of 623,1 of 5 — 20%,25% — 4 of 16,3 of 4 — 75%,100% — 1 of 1
97,Real Madrid,Alavés,67%,33%,529 of 631 — 84%,75% — 231 of 306,8 of 20 — 40%,50% — 5 of 10,4 of 5 — 80%,87% — 7 of 8
98,Barcelona,Osasuna,71%,29%,761 of 852 — 89%,74% — 256 of 344,10 of 20 — 50%,50% — 5 of 10,5 of 5 — 100%,60% — 6 of 10
99,Getafe,Athletic Club,51%,49%,240 of 378 — 63%,61% — 217 of 356,3 of 11 — 27%,40% — 2 of 5,1 of 2 — 50%,66% — 2 of 3
100,Celta Vigo,Granada,67%,33%,534 of 644 — 83%,68% — 218 of 320,7 of 17 — 41%,22% — 2 of 9,1 of 2 — 50%,57% — 4 of 7
101,Real Sociedad,Villarreal,55%,45%,401 of 515 — 78%,73% — 313 of 427,3 of 7 — 43%,11% — 1 of 9,1 of 1 — 100%,100% — 3 of 3
102,Betis,Eibar,63%,37%,427 of 581 — 73%,56% — 192 of 344,3 of 7 — 43%,44% — 4 of 9,3 of 4 — 75%,100% — 3 of 3
103,Athletic Club,Celta Vigo,51%,49%,406 of 526 — 77%,75% — 384 of 513,0 of 10 — 0%,67% — 4 of 6,2 of 4 — 50%,% — 0 of 0
104,Levante,Getafe,68%,32%,501 of 602 — 83%,62% — 178 of 287,8 of 12 — 67%,0% — 0 of 9,0 of 0 — %,62% — 5 of 8
105,Sevilla,Real Madrid,63%,37%,590 of 680 — 87%,78% — 313 of 403,2 of 12 — 17%,20% — 2 of 10,2 of 2 — 100%,100% — 2 of 2
106,Atlético Madrid,Valladolid,54%,46%,473 of 585 — 81%,79% — 397 of 505,4 of 14 — 29%,23% — 3 of 13,3 of 3 — 100%,50% — 2 of 4
107,Cádiz,Barcelona,18%,82%,116 of 204 — 57%,87% — 802 of 921,3 of 7 — 43%,38% — 8 of 21,8 of 8 — 100%,33% — 1 of 3
108,Granada,Huesca,48%,52%,324 of 444 — 73%,80% — 387 of 482,6 of 15 — 40%,44% — 7 of 16,4 of 7 — 57%,50% — 3 of 6
109,Osasuna,Betis,48%,52%,298 of 438 — 68%,72% — 336 of 469,0 of 10 — 0%,42% — 5 of 12,3 of 5 — 60%,% — 0 of 0
110,Villarreal,Elche,57%,43%,501 of 576 — 87%,80% — 351 of 440,3 of 12 — 25%,0% — 0 of 3,0 of 0 — %,100% — 3 of 3
111,Alavés,Real Sociedad,32%,68%,192 of 290 — 66%,80% — 485 of 606,1 of 5 — 20%,31% — 4 of 13,4 of 4 — 100%,100% — 1 of 1
112,Eibar,Valencia,63%,37%,387 of 524 — 74%,49% — 154 of 313,3 of 19 — 16%,67% — 4 of 6,4 of 4 — 100%,100% — 3 of 3
113,Valladolid,Osasuna,48%,52%,288 of 410 — 70%,68% — 304 of 450,5 of 10 — 50%,46% — 6 of 13,4 of 6 — 66%,60% — 3 of 5
114,Valencia,Athletic Club,41%,59%,226 of 333 — 68%,74% — 358 of 484,1 of 10 — 10%,33% — 4 of 12,3 of 4 — 75%,0% — 0 of 1
115,Getafe,Sevilla,26%,74%,153 of 235 — 65%,88% — 595 of 680,1 of 8 — 13%,0% — 0 of 8,0 of 0 — %,100% — 1 of 1
116,Huesca,Alavés,66%,34%,470 of 574 — 82%,64% — 191 of 297,3 of 11 — 27%,33% — 1 of 3,1 of 1 — 100%,66% — 2 of 3
117,Real Madrid,Atlético Madrid,56%,44%,625 of 699 — 89%,83% — 459 of 550,3 of 11 — 27%,20% — 1 of 5,1 of 1 — 100%,66% — 2 of 3
118,Real Sociedad,Eibar,49%,51%,254 of 390 — 65%,67% — 274 of 406,2 of 8 — 25%,25% — 4 of 16,3 of 4 — 75%,50% — 1 of 2
119,Betis,Villarreal,46%,54%,392 of 479 — 82%,82% — 452 of 552,5 of 11 — 45%,29% — 2 of 7,1 of 2 — 50%,80% — 4 of 5
120,Elche,Granada,67%,33%,480 of 578 — 83%,70% — 199 of 286,1 of 9 — 11%,38% — 5 of 13,4 of 5 — 80%,100% — 1 of 1
121,Barcelona,Levante,63%,37%,627 of 714 — 88%,79% — 326 of 413,13 of 24 — 54%,50% — 3 of 6,3 of 3 — 100%,92% — 12 of 13
122,Celta Vigo,Cádiz,61%,39%,494 of 593 — 83%,74% — 283 of 385,3 of 6 — 50%,17% — 2 of 12,2 of 2 — 100%,0% — 0 of 3
123,Real Madrid,Athletic Club,68%,32%,631 of 708 — 89%,75% — 250 of 332,5 of 18 — 28%,40% — 4 of 10,3 of 4 — 75%,40% — 2 of 5
124,Barcelona,Real Sociedad,53%,47%,442 of 537 — 82%,81% — 377 of 467,4 of 14 — 29%,42% — 5 of 12,4 of 5 — 80%,50% — 2 of 4
125,Athletic Club,Huesca,54%,46%,447 of 529 — 84%,79% — 350 of 445,2 of 9 — 22%,17% — 1 of 6,1 of 1 — 100%,50% — 1 of 2
126,Atlético Madrid,Elche,48%,52%,464 of 534 — 87%,89% — 508 of 570,5 of 11 — 45%,38% — 3 of 8,2 of 3 — 66%,60% — 3 of 5
127,Barcelona,Valencia,72%,28%,663 of 758 — 87%,74% — 215 of 291,8 of 24 — 33%,36% — 4 of 11,2 of 4 — 50%,75% — 6 of 8
128,Osasuna,Villarreal,33%,67%,219 of 313 — 70%,85% — 554 of 650,0 of 5 — 0%,46% — 6 of 13,3 of 6 — 50%,% — 0 of 0
129,Levante,Real Sociedad,45%,55%,285 of 371 — 77%,79% — 363 of 458,5 of 13 — 38%,33% — 5 of 15,4 of 5 — 80%,60% — 3 of 5
130,Sevilla,Valladolid,59%,41%,470 of 572 — 82%,72% — 287 of 400,2 of 13 — 15%,42% — 5 of 12,4 of 5 — 80%,100% — 2 of 2
131,Celta Vigo,Alavés,54%,46%,430 of 550 — 78%,73% — 340 of 467,3 of 11 — 27%,25% — 2 of 8,2 of 2 — 100%,33% — 1 of 3
132,Granada,Betis,31%,69%,149 of 257 — 58%,78% — 440 of 567,2 of 7 — 29%,7% — 1 of 14,1 of 1 — 100%,50% — 1 of 2
133,Cádiz,Getafe,61%,39%,417 of 519 — 80%,66% — 224 of 337,1 of 8 — 13%,67% — 4 of 6,2 of 4 — 50%,100% — 1 of 1
134,Eibar,Real Madrid,34%,66%,240 of 357 — 67%,83% — 572 of 693,3 of 10 — 30%,36% — 4 of 11,1 of 4 — 25%,66% — 2 of 3
135,Valencia,Sevilla,30%,70%,190 of 278 — 68%,83% — 528 of 637,4 of 10 — 40%,16% — 3 of 19,2 of 3 — 66%,100% — 4 of 4
136,Elche,Osasuna,65%,35%,565 of 673 — 84%,70% — 255 of 362,2 of 7 — 29%,40% — 6 of 15,4 of 6 — 66%,0% — 0 of 2
137,Huesca,Levante,53%,47%,383 of 487 — 79%,76% — 324 of 425,1 of 10 — 10%,11% — 1 of 9,0 of 1 — 0%,100% — 1 of 1
138,Real Sociedad,Atlético Madrid,60%,40%,436 of 551 — 79%,75% — 274 of 365,1 of 6 — 17%,38% — 3 of 8,1 of 3 — 33%,100% — 1 of 1
139,Valladolid,Barcelona,39%,61%,381 of 463 — 82%,90% — 637 of 710,5 of 12 — 42%,48% — 10 of 21,7 of 10 — 70%,100% — 5 of 5
140,Villarreal,Athletic Club,65%,35%,535 of 646 — 83%,70% — 241 of 346,6 of 17 — 35%,33% — 3 of 9,2 of 3 — 66%,83% — 5 of 6
141,Getafe,Celta Vigo,39%,61%,240 of 348 — 69%,75% — 413 of 551,3 of 6 — 50%,0% — 0 of 1,0 of 0 — %,66% — 2 of 3
142,Real Madrid,Granada,66%,34%,539 of 641 — 84%,68% — 221 of 325,6 of 23 — 26%,10% — 1 of 10,1 of 1 — 100%,66% — 4 of 6
143,Alavés,Eibar,44%,56%,226 of 371 — 61%,69% — 323 of 466,3 of 13 — 23%,50% — 4 of 8,3 of 4 — 75%,33% — 1 of 3
144,Betis,Cádiz,71%,29%,585 of 708 — 83%,55% — 157 of 287,1 of 6 — 17%,50% — 3 of 6,3 of 3 — 100%,0% — 0 of 1
145,Sevilla,Villarreal,43%,57%,351 of 435 — 81%,84% — 482 of 574,2 of 9 — 22%,33% — 2 of 6,2 of 2 — 100%,50% — 1 of 2
146,Barcelona,Eibar,72%,28%,619 of 715 — 87%,59% — 161 of 275,5 of 15 — 33%,33% — 3 of 9,2 of 3 — 66%,80% — 4 of 5
147,Cádiz,Valladolid,36%,64%,199 of 323 — 62%,75% — 430 of 571,3 of 8 — 38%,14% — 1 of 7,1 of 1 — 100%,100% — 3 of 3
148,Levante,Betis,38%,62%,240 of 346 — 69%,82% — 455 of 553,5 of 10 — 50%,33% — 6 of 18,4 of 6 — 66%,20% — 1 of 5
149,Granada,Valencia,53%,47%,288 of 408 — 71%,71% — 254 of 357,5 of 24 — 21%,38% — 6 of 16,5 of 6 — 83%,60% — 3 of 5
150,Celta Vigo,Huesca,56%,44%,512 of 596 — 86%,80% — 369 of 463,6 of 15 — 40%,35% — 6 of 17,5 of 6 — 83%,66% — 4 of 6
151,Atlético Madrid,Getafe,51%,49%,379 of 519 — 73%,73% — 370 of 505,3 of 10 — 30%,20% — 2 of 10,2 of 2 — 100%,66% — 2 of 3
152,Elche,Real Madrid,33%,67%,304 of 374 — 81%,88% — 682 of 772,2 of 5 — 40%,43% — 6 of 14,5 of 6 — 83%,100% — 2 of 2
153,Athletic Club,Real Sociedad,60%,40%,380 of 503 — 76%,64% — 213 of 334,0 of 4 — 0%,23% — 3 of 13,2 of 3 — 66%,% — 0 of 0
154,Osasuna,Alavés,33%,67%,148 of 276 — 54%,78% — 437 of 561,3 of 8 — 38%,0% — 0 of 14,0 of 0 — %,66% — 2 of 3
155,Villarreal,Levante,50%,50%,450 of 527 — 85%,80% — 425 of 528,7 of 12 — 58%,22% — 2 of 9,1 of 2 — 50%,71% — 5 of 7
156,Betis,Sevilla,45%,55%,330 of 430 — 77%,81% — 423 of 520,1 of 14 — 7%,33% — 2 of 6,1 of 2 — 50%,100% — 1 of 1
157,Getafe,Valladolid,54%,46%,338 of 474 — 71%,64% — 260 of 406,4 of 11 — 36%,25% — 2 of 8,1 of 2 — 50%,100% — 4 of 4
158,Real Madrid,Celta Vigo,41%,59%,429 of 496 — 86%,86% — 618 of 718,2 of 9 — 22%,0% — 0 of 6,0 of 0 — %,0% — 0 of 2
159,Athletic Club,Elche,49%,51%,385 of 474 — 81%,80% — 395 of 493,2 of 13 — 15%,20% — 1 of 5,1 of 1 — 100%,50% — 1 of 2
160,Alavés,Atlético Madrid,42%,58%,297 of 409 — 73%,80% — 459 of 573,1 of 4 — 25%,50% — 4 of 8,2 of 4 — 50%,100% — 1 of 1
161,Eibar,Granada,56%,44%,247 of 425 — 58%,48% — 162 of 338,6 of 14 — 43%,50% — 3 of 6,3 of 3 — 100%,66% — 4 of 6
162,Real Sociedad,Osasuna,62%,38%,381 of 538 — 71%,59% — 193 of 327,2 of 8 — 25%,33% — 2 of 6,1 of 2 — 50%,50% — 1 of 2
163,Huesca,Barcelona,31%,69%,294 of 368 — 80%,90% — 749 of 832,4 of 4 — 100%,30% — 6 of 20,5 of 6 — 83%,100% — 4 of 4
164,Valencia,Cádiz,71%,29%,514 of 621 — 83%,62% — 157 of 255,4 of 11 — 36%,22% — 2 of 9,1 of 2 — 50%,75% — 3 of 4
165,Athletic Club,Barcelona,43%,57%,424 of 512 — 83%,88% — 601 of 683,3 of 8 — 38%,69% — 9 of 13,6 of 9 — 66%,33% — 1 of 3
166,Celta Vigo,Villarreal,57%,43%,554 of 639 — 87%,84% — 409 of 487,3 of 8 — 38%,40% — 6 of 15,2 of 6 — 33%,100% — 3 of 3
167,Sevilla,Real Sociedad,60%,40%,463 of 573 — 81%,73% — 277 of 380,7 of 12 — 58%,30% — 3 of 10,2 of 3 — 66%,57% — 4 of 7
