,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
0,Eibar,Celta Vigo,50%,50%,210 of 393 — 53%,58% — 228 of 394,1 of 8 — 13%,50% — 3 of 6,3 of 3 — 100%,100% — 1 of 1
1,Granada,Athletic Club,40%,60%,249 of 370 — 67%,74% — 404 of 544,2 of 4 — 50%,22% — 2 of 9,2 of 2 — 100%,0% — 0 of 2
2,Cádiz,Osasuna,52%,48%,266 of 408 — 65%,61% — 227 of 375,3 of 12 — 25%,67% — 4 of 6,2 of 4 — 50%,100% — 3 of 3
3,Alavés,Betis,43%,57%,250 of 353 — 71%,78% — 366 of 470,2 of 7 — 29%,36% — 4 of 11,3 of 4 — 75%,100% — 2 of 2
4,Valladolid,Real Sociedad,40%,60%,197 of 300 — 66%,73% — 327 of 445,2 of 8 — 25%,25% — 2 of 8,1 of 2 — 50%,50% — 1 of 2
5,Villarreal,Huesca,65%,35%,497 of 609 — 82%,70% — 227 of 322,3 of 14 — 21%,30% — 3 of 10,2 of 3 — 66%,100% — 3 of 3
6,Valencia,Levante,44%,56%,316 of 400 — 79%,83% — 427 of 512,8 of 14 — 57%,42% — 8 of 19,6 of 8 — 75%,50% — 4 of 8
7,Villarreal,Eibar,58%,42%,375 of 485 — 77%,68% — 241 of 357,7 of 14 — 50%,33% — 4 of 12,3 of 4 — 75%,71% — 5 of 7
8,Getafe,Osasuna,55%,45%,303 of 485 — 62%,54% — 213 of 393,1 of 6 — 17%,30% — 3 of 10,3 of 3 — 100%,0% — 0 of 1
9,Celta Vigo,Valencia,51%,49%,375 of 469 — 80%,78% — 348 of 447,6 of 23 — 26%,33% — 3 of 9,2 of 3 — 66%,66% — 4 of 6
10,Huesca,Cádiz,70%,30%,533 of 637 — 84%,59% — 160 of 270,1 of 5 — 20%,67% — 4 of 6,2 of 4 — 50%,0% — 0 of 1
11,Granada,Alavés,56%,44%,313 of 428 — 73%,66% — 221 of 335,3 of 10 — 30%,60% — 3 of 5,2 of 3 — 66%,33% — 1 of 3
12,Betis,Valladolid,56%,44%,439 of 553 — 79%,74% — 323 of 438,5 of 15 — 33%,22% — 2 of 9,2 of 2 — 100%,80% — 4 of 5
13,Real Sociedad,Real Madrid,32%,68%,266 of 356 — 75%,86% — 640 of 741,1 of 6 — 17%,25% — 4 of 16,4 of 4 — 100%,100% — 1 of 1
14,Alavés,Getafe,47%,53%,204 of 365 — 56%,65% — 266 of 409,0 of 9 — 0%,36% — 4 of 11,4 of 4 — 100%,% — 0 of 0
15,Valencia,Huesca,48%,52%,312 of 418 — 75%,79% — 363 of 457,2 of 5 — 40%,24% — 4 of 17,3 of 4 — 75%,50% — 1 of 2
16,Elche,Real Sociedad,40%,60%,279 of 370 — 75%,81% — 455 of 559,2 of 5 — 40%,23% — 6 of 26,4 of 6 — 66%,100% — 2 of 2
17,Betis,Real Madrid,45%,55%,395 of 490 — 81%,84% — 494 of 591,5 of 15 — 33%,30% — 3 of 10,2 of 3 — 66%,60% — 3 of 5
18,Osasuna,Levante,41%,59%,207 of 336 — 62%,70% — 342 of 486,3 of 8 — 38%,40% — 4 of 10,1 of 4 — 25%,66% — 2 of 3
19,Eibar,Athletic Club,49%,51%,237 of 393 — 60%,61% — 245 of 401,1 of 7 — 14%,56% — 5 of 9,3 of 5 — 60%,0% — 0 of 1
20,Atlético Madrid,Granada,55%,45%,449 of 550 — 82%,73% — 324 of 445,9 of 16 — 56%,55% — 6 of 11,5 of 6 — 83%,33% — 3 of 9
21,Valladolid,Celta Vigo,54%,46%,301 of 421 — 71%,70% — 252 of 359,3 of 9 — 33%,20% — 1 of 5,0 of 1 — 0%,100% — 3 of 3
22,Cádiz,Sevilla,25%,75%,144 of 246 — 59%,89% — 672 of 756,5 of 12 — 42%,36% — 5 of 14,2 of 5 — 40%,80% — 4 of 5
23,Barcelona,Villarreal,57%,43%,634 of 723 — 88%,83% — 458 of 555,8 of 16 — 50%,20% — 1 of 5,1 of 1 — 100%,75% — 6 of 8
24,Real Sociedad,Valencia,65%,35%,458 of 571 — 80%,68% — 212 of 310,3 of 11 — 27%,56% — 5 of 9,4 of 5 — 80%,100% — 3 of 3
25,Getafe,Betis,31%,69%,179 of 306 — 58%,83% — 553 of 669,4 of 8 — 50%,20% — 2 of 10,2 of 2 — 100%,25% — 1 of 4
26,Villarreal,Alavés,59%,41%,490 of 596 — 82%,75% — 315 of 421,4 of 9 — 44%,38% — 3 of 8,2 of 3 — 66%,50% — 2 of 4
27,Huesca,Atlético Madrid,37%,63%,290 of 395 — 73%,84% — 576 of 682,3 of 9 — 33%,13% — 2 of 16,2 of 2 — 100%,100% — 3 of 3
28,Eibar,Elche,61%,39%,455 of 583 — 78%,67% — 251 of 374,4 of 11 — 36%,40% — 2 of 5,1 of 2 — 50%,100% — 4 of 4
29,Real Madrid,Valladolid,62%,38%,529 of 625 — 85%,75% — 285 of 378,5 of 15 — 33%,45% — 5 of 11,5 of 5 — 100%,80% — 4 of 5
30,Sevilla,Levante,64%,36%,527 of 613 — 86%,74% — 255 of 344,2 of 16 — 13%,33% — 1 of 3,1 of 1 — 100%,50% — 1 of 2
31,Athletic Club,Cádiz,72%,28%,470 of 594 — 79%,59% — 138 of 232,4 of 13 — 31%,33% — 1 of 3,1 of 1 — 100%,100% — 4 of 4
32,Celta Vigo,Barcelona,44%,56%,365 of 461 — 79%,84% — 497 of 591,3 of 10 — 30%,57% — 4 of 7,2 of 4 — 50%,100% — 3 of 3
33,Valladolid,Eibar,53%,47%,264 of 391 — 68%,63% — 219 of 350,2 of 8 — 25%,40% — 4 of 10,3 of 4 — 75%,50% — 1 of 2
34,Atlético Madrid,Villarreal,54%,46%,541 of 652 — 83%,84% — 456 of 546,0 of 13 — 0%,33% — 2 of 6,2 of 2 — 100%,% — 0 of 0
35,Real Sociedad,Getafe,54%,46%,299 of 435 — 69%,63% — 237 of 377,5 of 10 — 50%,20% — 1 of 5,1 of 1 — 100%,60% — 3 of 5
36,Elche,Huesca,51%,49%,450 of 545 — 83%,82% — 424 of 514,0 of 2 — 0%,22% — 4 of 18,4 of 4 — 100%,% — 0 of 0
37,Valencia,Betis,47%,53%,354 of 445 — 80%,82% — 416 of 508,2 of 5 — 40%,47% — 8 of 17,6 of 8 — 75%,100% — 2 of 2
38,Osasuna,Celta Vigo,40%,60%,223 of 350 — 64%,77% — 406 of 527,4 of 13 — 31%,33% — 3 of 9,3 of 3 — 100%,50% — 2 of 4
39,Alavés,Athletic Club,41%,59%,225 of 341 — 66%,71% — 352 of 493,3 of 8 — 38%,0% — 0 of 8,0 of 0 — %,66% — 2 of 3
40,Levante,Real Madrid,45%,55%,361 of 462 — 78%,82% — 465 of 569,4 of 11 — 36%,23% — 3 of 13,1 of 3 — 33%,100% — 4 of 4
41,Cádiz,Granada,42%,58%,247 of 341 — 72%,77% — 370 of 480,4 of 14 — 29%,38% — 5 of 13,4 of 5 — 80%,75% — 3 of 4
42,Barcelona,Sevilla,55%,45%,594 of 683 — 87%,86% — 487 of 567,5 of 12 — 42%,8% — 1 of 13,0 of 1 — 0%,80% — 4 of 5
43,Granada,Sevilla,52%,48%,327 of 428 — 76%,79% — 317 of 402,3 of 13 — 23%,38% — 3 of 8,3 of 3 — 100%,66% — 2 of 3
44,Celta Vigo,Atlético Madrid,51%,49%,400 of 512 — 78%,79% — 383 of 487,5 of 15 — 33%,44% — 4 of 9,2 of 4 — 50%,100% — 5 of 5
45,Real Madrid,Cádiz,75%,25%,590 of 699 — 84%,56% — 133 of 239,2 of 14 — 14%,29% — 4 of 14,3 of 4 — 75%,100% — 2 of 2
46,Getafe,Barcelona,28%,72%,143 of 256 — 56%,86% — 557 of 651,3 of 8 — 38%,14% — 1 of 7,1 of 1 — 100%,100% — 3 of 3
47,Eibar,Osasuna,52%,48%,250 of 417 — 60%,57% — 219 of 386,6 of 10 — 60%,25% — 2 of 8,2 of 2 — 100%,100% — 6 of 6
