,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
164,Betis,Real Sociedad,49%,51%,309 of 398 — 78%,78% — 326 of 420,5 of 11 — 45%,33% — 5 of 15,5 of 5 — 100%,20% — 1 of 5
165,Real Madrid,Atlético Madrid,61%,39%,607 of 674 — 90%,83% — 353 of 426,3 of 7 — 43%,67% — 6 of 9,6 of 6 — 100%,33% — 1 of 3
166,Cádiz,Granada,35%,65%,162 of 286 — 57%,78% — 417 of 536,3 of 13 — 23%,31% — 5 of 16,4 of 5 — 80%,66% — 2 of 3
167,Celta Vigo,Espanyol,52%,48%,479 of 590 — 81%,80% — 429 of 535,5 of 12 — 42%,50% — 3 of 6,2 of 3 — 66%,40% — 2 of 5
168,Rayo Vallecano,Alavés,61%,39%,365 of 490 — 74%,60% — 186 of 310,5 of 20 — 25%,67% — 4 of 6,4 of 4 — 100%,60% — 3 of 5
169,Real Sociedad,Villarreal,40%,60%,213 of 327 — 65%,78% — 386 of 495,4 of 8 — 50%,47% — 7 of 15,4 of 7 — 57%,75% — 3 of 4
170,Barcelona,Elche,72%,28%,658 of 745 — 88%,70% — 203 of 291,7 of 19 — 37%,60% — 3 of 5,1 of 3 — 33%,57% — 4 of 7
171,Sevilla,Atlético Madrid,54%,46%,441 of 537 — 82%,76% — 343 of 452,2 of 6 — 33%,20% — 3 of 15,2 of 3 — 66%,0% — 0 of 2
172,Granada,Mallorca,46%,54%,224 of 338 — 66%,74% — 299 of 404,6 of 15 — 40%,63% — 5 of 8,4 of 5 — 80%,33% — 2 of 6
173,Athletic Club,Betis,44%,56%,323 of 431 — 75%,79% — 430 of 545,6 of 9 — 67%,50% — 8 of 16,6 of 8 — 75%,50% — 3 of 6
174,Getafe,Osasuna,49%,51%,316 of 447 — 71%,71% — 326 of 462,3 of 18 — 17%,27% — 3 of 11,3 of 3 — 100%,66% — 2 of 3
175,Real Madrid,Cádiz,82%,18%,766 of 866 — 88%,51% — 99 of 194,9 of 36 — 25%,0% — 0 of 4,0 of 0 — %,100% — 9 of 9
176,Levante,Valencia,52%,48%,298 of 407 — 73%,72% — 274 of 378,8 of 14 — 57%,50% — 7 of 14,4 of 7 — 57%,62% — 5 of 8
177,Villarreal,Alavés,62%,38%,488 of 575 — 85%,75% — 264 of 352,10 of 24 — 42%,50% — 2 of 4,0 of 2 — 0%,50% — 5 of 10
178,Sevilla,Barcelona,42%,58%,299 of 390 — 77%,83% — 447 of 536,1 of 5 — 20%,30% — 7 of 23,6 of 7 — 85%,0% — 0 of 1
179,Granada,Atlético Madrid,40%,60%,289 of 382 — 76%,82% — 471 of 576,4 of 6 — 67%,20% — 3 of 15,2 of 3 — 66%,50% — 2 of 4
180,Athletic Club,Real Madrid,41%,59%,396 of 473 — 84%,90% — 617 of 688,2 of 15 — 13%,58% — 7 of 12,5 of 7 — 71%,50% — 1 of 2
181,Valencia,Espanyol,37%,63%,226 of 325 — 70%,85% — 468 of 552,1 of 12 — 8%,21% — 3 of 14,2 of 3 — 66%,0% — 0 of 1
182,Getafe,Real Madrid,27%,73%,198 of 289 — 69%,85% — 664 of 777,3 of 6 — 50%,29% — 4 of 14,4 of 4 — 100%,66% — 2 of 3
183,Atlético Madrid,Rayo Vallecano,50%,50%,397 of 505 — 79%,82% — 407 of 499,5 of 15 — 33%,0% — 0 of 5,0 of 0 — %,60% — 3 of 5
184,Elche,Granada,49%,51%,312 of 422 — 74%,77% — 343 of 445,2 of 18 — 11%,50% — 5 of 10,5 of 5 — 100%,100% — 2 of 2
185,Alavés,Real Sociedad,37%,63%,198 of 325 — 61%,75% — 425 of 565,4 of 18 — 22%,40% — 4 of 10,3 of 4 — 75%,100% — 4 of 4
186,Betis,Celta Vigo,55%,45%,474 of 595 — 80%,74% — 361 of 486,7 of 18 — 39%,67% — 4 of 6,3 of 4 — 75%,100% — 7 of 7
187,Mallorca,Barcelona,36%,64%,259 of 342 — 76%,87% — 526 of 605,3 of 13 — 23%,23% — 3 of 13,2 of 3 — 66%,100% — 3 of 3
188,Villarreal,Levante,57%,43%,453 of 529 — 86%,78% — 314 of 402,7 of 17 — 41%,43% — 3 of 7,3 of 3 — 100%,28% — 2 of 7
189,Osasuna,Athletic Club,57%,43%,425 of 530 — 80%,72% — 290 of 403,4 of 15 — 27%,29% — 5 of 17,2 of 5 — 40%,75% — 3 of 4
190,Cádiz,Sevilla,26%,74%,180 of 285 — 63%,88% — 732 of 832,2 of 8 — 25%,21% — 3 of 14,2 of 3 — 66%,100% — 2 of 2
191,Levante,Mallorca,43%,57%,289 of 402 — 72%,77% — 409 of 529,8 of 16 — 50%,50% — 7 of 14,7 of 7 — 100%,75% — 6 of 8
192,Real Sociedad,Celta Vigo,41%,59%,255 of 373 — 68%,76% — 398 of 527,3 of 12 — 25%,0% — 0 of 4,0 of 0 — %,66% — 2 of 3
193,Granada,Barcelona,36%,64%,239 of 343 — 70%,84% — 522 of 620,4 of 14 — 29%,8% — 1 of 13,0 of 1 — 0%,75% — 3 of 4
194,Real Madrid,Valencia,67%,33%,579 of 646 — 90%,75% — 237 of 318,7 of 22 — 32%,55% — 6 of 11,5 of 6 — 83%,57% — 4 of 7
195,Rayo Vallecano,Betis,58%,42%,412 of 526 — 78%,71% — 267 of 374,7 of 17 — 41%,56% — 5 of 9,4 of 5 — 80%,85% — 6 of 7
196,Sevilla,Getafe,67%,33%,583 of 679 — 86%,72% — 245 of 340,1 of 10 — 10%,50% — 2 of 4,2 of 2 — 100%,0% — 0 of 1
197,Osasuna,Cádiz,59%,41%,420 of 544 — 77%,64% — 241 of 376,5 of 15 — 33%,17% — 1 of 6,1 of 1 — 100%,60% — 3 of 5
198,Alavés,Athletic Club,42%,58%,239 of 392 — 61%,74% — 399 of 538,1 of 12 — 8%,20% — 2 of 10,2 of 2 — 100%,100% — 1 of 1
199,Villarreal,Atlético Madrid,59%,41%,468 of 589 — 79%,73% — 294 of 404,2 of 12 — 17%,71% — 5 of 7,3 of 5 — 60%,0% — 0 of 2
200,Espanyol,Elche,55%,45%,398 of 514 — 77%,76% — 324 of 425,1 of 10 — 10%,67% — 2 of 3,0 of 2 — 0%,100% — 1 of 1
201,Elche,Villarreal,48%,52%,284 of 403 — 70%,70% — 300 of 428,2 of 5 — 40%,44% — 4 of 9,4 of 4 — 100%,50% — 1 of 2
202,Betis,Alavés,60%,40%,426 of 549 — 78%,63% — 226 of 361,5 of 18 — 28%,22% — 2 of 9,2 of 2 — 100%,20% — 1 of 5
203,Cádiz,Espanyol,48%,52%,340 of 444 — 77%,79% — 379 of 481,4 of 10 — 40%,50% — 7 of 14,5 of 7 — 71%,50% — 2 of 4
204,Celta Vigo,Osasuna,47%,53%,357 of 503 — 71%,74% — 413 of 561,3 of 5 — 60%,0% — 0 of 9,0 of 0 — %,33% — 1 of 3
205,Valencia,Sevilla,33%,67%,192 of 290 — 66%,85% — 513 of 602,2 of 10 — 20%,25% — 3 of 12,3 of 3 — 100%,50% — 1 of 2
206,Getafe,Granada,50%,50%,316 of 440 — 72%,72% — 315 of 440,4 of 12 — 33%,57% — 4 of 7,2 of 4 — 50%,0% — 0 of 4
207,Espanyol,Betis,38%,62%,321 of 395 — 81%,87% — 550 of 634,4 of 12 — 33%,50% — 7 of 14,4 of 7 — 57%,75% — 3 of 4
208,Levante,Cádiz,66%,34%,466 of 584 — 80%,66% — 200 of 305,8 of 15 — 53%,25% — 2 of 8,0 of 2 — 0%,100% — 8 of 8
209,Villarreal,Mallorca,56%,44%,410 of 531 — 77%,75% — 312 of 415,5 of 11 — 45%,25% — 2 of 8,2 of 2 — 100%,80% — 4 of 5
