,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
291,Celta Vigo,Real Madrid,55%,45%,490 of 594 — 82%,86% — 427 of 494,5 of 11 — 45%,33% — 3 of 9,3 of 3 — 100%,80% — 4 of 5
292,Atlético Madrid,Alavés,50%,50%,340 of 454 — 75%,74% — 336 of 456,7 of 13 — 54%,14% — 1 of 7,0 of 1 — 0%,57% — 4 of 7
293,Athletic Club,Elche,48%,52%,356 of 474 — 75%,79% — 398 of 505,6 of 16 — 38%,33% — 2 of 6,1 of 2 — 50%,66% — 4 of 6
294,Betis,Osasuna,54%,46%,374 of 472 — 79%,70% — 281 of 401,8 of 24 — 33%,30% — 3 of 10,2 of 3 — 66%,50% — 4 of 8
295,Granada,Rayo Vallecano,63%,37%,412 of 558 — 74%,60% — 194 of 321,8 of 16 — 50%,40% — 4 of 10,2 of 4 — 50%,87% — 7 of 8
296,Valencia,Cádiz,51%,49%,309 of 432 — 72%,68% — 281 of 412,1 of 5 — 20%,75% — 3 of 4,3 of 3 — 100%,100% — 1 of 1
297,Barcelona,Sevilla,55%,45%,523 of 604 — 87%,83% — 409 of 490,6 of 19 — 32%,38% — 3 of 8,3 of 3 — 100%,83% — 5 of 6
298,Real Sociedad,Espanyol,68%,32%,625 of 711 — 88%,79% — 263 of 334,5 of 16 — 31%,25% — 2 of 8,2 of 2 — 100%,100% — 5 of 5
299,Sevilla,Granada,72%,28%,612 of 723 — 85%,68% — 187 of 275,8 of 16 — 50%,33% — 5 of 15,3 of 5 — 60%,50% — 4 of 8
300,Cádiz,Betis,41%,59%,202 of 317 — 64%,79% — 366 of 465,3 of 10 — 30%,11% — 1 of 9,0 of 1 — 0%,66% — 2 of 3
301,Mallorca,Atlético Madrid,33%,67%,226 of 334 — 68%,81% — 542 of 670,2 of 9 — 22%,11% — 1 of 9,1 of 1 — 100%,100% — 2 of 2
302,Villarreal,Athletic Club,60%,40%,511 of 613 — 83%,72% — 299 of 415,5 of 11 — 45%,50% — 6 of 12,5 of 6 — 83%,80% — 4 of 5
303,Real Madrid,Getafe,68%,32%,690 of 779 — 89%,73% — 266 of 366,8 of 26 — 31%,0% — 0 of 8,0 of 0 — %,75% — 6 of 8
304,Osasuna,Alavés,65%,35%,440 of 588 — 75%,57% — 180 of 314,3 of 14 — 21%,25% — 2 of 8,2 of 2 — 100%,66% — 2 of 3
305,Espanyol,Celta Vigo,47%,53%,387 of 484 — 80%,81% — 447 of 555,2 of 11 — 18%,50% — 5 of 10,5 of 5 — 100%,50% — 1 of 2
306,Elche,Real Sociedad,50%,50%,319 of 419 — 76%,78% — 329 of 423,1 of 10 — 10%,35% — 6 of 17,4 of 6 — 66%,0% — 0 of 1
307,Levante,Barcelona,37%,63%,306 of 394 — 78%,87% — 582 of 672,2 of 8 — 25%,50% — 7 of 14,4 of 7 — 57%,100% — 2 of 2
308,Rayo Vallecano,Valencia,55%,45%,339 of 481 — 70%,65% — 256 of 392,4 of 11 — 36%,33% — 2 of 6,1 of 2 — 50%,75% — 3 of 4
309,Real Sociedad,Betis,57%,43%,437 of 537 — 81%,80% — 326 of 406,2 of 9 — 22%,22% — 2 of 9,2 of 2 — 100%,100% — 2 of 2
310,Elche,Mallorca,53%,47%,371 of 481 — 77%,75% — 324 of 430,2 of 6 — 33%,15% — 2 of 13,2 of 2 — 100%,0% — 0 of 2
311,Alavés,Rayo Vallecano,38%,62%,186 of 323 — 58%,72% — 382 of 532,5 of 11 — 45%,15% — 3 of 20,3 of 3 — 100%,80% — 4 of 5
312,Valencia,Osasuna,51%,49%,263 of 396 — 66%,65% — 246 of 377,3 of 10 — 30%,25% — 2 of 8,1 of 2 — 50%,100% — 3 of 3
313,Getafe,Villarreal,41%,59%,317 of 422 — 75%,84% — 505 of 601,5 of 12 — 42%,55% — 6 of 11,4 of 6 — 66%,80% — 4 of 5
314,Granada,Levante,54%,46%,314 of 418 — 75%,77% — 278 of 363,4 of 16 — 25%,44% — 7 of 16,4 of 7 — 57%,75% — 3 of 4
315,Atlético Madrid,Espanyol,52%,48%,431 of 550 — 78%,82% — 420 of 511,2 of 9 — 22%,45% — 5 of 11,4 of 5 — 80%,50% — 1 of 2
316,Athletic Club,Celta Vigo,50%,50%,394 of 522 — 75%,79% — 409 of 518,2 of 10 — 20%,67% — 4 of 6,2 of 4 — 50%,100% — 2 of 2
317,Sevilla,Real Madrid,40%,60%,417 of 494 — 84%,87% — 629 of 726,2 of 7 — 29%,40% — 6 of 15,3 of 6 — 50%,0% — 0 of 2
318,Barcelona,Cádiz,74%,26%,641 of 746 — 86%,60% — 153 of 256,6 of 18 — 33%,67% — 4 of 6,3 of 4 — 75%,100% — 6 of 6
319,Mallorca,Alavés,41%,59%,249 of 372 — 67%,73% — 398 of 546,3 of 5 — 60%,33% — 4 of 12,4 of 4 — 100%,33% — 1 of 3
320,Betis,Elche,64%,36%,569 of 678 — 84%,75% — 289 of 385,3 of 18 — 17%,11% — 1 of 9,0 of 1 — 0%,100% — 3 of 3
321,Villarreal,Valencia,58%,42%,533 of 610 — 87%,81% — 359 of 443,4 of 11 — 36%,20% — 1 of 5,1 of 1 — 100%,75% — 3 of 4
322,Atlético Madrid,Granada,64%,36%,567 of 703 — 81%,73% — 288 of 397,1 of 22 — 5%,29% — 2 of 7,2 of 2 — 100%,100% — 1 of 1
323,Celta Vigo,Getafe,71%,29%,601 of 744 — 81%,55% — 172 of 310,2 of 9 — 22%,50% — 3 of 6,1 of 3 — 33%,100% — 2 of 2
324,Osasuna,Real Madrid,35%,65%,317 of 400 — 79%,88% — 650 of 735,3 of 12 — 25%,43% — 9 of 21,6 of 9 — 66%,66% — 2 of 3
325,Levante,Sevilla,45%,55%,290 of 393 — 74%,79% — 374 of 476,5 of 13 — 38%,46% — 6 of 13,3 of 6 — 50%,80% — 4 of 5
326,Espanyol,Rayo Vallecano,57%,43%,457 of 554 — 82%,75% — 311 of 414,2 of 6 — 33%,15% — 2 of 13,1 of 2 — 50%,100% — 2 of 2
327,Cádiz,Athletic Club,58%,42%,395 of 521 — 76%,72% — 266 of 372,8 of 27 — 30%,75% — 6 of 8,3 of 6 — 50%,75% — 6 of 8
328,Real Sociedad,Barcelona,55%,45%,488 of 603 — 81%,76% — 376 of 493,5 of 8 — 63%,10% — 1 of 10,0 of 1 — 0%,100% — 5 of 5
329,Barcelona,Rayo Vallecano,70%,30%,571 of 695 — 82%,68% — 200 of 293,4 of 18 — 22%,33% — 1 of 3,0 of 1 — 0%,100% — 4 of 4
330,Sevilla,Cádiz,58%,42%,479 of 578 — 83%,78% — 333 of 427,6 of 11 — 55%,30% — 3 of 10,2 of 3 — 66%,83% — 5 of 6
331,Alavés,Villarreal,33%,67%,196 of 288 — 68%,84% — 489 of 584,4 of 11 — 36%,38% — 6 of 16,5 of 6 — 83%,50% — 2 of 4
332,Real Madrid,Espanyol,58%,42%,582 of 640 — 91%,85% — 399 of 467,5 of 11 — 45%,30% — 6 of 20,6 of 6 — 100%,20% — 1 of 5
333,Valencia,Levante,32%,68%,163 of 268 — 61%,79% — 446 of 564,1 of 6 — 17%,25% — 6 of 24,5 of 6 — 83%,0% — 0 of 1
334,Athletic Club,Atlético Madrid,43%,57%,309 of 397 — 78%,79% — 414 of 526,3 of 10 — 30%,33% — 3 of 9,3 of 3 — 100%,100% — 3 of 3
335,Elche,Osasuna,57%,43%,367 of 474 — 77%,74% — 269 of 364,4 of 11 — 36%,25% — 2 of 8,2 of 2 — 100%,75% — 3 of 4
336,Granada,Celta Vigo,43%,57%,212 of 344 — 62%,72% — 333 of 465,6 of 15 — 40%,38% — 5 of 13,4 of 5 — 80%,83% — 5 of 6
337,Rayo Vallecano,Real Sociedad,45%,55%,331 of 444 — 75%,81% — 445 of 551,7 of 13 — 54%,38% — 3 of 8,2 of 3 — 66%,85% — 6 of 7
338,Barcelona,Mallorca,70%,30%,610 of 716 — 85%,73% — 223 of 305,5 of 17 — 29%,33% — 2 of 6,1 of 2 — 50%,60% — 3 of 5
339,Getafe,Betis,36%,64%,236 of 354 — 67%,82% — 526 of 638,2 of 13 — 15%,44% — 4 of 9,4 of 4 — 100%,100% — 2 of 2
340,Levante,Real Sociedad,36%,64%,250 of 338 — 74%,82% — 497 of 605,6 of 15 — 40%,24% — 5 of 21,4 of 5 — 80%,83% — 5 of 6
341,Mallorca,Granada,59%,41%,339 of 475 — 71%,60% — 194 of 324,8 of 18 — 44%,50% — 7 of 14,1 of 7 — 14%,75% — 6 of 8
342,Athletic Club,Valencia,59%,41%,393 of 522 — 75%,66% — 245 of 370,5 of 10 — 50%,25% — 1 of 4,1 of 1 — 100%,100% — 5 of 5
343,Cádiz,Elche,56%,44%,385 of 483 — 80%,75% — 291 of 386,7 of 17 — 41%,50% — 2 of 4,2 of 2 — 100%,57% — 4 of 7
344,Celta Vigo,Alavés,66%,34%,615 of 728 — 84%,73% — 274 of 377,8 of 15 — 53%,33% — 1 of 3,1 of 1 — 100%,50% — 4 of 8
345,Betis,Barcelona,43%,57%,317 of 402 — 79%,85% — 459 of 541,5 of 14 — 36%,45% — 5 of 11,3 of 5 — 60%,80% — 4 of 5
346,Getafe,Rayo Vallecano,45%,55%,316 of 444 — 71%,80% — 440 of 552,6 of 12 — 50%,8% — 1 of 12,1 of 1 — 100%,100% — 6 of 6
347,Villarreal,Sevilla,53%,47%,390 of 486 — 80%,74% — 318 of 429,7 of 14 — 50%,29% — 2 of 7,1 of 2 — 50%,85% — 6 of 7
348,Espanyol,Osasuna,51%,49%,403 of 521 — 77%,75% — 381 of 505,3 of 12 — 25%,33% — 4 of 12,3 of 4 — 75%,66% — 2 of 3
349,Atlético Madrid,Real Madrid,42%,58%,354 of 442 — 80%,84% — 526 of 623,1 of 15 — 7%,40% — 6 of 15,6 of 6 — 100%,100% — 1 of 1
350,Valencia,Betis,45%,55%,296 of 394 — 75%,79% — 385 of 486,5 of 19 — 26%,56% — 5 of 9,2 of 5 — 40%,100% — 5 of 5
351,Granada,Athletic Club,41%,59%,206 of 332 — 62%,69% — 327 of 475,2 of 12 — 17%,13% — 1 of 8,1 of 1 — 100%,50% — 1 of 2
352,Barcelona,Celta Vigo,54%,46%,507 of 587 — 86%,82% — 416 of 506,4 of 10 — 40%,38% — 5 of 13,4 of 5 — 80%,25% — 1 of 4
353,Osasuna,Getafe,67%,33%,395 of 525 — 75%,56% — 145 of 257,1 of 12 — 8%,0% — 0 of 6,0 of 0 — %,0% — 0 of 1
354,Alavés,Espanyol,46%,54%,259 of 370 — 70%,75% — 319 of 426,9 of 27 — 33%,50% — 2 of 4,2 of 2 — 100%,77% — 7 of 9
355,Sevilla,Mallorca,72%,28%,566 of 673 — 84%,67% — 172 of 256,3 of 18 — 17%,20% — 2 of 10,2 of 2 — 100%,100% — 3 of 3
356,Elche,Atlético Madrid,56%,44%,483 of 600 — 81%,77% — 368 of 480,0 of 9 — 0%,45% — 5 of 11,3 of 5 — 60%,% — 0 of 0
357,Real Sociedad,Cádiz,52%,48%,397 of 491 — 81%,72% — 327 of 453,5 of 11 — 45%,7% — 1 of 14,1 of 1 — 100%,80% — 4 of 5
358,Rayo Vallecano,Villarreal,56%,44%,396 of 482 — 82%,81% — 307 of 379,3 of 17 — 18%,73% — 8 of 11,3 of 8 — 37%,66% — 2 of 3
359,Real Madrid,Levante,54%,46%,489 of 553 — 88%,83% — 398 of 480,16 of 27 — 59%,6% — 1 of 16,1 of 1 — 100%,62% — 10 of 16
360,Espanyol,Valencia,48%,52%,338 of 422 — 80%,78% — 352 of 449,3 of 5 — 60%,28% — 5 of 18,4 of 5 — 80%,66% — 2 of 3
361,Levante,Alavés,63%,37%,416 of 506 — 82%,63% — 184 of 293,5 of 15 — 33%,33% — 2 of 6,1 of 2 — 50%,40% — 2 of 5
362,Villarreal,Real Sociedad,49%,51%,318 of 423 — 75%,75% — 335 of 448,4 of 10 — 40%,55% — 6 of 11,4 of 6 — 66%,75% — 3 of 4
363,Getafe,Barcelona,29%,71%,291 of 372 — 78%,91% — 818 of 895,3 of 9 — 33%,20% — 1 of 5,1 of 1 — 100%,100% — 3 of 3
364,Athletic Club,Osasuna,45%,55%,340 of 451 — 75%,77% — 422 of 549,8 of 14 — 57%,13% — 1 of 8,1 of 1 — 100%,75% — 6 of 8
365,Atlético Madrid,Sevilla,41%,59%,292 of 386 — 76%,82% — 455 of 554,3 of 12 — 25%,50% — 4 of 8,3 of 4 — 75%,66% — 2 of 3
366,Betis,Granada,60%,40%,448 of 542 — 83%,70% — 249 of 355,4 of 11 — 36%,29% — 4 of 14,4 of 4 — 100%,50% — 2 of 4
367,Celta Vigo,Elche,48%,52%,356 of 479 — 74%,72% — 374 of 516,4 of 14 — 29%,10% — 1 of 10,1 of 1 — 100%,75% — 3 of 4
368,Mallorca,Rayo Vallecano,45%,55%,289 of 399 — 72%,80% — 394 of 490,5 of 12 — 42%,36% — 4 of 11,3 of 4 — 75%,60% — 3 of 5
369,Cádiz,Real Madrid,39%,61%,312 of 406 — 77%,89% — 573 of 646,6 of 20 — 30%,44% — 7 of 16,6 of 7 — 85%,83% — 5 of 6
370,Real Madrid,Betis,52%,48%,529 of 598 — 88%,85% — 470 of 551,3 of 17 — 18%,18% — 2 of 11,2 of 2 — 100%,100% — 3 of 3
371,Rayo Vallecano,Levante,56%,44%,364 of 474 — 77%,76% — 283 of 373,7 of 18 — 39%,43% — 6 of 14,2 of 6 — 33%,85% — 6 of 7
372,Valencia,Celta Vigo,45%,55%,254 of 369 — 69%,73% — 326 of 447,3 of 10 — 30%,33% — 3 of 9,3 of 3 — 100%,66% — 2 of 3
373,Elche,Getafe,59%,41%,471 of 557 — 85%,80% — 311 of 388,9 of 19 — 47%,29% — 2 of 7,1 of 2 — 50%,66% — 6 of 9
374,Osasuna,Mallorca,62%,38%,410 of 517 — 79%,65% — 202 of 311,1 of 11 — 9%,43% — 6 of 14,4 of 6 — 66%,100% — 1 of 1
375,Granada,Espanyol,40%,60%,260 of 370 — 70%,82% — 464 of 564,5 of 14 — 36%,50% — 5 of 10,5 of 5 — 100%,100% — 5 of 5
376,Alavés,Cádiz,50%,50%,353 of 446 — 79%,77% — 352 of 455,2 of 9 — 22%,46% — 6 of 13,5 of 6 — 83%,100% — 2 of 2
377,Barcelona,Villarreal,69%,31%,642 of 734 — 87%,78% — 255 of 329,3 of 14 — 21%,75% — 3 of 4,1 of 3 — 33%,100% — 3 of 3
378,Sevilla,Athletic Club,66%,34%,607 of 732 — 83%,75% — 286 of 381,3 of 13 — 23%,10% — 1 of 10,1 of 1 — 100%,66% — 2 of 3
379,Real Sociedad,Atlético Madrid,62%,38%,515 of 621 — 83%,71% — 271 of 384,3 of 12 — 25%,83% — 5 of 6,3 of 5 — 60%,66% — 2 of 3
