,Fecha,match_id,Día,Local,Visitante,goles_local,goles_visitante,xG_local,xG_visitante,posesión_home,posesión_away,home_shots,home_shots_on_target,home_shot_accuracy,away_shots,away_shots_on_target,away_shot_accuracy,home_passes,home_completed_passes,home_passing_accuracy,away_passes,away_completed_passes,away_passing_accuracy
0,2019-08-16,1,Vie,Athletic Club,Barcelona,1,0,0.5,0.9,0.29,0.71,11.0,5.0,0.45,11.0,2.0,0.18,291.0,200.0,0.69,717.0,604.0,0.84
1,2019-08-17,2,Sáb,Celta Vigo,Real Madrid,1,3,1.6,2.1,0.56,0.44,7.0,3.0,0.43,17.0,11.0,0.65,573.0,486.0,0.85,444.0,369.0,0.83
2,2019-08-17,3,Sáb,Valencia,Real Sociedad,1,1,2.3,1.8,0.37,0.63,13.0,6.0,0.46,11.0,2.0,0.18,395.0,320.0,0.81,668.0,579.0,0.87
3,2019-08-17,4,Sáb,Mallorca,Eibar,2,1,1.6,0.7,0.38,0.62,15.0,2.0,0.13,11.0,5.0,0.45,325.0,226.0,0.7,540.0,425.0,0.79
4,2019-08-17,5,Sáb,Leganés,Osasuna,0,1,1.4,0.2,0.52,0.48,13.0,2.0,0.15,4.0,2.0,0.5,403.0,270.0,0.67,368.0,255.0,0.69
5,2019-08-17,6,Sáb,Villarreal,Granada,4,4,1.9,1.9,0.54,0.46,11.0,6.0,0.55,13.0,6.0,0.46,501.0,404.0,0.81,427.0,328.0,0.77
6,2019-08-18,7,Dom,Alavés,Levante,1,0,0.5,1.1,0.38,0.62,9.0,2.0,0.22,16.0,4.0,0.25,313.0,207.0,0.66,511.0,401.0,0.78
7,2019-08-18,8,Dom,Espanyol,Sevilla,0,2,0.2,1.6,0.45,0.55,7.0,2.0,0.29,12.0,4.0,0.33,459.0,356.0,0.78,554.0,455.0,0.82
8,2019-08-18,9,Dom,Betis,Valladolid,1,2,1.5,0.7,0.48,0.52,13.0,4.0,0.31,14.0,3.0,0.21,421.0,340.0,0.81,459.0,384.0,0.84
9,2019-08-18,10,Dom,Atlético Madrid,Getafe,1,0,2.2,0.3,0.57,0.43,4.0,4.0,1.0,6.0,0.0,0.0,453.0,366.0,0.81,340.0,249.0,0.73
10,2019-08-23,11,Vie,Granada,Sevilla,0,1,0.5,1.1,0.46,0.54,12.0,0.0,0.0,11.0,6.0,0.55,431.0,318.0,0.74,514.0,407.0,0.79
11,2019-08-23,12,Vie,Levante,Villarreal,2,1,2.1,3.0,0.49,0.51,14.0,2.0,0.14,23.0,6.0,0.26,428.0,327.0,0.76,450.0,362.0,0.8
12,2019-08-24,13,Sáb,Osasuna,Eibar,0,0,0.5,0.8,0.49,0.51,6.0,2.0,0.33,12.0,0.0,0.0,341.0,191.0,0.56,353.0,202.0,0.57
13,2019-08-24,14,Sáb,Real Madrid,Valladolid,1,1,1.7,1.2,0.66,0.34,22.0,4.0,0.18,9.0,2.0,0.22,687.0,610.0,0.89,353.0,264.0,0.75
14,2019-08-24,15,Sáb,Getafe,Athletic Club,1,1,0.3,0.5,0.47,0.53,7.0,2.0,0.29,4.0,2.0,0.5,384.0,212.0,0.55,427.0,269.0,0.63
15,2019-08-24,16,Sáb,Celta Vigo,Valencia,1,0,1.9,1.0,0.55,0.46,10.0,5.0,0.5,10.0,1.0,0.1,545.0,454.0,0.83,455.0,368.0,0.81
16,2019-08-25,17,Dom,Alavés,Espanyol,0,0,0.8,0.2,0.37,0.63,10.0,2.0,0.2,5.0,1.0,0.2,360.0,266.0,0.74,621.0,515.0,0.83
17,2019-08-25,18,Dom,Mallorca,Real Sociedad,0,1,1.0,1.6,0.36,0.64,12.0,4.0,0.33,12.0,4.0,0.33,338.0,242.0,0.72,600.0,510.0,0.85
18,2019-08-25,19,Dom,Leganés,Atlético Madrid,0,1,0.4,1.8,0.42,0.58,10.0,4.0,0.4,6.0,4.0,0.67,386.0,261.0,0.68,535.0,419.0,0.78
19,2019-08-25,20,Dom,Barcelona,Betis,5,2,2.6,0.2,0.7,0.3,20.0,7.0,0.35,4.0,3.0,0.75,829.0,742.0,0.9,351.0,275.0,0.78
20,2019-08-30,21,Vie,Sevilla,Celta Vigo,1,1,1.5,0.4,0.63,0.37,19.0,5.0,0.26,2.0,1.0,0.5,649.0,551.0,0.85,377.0,305.0,0.81
21,2019-08-30,22,Vie,Athletic Club,Real Sociedad,2,0,1.0,0.2,0.4,0.6,15.0,5.0,0.33,2.0,2.0,1.0,348.0,246.0,0.71,531.0,426.0,0.8
22,2019-08-31,23,Sáb,Osasuna,Barcelona,2,2,1.8,0.4,0.27,0.73,14.0,4.0,0.29,8.0,4.0,0.5,280.0,176.0,0.63,774.0,662.0,0.86
23,2019-08-31,24,Sáb,Levante,Valladolid,2,0,2.7,1.1,0.51,0.49,16.0,3.0,0.19,15.0,3.0,0.2,405.0,296.0,0.73,391.0,290.0,0.74
