,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
47,Getafe,Real Sociedad,34%,66%,197 of 290 — 68%,83% — 463 of 558,2 of 7 — 29%,46% — 6 of 13,5 of 6 — 83%,0% — 0 of 2
48,Betis,Villarreal,47%,53%,339 of 415 — 82%,82% — 381 of 465,5 of 16 — 31%,14% — 2 of 14,2 of 2 — 100%,80% — 4 of 5
49,Almería,Osasuna,61%,39%,473 of 581 — 81%,70% — 263 of 378,2 of 7 — 29%,27% — 4 of 15,3 of 4 — 75%,100% — 2 of 2
50,Valladolid,Cádiz,57%,43%,382 of 474 — 81%,73% — 257 of 354,6 of 18 — 33%,14% — 1 of 7,0 of 1 — 0%,100% — 6 of 6
51,Mallorca,Almería,44%,56%,339 of 422 — 80%,85% — 448 of 530,2 of 5 — 40%,22% — 2 of 9,2 of 2 — 100%,50% — 1 of 2
52,Barcelona,Elche,76%,24%,676 of 762 — 89%,65% — 153 of 236,9 of 25 — 36%,100% — 1 of 1,1 of 1 — 100%,66% — 6 of 9
53,Valencia,Celta Vigo,65%,35%,415 of 509 — 82%,68% — 190 of 279,7 of 14 — 50%,33% — 2 of 6,2 of 2 — 100%,57% — 4 of 7
54,Athletic Club,Rayo Vallecano,39%,61%,262 of 360 — 73%,80% — 448 of 557,7 of 14 — 50%,18% — 2 of 11,0 of 2 — 0%,57% — 4 of 7
55,Osasuna,Getafe,55%,45%,392 of 513 — 76%,78% — 320 of 412,4 of 12 — 33%,40% — 4 of 10,2 of 4 — 50%,100% — 4 of 4
56,Villarreal,Sevilla,46%,54%,327 of 422 — 77%,82% — 408 of 499,6 of 17 — 35%,8% — 1 of 12,0 of 1 — 0%,83% — 5 of 6
57,Betis,Girona,44%,56%,379 of 460 — 82%,85% — 506 of 593,2 of 8 — 25%,38% — 3 of 8,2 of 3 — 66%,50% — 1 of 2
58,Real Sociedad,Espanyol,62%,38%,457 of 568 — 80%,66% — 228 of 343,6 of 14 — 43%,29% — 4 of 14,3 of 4 — 75%,66% — 4 of 6
59,Atlético Madrid,Real Madrid,54%,46%,523 of 603 — 87%,88% — 463 of 524,4 of 12 — 33%,50% — 3 of 6,1 of 3 — 33%,75% — 3 of 4
60,Athletic Club,Almería,58%,42%,413 of 506 — 82%,75% — 271 of 359,3 of 16 — 19%,25% — 2 of 8,2 of 2 — 100%,0% — 0 of 3
61,Cádiz,Villarreal,40%,60%,260 of 348 — 75%,81% — 424 of 526,2 of 10 — 20%,43% — 6 of 14,6 of 6 — 100%,100% — 2 of 2
62,Getafe,Valladolid,44%,56%,273 of 369 — 74%,83% — 384 of 465,5 of 13 — 38%,46% — 6 of 13,4 of 6 — 66%,60% — 3 of 5
63,Sevilla,Atlético Madrid,60%,40%,584 of 683 — 86%,77% — 346 of 447,3 of 14 — 21%,30% — 6 of 20,4 of 6 — 66%,100% — 3 of 3
64,Mallorca,Barcelona,29%,71%,247 of 323 — 76%,91% — 735 of 804,3 of 13 — 23%,27% — 3 of 11,2 of 3 — 66%,100% — 3 of 3
65,Espanyol,Valencia,38%,62%,220 of 332 — 66%,80% — 432 of 537,5 of 10 — 50%,42% — 5 of 12,3 of 5 — 60%,60% — 3 of 5
66,Celta Vigo,Betis,46%,54%,330 of 419 — 79%,79% — 384 of 485,4 of 11 — 36%,44% — 4 of 9,4 of 4 — 100%,75% — 3 of 4
67,Girona,Real Sociedad,41%,59%,274 of 355 — 77%,84% — 435 of 516,8 of 16 — 50%,45% — 5 of 11,0 of 5 — 0%,62% — 5 of 8
68,Real Madrid,Osasuna,64%,36%,587 of 668 — 88%,79% — 294 of 371,4 of 21 — 19%,25% — 2 of 8,1 of 2 — 50%,75% — 3 of 4
69,Rayo Vallecano,Elche,70%,30%,492 of 607 — 81%,62% — 159 of 255,6 of 15 — 40%,33% — 2 of 6,1 of 2 — 50%,66% — 4 of 6
70,Osasuna,Valencia,44%,56%,253 of 361 — 70%,74% — 333 of 453,2 of 10 — 20%,50% — 7 of 14,5 of 7 — 71%,50% — 1 of 2
71,Almería,Rayo Vallecano,37%,63%,198 of 304 — 65%,79% — 410 of 516,4 of 10 — 40%,33% — 4 of 12,3 of 4 — 75%,25% — 1 of 4
72,Atlético Madrid,Girona,45%,55%,450 of 537 — 84%,86% — 569 of 661,7 of 13 — 54%,36% — 4 of 11,3 of 4 — 75%,71% — 5 of 7
73,Sevilla,Athletic Club,45%,55%,284 of 405 — 70%,79% — 382 of 486,3 of 10 — 30%,19% — 4 of 21,3 of 4 — 75%,66% — 2 of 3
74,Getafe,Real Madrid,35%,65%,306 of 415 — 74%,89% — 691 of 777,2 of 9 — 22%,21% — 4 of 19,3 of 4 — 75%,100% — 2 of 2
75,Valladolid,Betis,58%,42%,466 of 560 — 83%,78% — 310 of 398,3 of 12 — 25%,25% — 1 of 4,1 of 1 — 100%,100% — 3 of 3
76,Cádiz,Espanyol,54%,46%,305 of 445 — 69%,73% — 277 of 378,3 of 8 — 38%,67% — 6 of 9,4 of 6 — 66%,33% — 1 of 3
77,Real Sociedad,Villarreal,60%,40%,483 of 558 — 87%,81% — 306 of 376,5 of 17 — 29%,20% — 1 of 5,1 of 1 — 100%,80% — 4 of 5
78,Barcelona,Celta Vigo,57%,43%,524 of 616 — 85%,78% — 355 of 456,5 of 13 — 38%,21% — 3 of 14,3 of 3 — 100%,80% — 4 of 5
79,Elche,Mallorca,42%,58%,262 of 352 — 74%,81% — 397 of 493,2 of 7 — 29%,22% — 2 of 9,2 of 2 — 100%,50% — 1 of 2
80,Rayo Vallecano,Getafe,65%,35%,525 of 657 — 80%,69% — 244 of 353,2 of 16 — 13%,50% — 3 of 6,3 of 3 — 100%,100% — 2 of 2
81,Girona,Cádiz,65%,35%,451 of 557 — 81%,67% — 206 of 306,5 of 22 — 23%,22% — 2 of 9,1 of 2 — 50%,100% — 5 of 5
82,Valencia,Elche,60%,40%,435 of 530 — 82%,75% — 266 of 357,6 of 19 — 32%,71% — 5 of 7,4 of 5 — 80%,83% — 5 of 6
83,Mallorca,Sevilla,44%,56%,326 of 417 — 78%,81% — 434 of 533,4 of 9 — 44%,25% — 1 of 4,0 of 1 — 0%,100% — 4 of 4
84,Athletic Club,Atlético Madrid,60%,40%,492 of 629 — 78%,70% — 287 of 411,3 of 13 — 23%,33% — 1 of 3,0 of 1 — 0%,100% — 3 of 3
85,Celta Vigo,Real Sociedad,53%,47%,401 of 498 — 81%,77% — 340 of 440,3 of 10 — 30%,75% — 6 of 8,4 of 6 — 66%,66% — 2 of 3
86,Real Madrid,Barcelona,44%,56%,369 of 447 — 83%,88% — 508 of 576,3 of 7 — 43%,28% — 5 of 18,4 of 5 — 80%,33% — 1 of 3
87,Espanyol,Valladolid,49%,51%,309 of 418 — 74%,76% — 333 of 437,3 of 15 — 20%,14% — 2 of 14,2 of 2 — 100%,66% — 2 of 3
88,Betis,Almería,54%,46%,458 of 564 — 81%,82% — 390 of 475,6 of 16 — 38%,42% — 5 of 12,4 of 5 — 80%,50% — 3 of 6
89,Villarreal,Osasuna,58%,42%,369 of 454 — 81%,76% — 249 of 326,8 of 11 — 73%,21% — 3 of 14,3 of 3 — 100%,87% — 7 of 8
90,Sevilla,Valencia,64%,36%,451 of 548 — 82%,75% — 234 of 313,5 of 18 — 28%,33% — 4 of 12,3 of 4 — 75%,80% — 4 of 5
91,Getafe,Athletic Club,41%,59%,282 of 411 — 69%,80% — 465 of 580,4 of 11 — 36%,29% — 4 of 14,2 of 4 — 50%,50% — 2 of 4
92,Atlético Madrid,Rayo Vallecano,52%,48%,470 of 572 — 82%,79% — 416 of 524,4 of 12 — 33%,23% — 3 of 13,3 of 3 — 100%,75% — 3 of 4
93,Cádiz,Betis,41%,59%,278 of 381 — 73%,81% — 447 of 552,3 of 13 — 23%,25% — 3 of 12,3 of 3 — 100%,100% — 3 of 3
94,Valladolid,Celta Vigo,38%,62%,228 of 327 — 70%,82% — 443 of 537,6 of 8 — 75%,19% — 4 of 21,3 of 4 — 75%,33% — 2 of 6
95,Real Sociedad,Mallorca,51%,49%,352 of 448 — 79%,75% — 316 of 424,7 of 14 — 50%,25% — 3 of 12,3 of 3 — 100%,85% — 6 of 7
96,Elche,Real Madrid,38%,62%,402 of 469 — 86%,93% — 716 of 770,3 of 10 — 30%,60% — 6 of 10,3 of 6 — 50%,100% — 3 of 3
97,Almería,Girona,35%,65%,188 of 273 — 69%,81% — 412 of 511,7 of 13 — 54%,25% — 3 of 12,2 of 3 — 66%,57% — 4 of 7
98,Osasuna,Espanyol,64%,36%,431 of 552 — 78%,61% — 192 of 316,5 of 17 — 29%,60% — 3 of 5,3 of 3 — 100%,80% — 4 of 5
99,Barcelona,Villarreal,69%,31%,740 of 804 — 92%,84% — 295 of 353,5 of 16 — 31%,20% — 1 of 5,1 of 1 — 100%,40% — 2 of 5
100,Rayo Vallecano,Cádiz,62%,38%,405 of 495 — 82%,72% — 220 of 305,10 of 27 — 37%,0% — 0 of 3,0 of 0 — %,60% — 6 of 10
101,Valladolid,Real Sociedad,26%,74%,121 of 216 — 56%,84% — 528 of 627,2 of 9 — 22%,10% — 2 of 20,2 of 2 — 100%,50% — 1 of 2
102,Valencia,Mallorca,67%,33%,499 of 614 — 81%,69% — 205 of 299,2 of 12 — 17%,44% — 4 of 9,3 of 4 — 75%,100% — 2 of 2
103,Real Madrid,Sevilla,56%,44%,599 of 665 — 90%,85% — 446 of 522,6 of 18 — 33%,22% — 2 of 9,1 of 2 — 50%,50% — 3 of 6
104,Espanyol,Elche,41%,59%,323 of 411 — 79%,85% — 500 of 588,5 of 13 — 38%,44% — 4 of 9,2 of 4 — 50%,60% — 3 of 5
105,Betis,Atlético Madrid,55%,45%,506 of 605 — 84%,81% — 409 of 502,4 of 17 — 24%,33% — 3 of 9,1 of 3 — 33%,75% — 3 of 4
106,Girona,Osasuna,50%,50%,412 of 519 — 79%,82% — 426 of 520,1 of 7 — 14%,22% — 2 of 9,1 of 2 — 50%,0% — 0 of 1
107,Villarreal,Almería,52%,48%,394 of 496 — 79%,78% — 361 of 461,5 of 11 — 45%,27% — 4 of 15,3 of 4 — 75%,60% — 3 of 5
108,Barcelona,Athletic Club,65%,35%,626 of 706 — 89%,78% — 294 of 378,7 of 10 — 70%,20% — 1 of 5,1 of 1 — 100%,42% — 3 of 7
109,Celta Vigo,Getafe,71%,29%,602 of 722 — 83%,64% — 190 of 297,5 of 17 — 29%,25% — 1 of 4,0 of 1 — 0%,80% — 4 of 5
110,Mallorca,Espanyol,52%,48%,397 of 499 — 80%,76% — 353 of 463,5 of 13 — 38%,29% — 2 of 7,1 of 2 — 50%,80% — 4 of 5
111,Almería,Celta Vigo,61%,39%,477 of 560 — 85%,75% — 264 of 354,5 of 19 — 26%,38% — 3 of 8,2 of 3 — 66%,40% — 2 of 5
112,Cádiz,Atlético Madrid,41%,59%,296 of 382 — 77%,85% — 472 of 556,7 of 10 — 70%,50% — 8 of 16,6 of 8 — 75%,57% — 4 of 7
113,Sevilla,Rayo Vallecano,62%,38%,449 of 569 — 79%,71% — 247 of 346,4 of 10 — 40%,33% — 5 of 15,4 of 5 — 80%,100% — 4 of 4
114,Valencia,Barcelona,33%,67%,236 of 313 — 75%,85% — 534 of 629,2 of 3 — 67%,15% — 2 of 13,1 of 2 — 50%,100% — 2 of 2
115,Osasuna,Valladolid,48%,52%,346 of 437 — 79%,79% — 374 of 473,9 of 19 — 47%,29% — 2 of 7,2 of 2 — 100%,88% — 8 of 9
116,Real Madrid,Girona,58%,42%,609 of 680 — 90%,87% — 426 of 489,6 of 19 — 32%,14% — 1 of 7,1 of 1 — 100%,83% — 5 of 6
117,Athletic Club,Villarreal,43%,57%,315 of 419 — 75%,83% — 461 of 555,7 of 19 — 37%,50% — 3 of 6,3 of 3 — 100%,85% — 6 of 7
118,Real Sociedad,Betis,58%,42%,379 of 465 — 82%,75% — 255 of 340,7 of 14 — 50%,40% — 4 of 10,2 of 4 — 50%,100% — 7 of 7
119,Elche,Getafe,59%,41%,465 of 579 — 80%,73% — 293 of 403,4 of 11 — 36%,38% — 3 of 8,2 of 3 — 66%,100% — 4 of 4
120,Girona,Athletic Club,42%,58%,312 of 404 — 77%,81% — 461 of 567,10 of 19 — 53%,64% — 7 of 11,6 of 7 — 85%,80% — 8 of 10
121,Getafe,Cádiz,53%,47%,376 of 481 — 78%,73% — 314 of 432,1 of 13 — 8%,27% — 4 of 15,4 of 4 — 100%,100% — 1 of 1
122,Valladolid,Elche,51%,49%,377 of 465 — 81%,80% — 366 of 455,11 of 16 — 69%,50% — 2 of 4,1 of 2 — 50%,81% — 9 of 11
123,Celta Vigo,Osasuna,61%,39%,483 of 583 — 83%,75% — 279 of 373,5 of 13 — 38%,50% — 4 of 8,2 of 4 — 50%,80% — 4 of 5
124,Barcelona,Almería,70%,30%,676 of 769 — 88%,73% — 244 of 336,12 of 26 — 46%,25% — 1 of 4,1 of 1 — 100%,83% — 10 of 12
125,Atlético Madrid,Espanyol,67%,33%,513 of 612 — 84%,71% — 216 of 303,7 of 27 — 26%,33% — 2 of 6,1 of 2 — 50%,85% — 6 of 7
126,Real Sociedad,Valencia,29%,71%,165 of 262 — 63%,83% — 542 of 653,3 of 9 — 33%,21% — 3 of 14,2 of 3 — 66%,100% — 3 of 3
127,Villarreal,Mallorca,71%,29%,560 of 644 — 87%,74% — 192 of 261,2 of 9 — 22%,71% — 5 of 7,3 of 5 — 60%,100% — 2 of 2
128,Betis,Sevilla,37%,63%,265 of 335 — 79%,85% — 483 of 566,4 of 9 — 44%,23% — 5 of 22,4 of 5 — 80%,100% — 4 of 4
129,Rayo Vallecano,Real Madrid,46%,54%,322 of 412 — 78%,83% — 407 of 489,6 of 14 — 43%,7% — 1 of 15,0 of 1 — 0%,66% — 4 of 6
130,Elche,Girona,45%,55%,296 of 390 — 76%,82% — 395 of 483,2 of 11 — 18%,14% — 3 of 21,1 of 3 — 33%,50% — 1 of 2
131,Athletic Club,Valladolid,43%,57%,272 of 374 — 73%,76% — 376 of 497,6 of 19 — 32%,0% — 0 of 8,0 of 0 — %,50% — 3 of 6
132,Osasuna,Barcelona,47%,53%,372 of 480 — 78%,81% — 440 of 543,3 of 15 — 20%,33% — 3 of 9,1 of 3 — 33%,66% — 2 of 3
133,Almería,Getafe,54%,46%,374 of 490 — 76%,70% — 294 of 420,3 of 8 — 38%,18% — 2 of 11,2 of 2 — 100%,66% — 2 of 3
134,Sevilla,Real Sociedad,32%,68%,268 of 360 — 74%,89% — 679 of 767,3 of 6 — 50%,53% — 9 of 17,7 of 9 — 77%,66% — 2 of 3
135,Espanyol,Villarreal,44%,56%,372 of 448 — 83%,88% — 495 of 563,6 of 14 — 43%,30% — 3 of 10,3 of 3 — 100%,100% — 6 of 6
136,Mallorca,Atlético Madrid,37%,63%,281 of 375 — 75%,83% — 530 of 641,3 of 9 — 33%,29% — 5 of 17,5 of 5 — 100%,66% — 2 of 3
137,Rayo Vallecano,Celta Vigo,59%,41%,467 of 576 — 81%,76% — 306 of 405,3 of 10 — 30%,27% — 3 of 11,3 of 3 — 100%,100% — 3 of 3
138,Valencia,Betis,62%,38%,505 of 592 — 85%,72% — 262 of 363,6 of 14 — 43%,20% — 1 of 5,1 of 1 — 100%,66% — 4 of 6
139,Real Madrid,Cádiz,66%,34%,628 of 717 — 88%,77% — 284 of 367,5 of 18 — 28%,50% — 5 of 10,4 of 5 — 80%,60% — 3 of 5
140,Girona,Rayo Vallecano,59%,41%,463 of 570 — 81%,75% — 293 of 389,5 of 14 — 36%,33% — 4 of 12,2 of 4 — 50%,100% — 5 of 5
141,Betis,Athletic Club,53%,47%,396 of 511 — 77%,74% — 330 of 448,5 of 9 — 56%,0% — 0 of 10,0 of 0 — %,100% — 5 of 5
142,Atlético Madrid,Elche,62%,38%,539 of 623 — 87%,79% — 304 of 387,4 of 18 — 22%,20% — 1 of 5,1 of 1 — 100%,50% — 2 of 4
143,Getafe,Mallorca,55%,45%,423 of 549 — 77%,72% — 320 of 447,6 of 14 — 43%,0% — 0 of 3,0 of 0 — %,66% — 4 of 6
144,Cádiz,Almería,49%,51%,368 of 484 — 76%,80% — 395 of 495,6 of 12 — 50%,53% — 10 of 19,9 of 10 — 90%,83% — 5 of 6
145,Celta Vigo,Sevilla,44%,56%,400 of 499 — 80%,82% — 526 of 641,5 of 17 — 29%,71% — 5 of 7,4 of 5 — 80%,80% — 4 of 5
146,Valladolid,Real Madrid,39%,61%,340 of 419 — 81%,87% — 576 of 662,4 of 14 — 29%,33% — 6 of 18,5 of 6 — 83%,100% — 4 of 4
147,Barcelona,Espanyol,77%,23%,613 of 685 — 89%,65% — 137 of 210,6 of 21 — 29%,0% — 0 of 3,0 of 0 — %,83% — 5 of 6
148,Real Sociedad,Osasuna,51%,49%,356 of 469 — 76%,69% — 309 of 446,2 of 9 — 22%,27% — 3 of 11,3 of 3 — 100%,0% — 0 of 2
149,Villarreal,Valencia,52%,48%,350 of 429 — 82%,77% — 300 of 389,8 of 14 — 57%,31% — 4 of 13,3 of 4 — 75%,75% — 6 of 8
150,Elche,Celta Vigo,57%,43%,407 of 562 — 72%,72% — 299 of 417,5 of 13 — 38%,50% — 7 of 14,6 of 7 — 85%,100% — 5 of 5
151,Valencia,Cádiz,73%,27%,498 of 617 — 81%,60% — 136 of 227,2 of 11 — 18%,33% — 2 of 6,1 of 2 — 50%,100% — 2 of 2
152,Villarreal,Real Madrid,49%,51%,413 of 492 — 84%,84% — 436 of 518,4 of 16 — 25%,17% — 2 of 12,2 of 2 — 100%,75% — 3 of 4
153,Mallorca,Valladolid,42%,58%,281 of 394 — 71%,80% — 434 of 541,4 of 13 — 31%,11% — 1 of 9,1 of 1 — 100%,75% — 3 of 4
154,Espanyol,Girona,44%,56%,296 of 398 — 74%,84% — 424 of 502,6 of 12 — 50%,42% — 5 of 12,3 of 5 — 60%,66% — 4 of 6
155,Almería,Real Sociedad,44%,56%,330 of 425 — 78%,81% — 435 of 538,1 of 6 — 17%,67% — 6 of 9,4 of 6 — 66%,100% — 1 of 1
156,Rayo Vallecano,Betis,62%,38%,426 of 545 — 78%,69% — 232 of 334,3 of 15 — 20%,14% — 2 of 14,1 of 2 — 50%,66% — 2 of 3
157,Sevilla,Getafe,58%,42%,497 of 614 — 81%,74% — 330 of 443,5 of 11 — 45%,18% — 2 of 11,1 of 2 — 50%,60% — 3 of 5
158,Atlético Madrid,Barcelona,42%,58%,359 of 476 — 75%,85% — 563 of 666,3 of 20 — 15%,20% — 2 of 10,1 of 2 — 50%,100% — 3 of 3
159,Athletic Club,Osasuna,59%,41%,409 of 551 — 74%,66% — 247 of 377,3 of 17 — 18%,33% — 1 of 3,1 of 1 — 100%,100% — 3 of 3
160,Celta Vigo,Villarreal,51%,49%,472 of 559 — 84%,85% — 453 of 532,8 of 21 — 38%,33% — 1 of 3,0 of 1 — 0%,87% — 7 of 8
161,Valladolid,Rayo Vallecano,45%,55%,277 of 397 — 70%,75% — 357 of 476,2 of 9 — 22%,42% — 5 of 12,4 of 5 — 80%,100% — 2 of 2
162,Girona,Sevilla,46%,54%,426 of 499 — 85%,86% — 500 of 582,7 of 19 — 37%,20% — 2 of 10,1 of 2 — 50%,71% — 5 of 7
163,Osasuna,Mallorca,61%,39%,502 of 597 — 84%,71% — 269 of 380,4 of 15 — 27%,33% — 2 of 6,2 of 2 — 100%,75% — 3 of 4
164,Real Sociedad,Athletic Club,57%,43%,435 of 534 — 81%,74% — 304 of 410,4 of 10 — 40%,33% — 2 of 6,1 of 2 — 50%,50% — 2 of 4
165,Getafe,Espanyol,62%,38%,383 of 518 — 74%,64% — 201 of 315,2 of 10 — 20%,40% — 4 of 10,2 of 4 — 50%,50% — 1 of 2
