,home,away,posesión_home,posesión_away,pases_home,pases_away,disparos_home,disparos_away,salvadas_home,salvadas_away
0,Osasuna,Sevilla,35%,65%,225 of 307 — 73%,85% — 480 of 566,4 of 11 — 36%,30% — 3 of 10,2 of 3 — 66%,75% — 3 of 4
1,Celta Vigo,Espanyol,60%,40%,469 of 583 — 80%,72% — 284 of 392,3 of 8 — 38%,11% — 1 of 9,0 of 1 — 0%,33% — 1 of 3
2,Valladolid,Villarreal,51%,49%,384 of 478 — 80%,77% — 351 of 453,6 of 12 — 50%,40% — 4 of 10,1 of 4 — 25%,100% — 6 of 6
3,Barcelona,Rayo Vallecano,67%,33%,526 of 617 — 85%,69% — 208 of 303,5 of 21 — 24%,50% — 2 of 4,2 of 2 — 100%,100% — 5 of 5
4,Cádiz,Real Sociedad,41%,59%,237 of 343 — 69%,80% — 400 of 502,1 of 7 — 14%,47% — 7 of 15,6 of 7 — 85%,100% — 1 of 1
5,Valencia,Girona,46%,54%,297 of 381 — 78%,81% — 364 of 450,1 of 16 — 6%,20% — 1 of 5,1 of 1 — 100%,100% — 1 of 1
6,Almería,Real Madrid,33%,67%,277 of 344 — 81%,89% — 629 of 707,6 of 10 — 60%,52% — 15 of 29,13 of 15 — 86%,83% — 5 of 6
7,Athletic Club,Mallorca,64%,36%,424 of 536 — 79%,67% — 202 of 303,6 of 23 — 26%,33% — 2 of 6,2 of 2 — 100%,100% — 6 of 6
8,Getafe,Atlético Madrid,42%,58%,334 of 434 — 77%,83% — 493 of 595,0 of 10 — 0%,42% — 5 of 12,2 of 5 — 40%,% — 0 of 0
9,Betis,Elche,71%,29%,559 of 648 — 86%,68% — 176 of 260,8 of 17 — 47%,25% — 1 of 4,1 of 1 — 100%,62% — 5 of 8
10,Espanyol,Rayo Vallecano,54%,46%,411 of 510 — 81%,81% — 343 of 426,1 of 13 — 8%,38% — 3 of 8,1 of 3 — 33%,100% — 1 of 1
11,Sevilla,Valladolid,61%,39%,420 of 524 — 80%,74% — 242 of 329,2 of 18 — 11%,50% — 3 of 6,2 of 3 — 66%,50% — 1 of 2
12,Osasuna,Cádiz,55%,45%,342 of 460 — 74%,71% — 265 of 373,1 of 14 — 7%,22% — 2 of 9,2 of 2 — 100%,100% — 1 of 1
13,Mallorca,Betis,48%,52%,309 of 405 — 76%,80% — 350 of 439,7 of 13 — 54%,17% — 1 of 6,1 of 1 — 100%,85% — 6 of 7
14,Celta Vigo,Real Madrid,51%,49%,501 of 581 — 86%,87% — 492 of 565,1 of 14 — 7%,36% — 5 of 14,2 of 5 — 40%,100% — 1 of 1
15,Athletic Club,Valencia,38%,62%,250 of 349 — 72%,82% — 472 of 573,2 of 12 — 17%,0% — 0 of 10,0 of 0 — %,50% — 1 of 2
16,Atlético Madrid,Villarreal,51%,49%,437 of 527 — 83%,89% — 456 of 511,5 of 13 — 38%,26% — 5 of 19,3 of 5 — 60%,100% — 5 of 5
17,Real Sociedad,Barcelona,42%,58%,337 of 419 — 80%,89% — 522 of 587,5 of 10 — 50%,47% — 7 of 15,3 of 7 — 42%,80% — 4 of 5
18,Elche,Almería,54%,46%,378 of 473 — 80%,79% — 315 of 398,3 of 13 — 23%,58% — 7 of 12,6 of 7 — 85%,66% — 2 of 3
19,Girona,Getafe,66%,34%,503 of 583 — 86%,71% — 213 of 299,6 of 12 — 50%,43% — 3 of 7,2 of 3 — 66%,66% — 4 of 6
20,Girona,Celta Vigo,53%,47%,466 of 560 — 83%,80% — 392 of 491,3 of 11 — 27%,55% — 6 of 11,5 of 6 — 83%,100% — 3 of 3
21,Betis,Osasuna,55%,45%,408 of 504 — 81%,75% — 313 of 418,1 of 7 — 14%,17% — 2 of 12,2 of 2 — 100%,0% — 0 of 1
22,Elche,Real Sociedad,45%,55%,325 of 416 — 78%,82% — 414 of 503,5 of 12 — 42%,50% — 4 of 8,3 of 4 — 75%,100% — 5 of 5
23,Rayo Vallecano,Mallorca,65%,35%,486 of 614 — 79%,72% — 239 of 334,0 of 15 — 0%,44% — 4 of 9,2 of 4 — 50%,% — 0 of 0
24,Almería,Sevilla,33%,67%,195 of 286 — 68%,86% — 507 of 592,5 of 11 — 45%,38% — 5 of 13,4 of 5 — 80%,60% — 3 of 5
25,Getafe,Villarreal,36%,64%,211 of 300 — 70%,85% — 447 of 527,2 of 8 — 25%,55% — 6 of 11,6 of 6 — 100%,100% — 2 of 2
26,Barcelona,Valladolid,67%,33%,602 of 694 — 87%,73% — 252 of 346,9 of 24 — 38%,25% — 2 of 8,2 of 2 — 100%,55% — 5 of 9
27,Espanyol,Real Madrid,36%,64%,253 of 337 — 75%,88% — 530 of 605,4 of 15 — 27%,32% — 6 of 19,3 of 6 — 50%,75% — 3 of 4
28,Cádiz,Athletic Club,38%,62%,283 of 378 — 75%,85% — 524 of 613,3 of 9 — 33%,37% — 7 of 19,3 of 7 — 42%,100% — 3 of 3
29,Valencia,Atlético Madrid,69%,31%,539 of 635 — 85%,71% — 203 of 284,2 of 12 — 17%,54% — 7 of 13,6 of 7 — 85%,100% — 2 of 2
30,Celta Vigo,Cádiz,58%,42%,474 of 571 — 83%,78% — 327 of 420,5 of 9 — 56%,0% — 0 of 7,0 of 0 — %,40% — 2 of 5
31,Mallorca,Girona,51%,49%,368 of 447 — 82%,83% — 355 of 428,4 of 10 — 40%,33% — 3 of 9,3 of 3 — 100%,75% — 3 of 4
32,Real Madrid,Betis,49%,51%,469 of 532 — 88%,87% — 477 of 548,4 of 22 — 18%,50% — 4 of 8,3 of 4 — 75%,50% — 2 of 4
33,Real Sociedad,Atlético Madrid,54%,46%,367 of 482 — 76%,74% — 300 of 405,5 of 12 — 42%,47% — 7 of 15,6 of 7 — 85%,80% — 4 of 5
34,Sevilla,Barcelona,46%,54%,313 of 410 — 76%,82% — 393 of 478,4 of 9 — 44%,28% — 5 of 18,2 of 5 — 40%,100% — 4 of 4
35,Osasuna,Rayo Vallecano,47%,53%,264 of 380 — 69%,76% — 326 of 429,5 of 13 — 38%,60% — 3 of 5,2 of 3 — 66%,60% — 3 of 5
36,Athletic Club,Espanyol,66%,34%,511 of 633 — 81%,66% — 214 of 323,2 of 17 — 12%,22% — 2 of 9,1 of 2 — 50%,100% — 2 of 2
37,Villarreal,Elche,53%,47%,426 of 506 — 84%,84% — 377 of 451,10 of 18 — 56%,0% — 0 of 7,0 of 0 — %,60% — 6 of 10
38,Valencia,Getafe,69%,31%,504 of 584 — 86%,70% — 182 of 261,9 of 24 — 38%,57% — 4 of 7,3 of 4 — 75%,44% — 4 of 9
39,Valladolid,Almería,51%,49%,306 of 405 — 76%,73% — 284 of 387,6 of 14 — 43%,0% — 0 of 12,0 of 0 — %,83% — 5 of 6
40,Girona,Valladolid,45%,55%,303 of 396 — 77%,80% — 395 of 492,5 of 14 — 36%,29% — 4 of 14,3 of 4 — 75%,60% — 3 of 5
41,Rayo Vallecano,Valencia,46%,54%,240 of 345 — 70%,75% — 303 of 402,6 of 14 — 43%,24% — 4 of 17,3 of 4 — 75%,83% — 5 of 6
42,Espanyol,Sevilla,58%,42%,365 of 476 — 77%,73% — 246 of 339,4 of 18 — 22%,64% — 7 of 11,4 of 7 — 57%,75% — 3 of 4
43,Cádiz,Barcelona,30%,70%,161 of 263 — 61%,84% — 508 of 606,0 of 6 — 0%,50% — 8 of 16,4 of 8 — 50%,% — 0 of 0
44,Atlético Madrid,Celta Vigo,46%,54%,404 of 495 — 82%,85% — 500 of 591,4 of 10 — 40%,21% — 3 of 14,2 of 3 — 66%,25% — 1 of 4
45,Real Madrid,Mallorca,68%,32%,617 of 676 — 91%,79% — 252 of 318,7 of 22 — 32%,40% — 2 of 5,1 of 2 — 50%,42% — 3 of 7
46,Elche,Athletic Club,47%,53%,347 of 437 — 79%,79% — 390 of 494,2 of 9 — 22%,47% — 7 of 15,5 of 7 — 71%,50% — 1 of 2
